day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0422206,1.0133,1.0133,0.115,6.07977,-6,1.48,1.48,0,0,1250,0.94,0,0,0.115,1,0.115,0,0,0,0,0,0,0.115,0.115,0,3.26463,12.5709,1,0.475605,-0.716965,12.5709,154.435,141.864,0,0
1,22.9867,24,0.265,144,-6,1.77,1.89,0,0,7897,0.94,52,0.0777027,0.122154,1,0.237154,0,0,0,0,0,0,0.122154,0.237154,1,3.26463,12.5709,1,0.122154,-0.452461,12.5709,54.5363,41.9654,0,0
2,24,48,0.265,187.2,-1.8,1.77,1.89,0,0,7897,0.94,52,0.142334,0.000790155,1,0.237944,0,0,0,0,0,0,0.000790155,0.237944,1,3.26463,12.3678,1,0.000790155,-0.576401,12.3678,12.6277,0.259994,0,0
2.53911,12.9386,60.9386,0.265,242.836,-4.3,1.77,1.89,0,0,7897,0.94,52,0.142752,0.0270563,1,0.265,0,0,0,0,0,0,0.0270563,0.265,1,3.26463,12.1702,1,0.0471953,-0.623786,12.1702,28.6839,16.5137,0,0
3,11.0614,72,0.865,290.4,-4.3,2.1,2.49,0,0,14018,0.94,56,0.157068,0.0116814,1,0.276681,0,0,0,0,0,0,0.0116814,0.276681,2,3.26463,12.1702,1,0.0116814,-0.803482,12.1702,26.9739,14.8037,0,0
4,24,96,0.865,386.4,-4,2.1,2.49,0,0,14018,0.94,56,0.161759,0.0207654,1,0.297447,0,0,0,0,0,0,0.0207654,0.297447,2,3.26463,11.978,1,0.0207654,-0.846833,11.978,24.1067,12.1287,0,0
5,24,120,0.865,465.6,-3.3,2.1,2.49,0,0,14018,0.94,56,0.170099,0.0125436,1,0.30999,0,0,0,0,0,0,0.0125436,0.30999,2,3.26463,11.7909,1,0.0125436,-0.879822,11.7909,19.1174,7.32651,0,0
6,24,144,0.865,465.6,0.3,2.1,2.49,0,0,14018,0.94,56,0.175136,-0.0228869,1,0.287103,0,0,0,0,0,0,-0.0228869,0.287103,2,3.26463,11.6088,1,-0.0228869,-0.869167,11.6088,-1.75911,-13.3679,-0,0
7,24,168,0.865,544.8,-3.3,2.1,2.49,0,0,14018,0.94,56,0.165945,0.0139117,1,0.301015,0,0,0,0,0,0,0.0139117,0.301015,2,3.26463,11.4314,1,0.0139117,-0.859888,11.4314,19.5569,8.12557,0,0
8,24,192,0.865,552,-0.3,2.1,2.49,0,0,14018,0.94,56,0.171532,-0.0162232,1,0.284792,0,0,0,0,0,0,-0.0162232,0.284792,2,3.26463,11.2585,1,-0.0162232,-0.85728,11.2585,1.78281,-9.47568,0,0
9,24,216,0.865,588,-1.5,2.1,2.49,0,0,14018,0.94,56,0.165016,-0.00336028,1,0.281432,0,0,0,0,0,0,-0.00336028,0.281432,2,3.26463,11.09,1,-0.00336028,-0.837408,11.09,9.12733,-1.96268,0,0
10,24,240,0.865,684,-4,2.1,2.49,0,0,14018,0.94,56,0.163667,0.0220359,1,0.303468,0,0,0,0,0,0,0.0220359,0.303468,2,3.26463,10.9257,1,0.0220359,-0.855803,10.9257,23.7965,12.8708,0,0
11,24,264,0.865,912,-9.5,2.1,2.49,0,0,14018,0.94,56,0.172517,0.0688529,1,0.37232,0,0,0,0,0,0,0.0688529,0.37232,2,3.26463,10.7655,1,0.0688529,-0.946417,10.7655,50.9814,40.2159,0,0
12,24,288,0.865,1147.2,-9.8,2.1,2.49,0,0,14018,0.94,56,0.200168,0.0608363,1,0.433157,0,0,0,0,0,0,0.0608363,0.433157,2,3.26463,10.6092,1,0.0608363,-1.07584,10.6092,46.1427,35.5335,0,0
13,24,312,0.865,1387.2,-10,2.1,2.49,0,0,14018,0.94,56,0.224601,0.0547669,1,0.487924,0,0,0,0,0,0,0.0547669,0.487924,2,3.26463,10.4567,1,0.0547669,-1.19118,10.4567,42.4452,31.9885,0,0
