day,chau_z,chau_h
0,0,0
0.1,0.115,0
1,0.24,0
2,0.25,0
2.3,0.265,0
3,0.287,0
4,0.313,0
5,0.329,0
6,0.313,0
7,0.33,0
8,0.319,0
9,0.32,0
10,0.344,0
11,0.411,0
12,0.471,0
13,0.527,0
14,0.541,0
15,0.576,0
16,0.653,0
17,0.692,0
18,0.732,0
19,0.75,0
20,0.775,0
21,0.773,0
22,0.805,0
23,0.848,0
23.2,0.865,0
24,0.908,0.001
25,0.959,0.002
26,1,0.003
27,1.019,0.003
28,1.029,0.003
29,1.06,0.004
30,1.088,0.005
31,1.115,0.005
32,1.143,0.006
33,1.157,0.006
34,1.179,0.006
35,1.207,0.007
36,1.24,0.008
37,1.272,0.008
38,1.313,0.009
39,1.333,0.009
40,1.337,0.009
41,1.336,0.01
42,1.33,0.009
43,1.323,0.009
44,1.329,0.01
45,1.341,0.01
46,1.353,0.01
47,1.347,0.01
48,1.335,0.01
49,1.344,0.01
50,1.359,0.011
51,1.369,0.011
52,1.392,0.011
53,1.414,0.012
54,1.438,0.012
55,1.465,0.013
56,1.475,0.013
57,1.478,0.013
58,1.472,0.013
59,1.465,0.013
60,1.471,0.013
61,1.486,0.013
62,1.497,0.014
63,1.516,0.014
64,1.529,0.014
65,1.531,0.014
66,1.542,0.015
67,1.539,0.015
68,1.539,0.015
69,1.554,0.015
70,1.57,0.015
71,1.581,0.015
72,1.584,0.016
73,1.585,0.016
74,1.586,0.016
75,1.593,0.016
76,1.604,0.016
77,1.628,0.016
78,1.65,0.017
79,1.666,0.017
80,1.675,0.017
81,1.674,0.017
82,1.674,0.017
83,1.674,0.017
84,1.668,0.017
85,1.668,0.017
86,1.669,0.018
87,1.659,0.017
88,1.67,0.018
89,1.688,0.018
90,1.701,0.018
91,1.714,0.018
92,1.723,0.019
93,1.73,0.019
94,1.734,0.019
95,1.735,0.019
96,1.734,0.019
97,1.733,0.019
98,1.736,0.019
99,1.734,0.019
100,1.73,0.019
101,1.731,0.019
102,1.728,0.019
103,1.727,0.019
104,1.726,0.019
105,1.719,0.019
106,1.716,0.019
107,1.711,0.019
108,1.713,0.019
