day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0969265,2.32624,2.32624,0.1,4.65247,-2,1.48,1.48,0,0,1250,1,0,0,0.1,1,0.1,0,0,0,0,0,0,0.1,0.1,0,2.32073,5.46513,0.468941,0.288733,-0.393664,5.46513,59.2,53.7349,0,0.038
1,21.6738,24,0.41,48,-2,1.77,1.89,0,0,7897,1,52,0.0675676,0.0524079,1,0.152408,0,0,0,0,0,0,0.0524079,0.152408,1,2.32073,5.46513,0.468941,0.0524079,-0.322813,5.46513,24.5603,19.0952,0,0.038
2,24,48,0.41,163.2,-4.8,1.77,1.89,0,0,7897,1,52,0.0952966,0.102803,1,0.255211,0,0,0,0,0,0,0.102803,0.255211,1,2.32073,5.35919,0.468941,0.102803,-0.479312,5.35919,39.1858,33.8266,0,0.038
3,24,72,0.41,163.2,1.8,1.77,1.89,0,0,7897,1,52,0.14969,-0.0565821,1,0.198629,0,0,0,0,0,0,-0.0565821,0.198629,1,2.32073,5.25693,0.468941,-0.0565821,-0.525223,5.25693,-13.3609,-18.6179,-0,0.038
4,24,96,0.41,163.2,2.5,1.77,1.89,0,0,7897,1,52,0.119752,-0.0962579,1,0.102371,0,0,0,0,0,0,-0.0962579,0.102371,1,2.32073,5.15815,0.468941,-0.0962579,-0.372082,5.15815,-26.5147,-31.6728,-0,0.038
5,24,120,0.41,163.2,0.8,1.77,1.89,0,0,7897,1,52,0.0688223,-0.0616962,1,0.0406752,0,0,0,0,0,0,-0.0616962,0.0406752,1,2.32073,5.06269,0.468941,-0.0616962,-0.213838,5.06269,-15.2379,-20.3006,-0,0.038
6,24,144,0.1,163.2,3.5,1.48,1.48,0,0,1250,1,0,0.0274833,-2.54056,0,0.01,0,0,0,0,0,0,-2.54056,0,0,2.32073,4.97038,0.468941,-2.54056,nan,4.97038,4.21274,-132.321,0,0.038
7,24,168,0.1,163.2,0.3,1.48,1.48,0,0,1250,1,0,0.00675676,-0.946197,0,0.01,0,0,0,0,0,0,-0.946197,0,0,2.32073,4.88107,0.468941,-0.946197,nan,4.88107,0.95876,-49.2811,0,0.038
7.0481,1.15432,169.154,0.1,167.586,-3.8,1.48,1.48,0,0,1250,1,0,0.00675676,0.09,1,0.1,0,0,0,0,0,0,0.09,0.09,0,2.32073,4.79461,0.468941,0.410083,-0.522139,4.79461,102.255,97.4599,0,0.038
