day,chau_z,chau_h
0,0,0
0.2,0.1,0
1,0.146,0
2,0.243,0
3,0.342,0
4,0.377,0
5,0.43,0
5,0.43,0
6,0.43,0
7,0.43,0
8,0.344,0
9,0.347,0
10,0.393,0
10.5,0.43,0
11,0.442,0
11.4,0.468,0
12,0.468,0
13,0.468,0
14,0.468,0
14.2,0.43,0
15,0.391,0
16,0.336,0
17,0.341,0
18,0.416,0
18.2,0.43,0
19,0.459,0
19.2,0.468,0
20,0.485,0
21,0.531,0
22,0.575,0
23,0.594,0
24,0.52,0
24.4,0.468,0
25,0.438,0
26,0.43,0
27,0.43,0
28,0.43,0
29,0.425,0
30,0.386,0
31,0.398,0
32,0.414,0
32.6,0.43,0
33,0.43,0
34,0.43,0
35,0.43,0
36,0.43,0
37,0.43,0
37.4,0.468,0
38,0.502,0
39,0.534,0
40,0.564,0
41,0.598,0
42,0.608,0
43,0.62,0
44,0.627,0
45,0.624,0
46,0.62,0
47,0.62,0
48,0.612,0
48.9,0.598,0
49,0.585,0
50,0.483,0
51,0.499,0
52,0.522,0
53,0.485,0
54,0.598,0
55,0.606,0
56,0.606,0
57,0.63,0
58,0.655,0
59,0.673,0
60,0.701,0
61,0.709,0
62,0.713,0
63,0.721,0
64,0.726,0
65,0.748,0
66,0.774,0
67,0.79,0
68,0.787,0
69,0.786,0
70,0.801,0
71,0.811,0
72,0.826,0
73,0.856,0
74,0.892,0
75,0.916,0
76,0.936,0
77,0.958,0
78,0.982,0
79,0.998,0
80,1.002,0
81,1.001,0
82,1.009,0
83,1.02,0
84,1.025,0
85,1.029,0
86,1.03,0
87,1.026,0
88,1.026,0
89,1.032,0
90,1.043,0
91,1.045,0
92,1.053,0
93,1.061,0
94,1.082,0
95,1.102,0
96,1.113,0
97,1.125,0
98,1.129,0
99,1.136,0
100,1.145,0
101,1.164,0
102,1.181,0
103,1.19,0
104,1.202,0
105,1.206,0
106,1.217,0
107,1.229,0
108,1.234,0
109,1.237,0
110,1.246,0
111,1.255,0
112,1.257,0
113,1.272,0
114,1.287,0
115,1.303,0
116,1.322,0
117,1.335,0
118,1.342,0
119,1.349,0
120,1.362,0
121,1.372,0
122,1.383,0
123,1.391,0
123.9,1.398,0
124,1.398,0
125,1.401,0
126,1.401,0
127,1.402,0
128,1.404,0.001
129,1.406,0.001
130,1.408,0.001
131,1.41,0.001
132,1.412,0.001
133,1.415,0.001
134,1.416,0.001
135,1.423,0.002
136,1.429,0.002
137,1.433,0.002
138,1.44,0.002
139,1.443,0.003
140,1.443,0.003
141,1.451,0.003
142,1.456,0.003
143,1.458,0.003
144,1.457,0.003
145,1.457,0.004
146,1.46,0.004
147,1.46,0.004
148,1.457,0.004
149,1.453,0.004
150,1.448,0.004
151,1.443,0.004
152,1.44,0.004
153,1.437,0.004
154,1.437,0.004
155,1.438,0.004
156,1.437,0.004
157,1.435,0.004
158,1.435,0.004
159,1.433,0.004
160,1.43,0.004
161,1.426,0.004
162,1.421,0.004
163,1.416,0.004
164,1.41,0.004
165,1.405,0.003
166,1.401,0.003
167,1.398,0.003
167.1,1.397,0.003
168,1.392,0.003
169,1.387,0.003
170,1.381,0.003
171,1.371,0.003
172,1.364,0.003
173,1.359,0.003
174,1.357,0.003
175,1.352,0.003
176,1.347,0.003
177,1.342,0.003
178,1.334,0.003
179,1.327,0.003
180,1.321,0.003
181,1.319,0.003
182,1.312,0.003
183,1.3,0.003
184,1.289,0.003
