day,chau_z,chau_h
0,0,0
0.6,0.18,0
1,0.189,0
2,0.231,0
3,0.195,0
4,0.263,0
5,0.368,0
6,0.405,0
7,0.409,0
8,0.392,0
9,0.387,0
10,0.463,0
11,0.422,0
12,0.368,0
12.7,0.18,0
12.7,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
17.3,0.18,0
18,0.23,0
19,0.284,0
20,0.318,0
21,0.35,0
22,0.328,0
23,0.267,0
23.7,0.18,0
23.8,0,0
24,0,0
25,0,0
26,0.164,0
26.2,0.18,0
27,0.19,0
28,0.231,0
29,0.284,0
30,0.401,0
31,0.484,0
32,0.481,0
33,0.458,0
33.5,0.5,0
34,0.525,0
35,0.577,0
36,0.638,0
37,0.687,0
38,0.704,0
39,0.708,0
40,0.703,0
41,0.75,0
42,0.75,0
43,0.75,0
44,0.75,0
45,0.746,0
46,0.736,0
47,0.72,0
48,0.72,0
49,0.75,0
50,0.772,0
51,0.786,0
52,0.756,0
52,0.75,0
53,0.731,0
54,0.714,0
55,0.7,0
56,0.697,0
57,0.722,0
58,0.733,0
58.9,0.75,0
59,0.75,0
60,0.75,0
61,0.75,0
62,0.75,0
63,0.761,0
63.1,0.75,0
64,0.738,0
64.4,0.75,0
65,0.758,0
66,0.773,0
67,0.769,0
68,0.765,0
69,0.757,0
70,0.766,0
71,0.78,0
71.5,0.8,0
72,0.801,0
73,0.809,0
74,0.815,0
75,0.819,0
76,0.819,0
77,0.82,0
78,0.832,0
79,0.841,0
80,0.847,0
81,0.859,0
82,0.866,0
83,0.867,0
84,0.872,0
85,0.883,0
86,0.893,0
87,0.901,0
88,0.91,0
89,0.909,0
90,0.911,0
91,0.925,0
92,0.932,0
93,0.937,0
94,0.942,0
95,0.939,0
96,0.931,0
97,0.924,0
98,0.921,0
99,0.917,0
100,0.923,0
101,0.926,0
102,0.931,0
103,0.929,0
104,0.931,0
105,0.933,0
106,0.945,0
107,0.954,0
108,0.969,0
109,0.984,0
110,0.998,0
111,1.013,0
112,1.019,0
113,1.019,0
114,1.013,0
115,1.007,0
116,1.005,0
117,1.003,0
118,1.004,0
119,1.009,0
120,1.021,0
121,1.032,0
122,1.039,0
123,1.044,0
124,1.041,0
125,1.042,0
126,1.055,0
127,1.057,0
128,1.059,0
129,1.069,0
130,1.069,0
131,1.066,0
132,1.073,0
133,1.078,0
134,1.076,0
135,1.077,0
136,1.086,0
137,1.089,0
138,1.087,0
139,1.081,0
140,1.075,0
141,1.074,0
142,1.073,0
143,1.066,0
144,1.058,0
145,1.049,0
146,1.041,0
147,1.033,0
148,1.024,0
149,1.017,0
150,1.011,0
151,1,0
152,0.99,0
153,0.988,0
154,0.987,0
155,0.986,0
156,0.982,0
157,0.981,0
158,0.981,0
159,0.979,0
160,0.978,0
161,0.977,0
162,0.973,0
163,0.967,0
164,0.959,0
165,0.95,0
166,0.941,0
167,0.937,0
168,0.925,0
169,0.915,0
170,0.914,0
171,0.912,0
172,0.904,0
173,0.892,0
174,0.878,0
175,0.865,0
176,0.854,0
177,0.844,0
178,0.838,0
179,0.831,0
180,0.823,0
181,0.811,0
181.7,0.8,0
182,0.781,0
182.1,0.75,0
183,0.71,0
184,0.681,0
185,0.647,0
186,0.612,0
187,0.575,0
188,0.509,0
188.1,0.5,0
189,0.353,0
189.9,0.18,0
189.9,0,0
190,0,0
191,0,0
