day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.06,2.4,-0.1,1.48,1.48,0,0,1250,1,0,0,0.0409554,1,0.0409554,0,0,0,0,0,0,0.0409554,0.0409554,0,4.10366,5.09428,0.389379,0.0409554,-0.138766,5.09428,7.22737,2.13309,0,0.05
1.00819,0.196654,24.1967,0.06,3.24561,-4.3,1.48,1.48,0,0,1250,1,0,0.0276726,0.0190446,1,0.06,0,0,0,0,0,0,0.0190446,0.06,0,4.10366,5.02137,0.389379,0.405238,-0.583559,5.02137,126.075,121.054,0,0.05
1.62921,14.9043,39.1009,0.3,67.334,-4.3,0.92,0.92,0,0,1250,1,0,0.0405405,0.24,1,0.3,0,0,0,0,0,0,0.24,0.3,1,4.10366,5.02137,0.389379,0.303192,-0.473407,5.02137,25.1498,20.1285,0,0.05
2,8.89908,48,0.63,105.6,-4.3,1.77,1.89,0,0,7897,1,52,0.30141,0.0102743,1,0.310274,0,0,0,0,0,0,0.0102743,0.310274,2,4.10366,5.02137,0.389379,0.0102743,-1.15526,5.02137,14.1388,9.11741,0,0.05
3,24,72,0.63,254.4,-6.2,1.77,1.89,0,0,7897,1,52,0.306846,0.0441132,1,0.354388,0,0,0,0,0,0,0.0441132,0.354388,2,4.10366,4.95016,0.389379,0.0441132,-1.21904,4.95016,19.4652,14.5151,0,0.05
4,24,96,0.63,352.8,-4.1,1.77,1.89,0,0,7897,1,52,0.330187,0.022244,1,0.376632,0,0,0,0,0,0,0.022244,0.376632,2,4.10366,4.88059,0.389379,0.022244,-1.28518,4.88059,12.1998,7.3192,0,0.05
5,24,120,0.63,352.8,1.1,1.77,1.89,0,0,7897,1,52,0.341956,-0.024592,1,0.35204,0,0,0,0,0,0,-0.024592,0.35204,2,4.10366,4.8126,0.389379,-0.024592,-1.28263,4.8126,-3.27918,-8.09178,-0,0.05
6,24,144,0.63,352.8,2.4,1.77,1.89,0,0,7897,1,52,0.328944,-0.0372833,1,0.314756,0,0,0,0,0,0,-0.0372833,0.314756,2,4.10366,4.74615,0.389379,-0.0372833,-1.22055,4.74615,-7.5216,-12.2678,-0,0.05
7,24,168,0.63,352.8,7.2,1.77,1.89,0,0,7897,1,52,0.309218,-0.0909634,1,0.223793,0,0,0,0,0,0,-0.0909634,0.223793,2,4.10366,4.68117,0.389379,-0.0909634,-1.09211,4.68117,-25.2496,-29.9307,-0,0.05
8,24,192,0.3,352.8,4.5,0.92,0.92,0,0,1250,1,0,0.218576,-0.483944,0,0.01,0,0,0,0,0,0,-0.483944,0,1,4.10366,4.61763,0.389379,-0.483944,nan,4.61763,101.268,-25.2054,0,0.05
9,24,216,0.06,352.8,1.6,1.48,1.48,0,0,1250,1,0,0.00675676,-4.63403,0,0.01,0,0,0,0,0,0,-4.63403,0,0,4.10366,4.55547,0.389379,-4.63403,nan,4.55547,1.02644,-241.355,0,0.05
10,24,240,0.06,352.8,0,1.48,1.48,0,0,1250,1,0,0.00675676,-0.02,1,0.01,0,0,0,0,0,0,-0.02,0,0,4.10366,4.49465,0.389379,-0.02,-0.0862972,4.49465,0,-1.04167,0,0.05
11,24,264,0.06,352.8,0.7,1.48,1.48,0,0,1250,1,0,0.00675676,-2.07427,0,0.01,0,0,0,0,0,0,-2.07427,0,0,4.10366,4.43512,0.389379,-2.07427,nan,4.43512,1.00863,-108.035,0,0.05
12,24,288,0.06,352.8,1.5,1.48,1.48,0,0,1250,1,0,0.00675676,-4.34644,0,0.01,0,0,0,0,0,0,-4.34644,0,0,4.10366,4.37685,0.389379,-4.34644,nan,4.37685,1.02625,-226.377,0,0.05
13,24,312,0.06,352.8,1.3,1.48,1.48,0,0,1250,1,0,0.00675676,-3.77702,0,0.01,0,0,0,0,0,0,-3.77702,0,0,4.10366,4.3198,0.389379,-3.77702,nan,4.3198,1.02422,-196.72,0,0.05
14,24,336,0.06,355.2,-0.1,1.48,1.48,0,0,1250,1,0,0.00675676,0.0305531,1,0.0405531,0,0,0,0,0,0,0.0305531,0.0305531,0,4.10366,4.26392,0.389379,0.0305531,-0.13242,4.26392,5.85523,1.59131,0,0.05
15,24,360,0.06,355.2,0.4,1.48,1.48,0,0,1250,1,0,0.0274007,-0.361101,0,0.01,0,0,0,0,0,0,-0.361101,0,0,4.10366,4.20919,0.389379,-0.361101,nan,4.20919,4.22865,-18.8073,0,0.05
16,24,384,0.06,355.2,0.3,1.48,1.48,0,0,1250,1,0,0.00675676,-0.932267,0,0.01,0,0,0,0,0,0,-0.932267,0,0,4.10366,4.15556,0.389379,-0.932267,nan,4.15556,0.973399,-48.5556,0,0.05
