day,site_z,site_h
0,0,0
1,nan,nan
1,nan,nan
2,0,nan
3,nan,nan
4,nan,nan
5,nan,nan
6,nan,nan
6.3,nan,nan
6.6,nan,nan
6.6,nan,nan
7,nan,nan
8,nan,nan
9,nan,nan
10,nan,nan
11,-0.002,0.002
12,nan,nan
13,nan,nan
14,nan,nan
14.1,nan,nan
15,nan,nan
16,nan,nan
17,nan,nan
18,nan,nan
18,nan,nan
19,nan,nan
20,nan,nan
21,nan,nan
22,nan,nan
23,0.498,0.002
24,nan,nan
25,nan,nan
26,nan,nan
26.8,nan,nan
27,nan,nan
28,nan,nan
29,nan,nan
30,nan,nan
30.6,nan,nan
31,nan,nan
32,nan,nan
32.6,nan,nan
33,nan,nan
34,nan,nan
34,nan,nan
35,nan,nan
36,nan,nan
37,nan,nan
38,0.798,0.002
39,nan,nan
40,nan,nan
41,nan,nan
42,nan,nan
43,nan,nan
44,0.778,0.002
45,nan,nan
45.1,nan,nan
46,nan,nan
46.2,nan,nan
47,nan,nan
48,nan,nan
49,nan,nan
50,nan,nan
51,nan,nan
52,nan,nan
53,nan,nan
54,nan,nan
55,nan,nan
56,nan,nan
57,nan,nan
58,0.878,0.002
59,nan,nan
60,nan,nan
61,nan,nan
62,nan,nan
63,nan,nan
64,nan,nan
65,nan,nan
66,nan,nan
67,nan,nan
68,nan,nan
69,nan,nan
70,nan,nan
71,nan,nan
72,nan,nan
73,0.878,0.002
74,nan,nan
75,nan,nan
76,nan,nan
77,nan,nan
78,nan,nan
79,nan,nan
80,nan,nan
81,nan,nan
82,nan,nan
83,nan,nan
84,nan,nan
85,nan,nan
86,nan,nan
87,0.858,0.002
88,nan,nan
89,nan,nan
90,nan,nan
91,0.798,0.002
92,0.778,0.002
93,0.758,0.002
94,0.747,0.003
95,0.738,0.002
96,nan,nan
97,nan,nan
98,0.708,0.002
99,0.65,nan
100,nan,nan
101,nan,nan
102,nan,0.002
103,nan,nan
104,nan,nan
105,nan,nan
106,nan,nan
107,nan,0.003
108,nan,nan
109,nan,0.002
110,nan,nan
111,nan,nan
112,nan,nan
113,nan,nan
114,nan,0
115,nan,0.002
115.3,nan,nan
116,nan,0.002
116.1,nan,nan
117,nan,nan
118,nan,nan
119,nan,nan
120,nan,0.002
121,nan,nan
121.6,nan,nan
122,nan,0.002
123,nan,nan
124,nan,nan
125,nan,nan
126,nan,0.002
127,nan,nan
128,nan,nan
