day,chau_z,chau_h
0,0,0
1,0.088,0
2,0.138,0
2.2,0.15,0
3,0.158,0
4,0.174,0
5,0.195,0
6,0.219,0
7,0.245,0
8,0.272,0
9,0.301,0
10,0.33,0
11,0.36,0
12,0.391,0
13,0.422,0
14,0.453,0
15,0.484,0
16,0.515,0
17,0.547,0
18,0.578,0
18.8,0.6,0
19,0.6,0
20,0.6,0
21,0.6,0
22,0.6,0
23,0.6,0
24,0.6,0
25,0.6,0
26,0.6,0
27,0.6,0
28,0.6,0
29,0.603,0
30,0.607,0
31,0.612,0
32,0.618,0
32.1,0.625,0
33,0.626,0
34,0.628,0
35,0.63,0
36,0.632,0
37,0.634,0
38,0.637,0
39,0.64,0
40,0.643,0
41,0.647,0
42,0.651,0
43,0.655,0
44,0.659,0
45,0.664,0
46,0.669,0
47,0.674,0
48,0.679,0
49,0.684,0
50,0.69,0
51,0.695,0
52,0.701,0
53,0.707,0
54,0.714,0
55,0.72,0
56,0.726,0
57,0.733,0
58,0.74,0
59,0.747,0
60,0.753,0
61,0.761,0
62,0.768,0
63,0.775,0
64,0.782,0
65,0.789,0
66,0.797,0
67,0.804,0
68,0.811,0
69,0.819,0
70,0.826,0
71,0.834,0
72,0.841,0
73,0.849,0
74,0.856,0
75,0.864,0
76,0.871,0
77,0.878,0
78,0.886,0
79,0.893,0
80,0.9,0
81,0.907,0
82,0.915,0
83,0.922,0
84,0.929,0
85,0.936,0
86,0.942,0
87,0.949,0
88,0.956,0
89,0.962,0
90,0.969,0
91,0.975,0
92,0.981,0
93,0.987,0
94,0.993,0
95,0.999,0
96,1.005,0
97,1.01,0
98,1.016,0
99,1.021,0
100,1.026,0
101,1.031,0
102,1.036,0
103,1.04,0
104,1.045,0
105,1.049,0
106,1.053,0
107,1.057,0
108,1.06,0
109,1.064,0
110,1.067,0
111,1.07,0
112,1.073,0
113,1.075,0
114,1.078,0
115,1.08,0
116,1.082,0
117,1.083,0
118,1.085,0
119,1.086,0
120,1.087,0
121,1.088,0
122,1.088,0
123,1.088,0
124,1.088,0
125,1.088,0
126,1.087,0
127,1.086,0
128,1.085,0
129,1.084,0
130,1.082,0
131,1.08,0
132,1.078,0
133,1.075,0
134,1.073,0
135,1.069,0
136,1.066,0
137,1.062,0
138,1.058,0
139,1.054,0
