day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.15,7.2,-0.3,1.48,1.48,0,0,1250,1,0,0,0.0779354,1,0.0779354,0,0,0,0,0,0,0.0779354,0.0779354,0,3.31707,7.33492,0.581743,0.0779354,-0.218766,7.33492,11.3941,4.05914,0,0.025
2,24,48,0.15,19.2,-0.5,1.48,1.48,0,0,1250,1,0,0.0526591,0.0215699,1,0.0995053,0,0,0,0,0,0,0.0215699,0.0995053,0,3.31707,7.21739,0.581743,0.0215699,-0.316014,7.21739,8.34082,1.12343,0,0.025
3,24,72,0.15,38.4,-0.8,1.48,1.48,0,0,1250,1,0,0.0672333,0.0478196,1,0.147325,0,0,0,0,0,0,0.0478196,0.147325,0,3.31707,7.10304,0.581743,0.0478196,-0.383209,7.10304,9.59364,2.4906,0,0.025
3.03519,0.844601,72.8446,0.15,39.3291,-1.1,1.48,1.48,0,0,1250,1,0,0.0995438,0.00267518,1,0.15,0,0,0,0,0,0,0.00267518,0.15,0,3.31707,6.99176,0.581743,0.0481336,-0.477025,6.99176,10.951,3.95923,0,0.025
4,23.1554,96,0.6,64.8,-1.1,1.77,1.89,0,0,7897,1,52,0.101351,0.0104758,1,0.160476,0,0,0,0,0,0,0.0104758,0.160476,1,3.31707,6.99176,0.581743,0.0104758,-0.414085,6.99176,10.5645,3.5727,0,0.025
5,24,120,0.6,98.4,-1.4,1.77,1.89,0,0,7897,1,52,0.106894,0.017254,1,0.17773,0,0,0,0,0,0,0.017254,0.17773,1,3.31707,6.88341,0.581743,0.017254,-0.442233,6.88341,12.5607,5.6773,0,0.025
6,24,144,0.6,136.8,-1.6,1.77,1.89,0,0,7897,1,52,0.116023,0.0195254,1,0.197255,0,0,0,0,0,0,0.0195254,0.197255,1,3.31707,6.77789,0.581743,0.0195254,-0.478692,6.77789,13.2026,6.42466,0,0.025
7,24,168,0.6,182.4,-1.9,1.77,1.89,0,0,7897,1,52,0.126354,0.0232885,1,0.220544,0,0,0,0,0,0,0.0232885,0.220544,1,3.31707,6.67509,0.581743,0.0232885,-0.521194,6.67509,14.338,7.6629,0,0.025
8,24,192,0.6,235.2,-2.2,1.77,1.89,0,0,7897,1,52,0.138676,0.0259569,1,0.246501,0,0,0,0,0,0,0.0259569,0.246501,1,3.31707,6.57489,0.581743,0.0259569,-0.570134,6.57489,15.1158,8.54092,0,0.025
