day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0380159,0.912382,0.912382,0.115,5.47429,-6,1.63,1.63,0,0,1250,0.94,0,0,0.115,1,0.115,0,0,0,0,0,0,0.115,0.115,0,3.2122,12.5323,1,0.504211,-0.744831,12.5323,170.087,157.555,0,0
1,23.0876,24,0.265,144,-6,1.87,2.15,0,0,10959,0.94,71,0.0705521,0.10628,1,0.22128,0,0,0,0,0,0,0.10628,0.22128,1,3.2122,12.5323,1,0.10628,-0.436056,12.5323,62.98,50.4477,0,0
2,24,48,0.265,187.2,-1.8,1.87,2.15,0,0,10959,0.94,71,0.119985,0.00550871,1,0.226788,0,0,0,0,0,0,0.00550871,0.226788,1,3.2122,12.328,1,0.00550871,-0.54844,12.328,14.8434,2.51541,0,0
2.84755,20.3413,68.3413,0.265,274.668,-4.3,1.87,2.15,0,0,10959,0.94,71,0.122547,0.0382117,1,0.265,0,0,0,0,0,0,0.0382117,0.265,1,3.2122,12.1295,1,0.0443187,-0.597833,12.1295,32.7163,20.5868,0,0
3,3.6587,72,0.865,290.4,-4.3,1.7,1.72,0,0,8131,0.94,28,0.14032,0.00810345,1,0.273103,0,0,0,0,0,0,0.00810345,0.273103,2,3.2122,12.1295,1,0.00810345,-0.496261,12.1295,30.1384,18.0089,0,0
4,24,96,0.865,386.4,-4,1.7,1.72,0,0,8131,0.94,28,0.145031,0.040117,1,0.31322,0,0,0,0,0,0,0.040117,0.31322,2,3.2122,11.9363,1,0.040117,-0.574255,11.9363,25.5277,13.5913,0,0
5,24,120,0.865,465.6,-3.3,1.7,1.72,0,0,8131,0.94,28,0.168355,0.0211419,1,0.334362,0,0,0,0,0,0,0.0211419,0.334362,2,3.2122,11.7484,1,0.0211419,-0.63496,11.7484,18.9111,7.16269,0,0
6,24,144,0.865,465.6,0.3,1.7,1.72,0,0,8131,0.94,28,0.180647,-0.0393709,1,0.294991,0,0,0,0,0,0,-0.0393709,0.294991,2,3.2122,11.5655,1,-0.0393709,-0.616191,11.5655,-1.77303,-13.3385,-0,0
7,24,168,0.865,544.8,-3.3,1.7,1.72,0,0,8131,0.94,28,0.157756,0.0253741,1,0.320366,0,0,0,0,0,0,0.0253741,0.320366,2,3.2122,11.3874,1,0.0253741,-0.601668,11.3874,19.9839,8.59654,0,0
8,24,192,0.865,552,-0.3,1.7,1.72,0,0,8131,0.94,28,0.172509,-0.0277151,1,0.29265,0,0,0,0,0,0,-0.0277151,0.29265,2,3.2122,11.2139,1,-0.0277151,-0.598815,11.2139,1.82424,-9.38966,0,0
9,24,216,0.865,588,-1.5,1.7,1.72,0,0,8131,0.94,28,0.156395,-0.004075,1,0.288575,0,0,0,0,0,0,-0.004075,0.288575,2,3.2122,11.0449,1,-0.004075,-0.566526,11.0449,9.66428,-1.38058,0,0
10,24,240,0.865,684,-4,1.7,1.72,0,0,8131,0.94,28,0.154026,0.0392523,1,0.327828,0,0,0,0,0,0,0.0392523,0.327828,2,3.2122,10.8801,1,0.0392523,-0.601217,10.8801,24.1784,13.2983,0,0
11,24,264,0.865,912,-9.5,1.7,1.72,0,0,8131,0.94,28,0.176847,0.103807,1,0.431635,0,0,0,0,0,0,0.103807,0.431635,2,3.2122,10.7194,1,0.103807,-0.743802,10.7194,45.8884,35.169,0,0
12,24,288,0.865,1147.2,-9.8,1.7,1.72,0,0,8131,0.94,28,0.2372,0.0798956,1,0.511531,0,0,0,0,0,0,0.0798956,0.511531,2,3.2122,10.5627,1,0.0798956,-0.927042,10.5627,37.6307,27.068,0,0
13,24,312,0.865,1387.2,-10,1.7,1.72,0,0,8131,0.94,28,0.283651,0.0666774,1,0.578208,0,0,0,0,0,0,0.0666774,0.578208,2,3.2122,10.4098,1,0.0666774,-1.07316,10.4098,32.9996,22.5897,0,0
14,24,336,0.865,1490.4,-4.3,1.7,1.72,0,0,8131,0.94,28,0.322417,0.00877085,1,0.586979,0,0,0,0,0,0,0.00877085,0.586979,2,3.2122,10.2606,1,0.00877085,-1.14817,10.2606,13.2321,2.97149,0,0
15,24,360,0.865,1670.4,-7.5,1.7,1.72,0,0,8131,0.94,28,0.327517,0.0356621,1,0.622641,0,0,0,0,0,0,0.0356621,0.622641,2,3.2122,10.115,1,0.0356621,-1.19218,10.115,22.197,12.082,0,0
16,24,384,0.865,2042.4,-15.5,1.7,1.72,0,0,8131,0.94,28,0.34825,0.0925188,1,0.71516,0,0,0,0,0,0,0.0925188,0.71516,2,3.2122,9.97274,1,0.0925188,-1.31994,9.97274,41.3173,31.3446,0,0
17,24,408,0.865,2277.6,-9.8,1.7,1.72,0,0,8131,0.94,28,0.40204,0.0408581,1,0.756018,0,0,0,0,0,0,0.0408581,0.756018,2,3.2122,9.83381,1,0.0408581,-1.4529,9.83381,23.6762,13.8424,0,0
18,24,432,0.865,2524.8,-10.3,1.7,1.72,0,0,8131,0.94,28,0.425795,0.0408387,1,0.796857,0,0,0,0,0,0,0.0408387,0.796857,2,3.2122,9.69807,1,0.0408387,-1.5342,9.69807,23.5339,13.8358,0,0
19,24,456,0.865,2668.8,-6,1.7,1.72,0,0,8131,0.94,28,0.449538,0.0108867,1,0.807743,0,0,0,0,0,0,0.0108867,0.807743,2,3.2122,9.56541,1,0.0108867,-1.58553,9.56541,13.2537,3.68831,0,0
20,24,480,0.865,2856,-7.8,1.7,1.72,0,0,8131,0.94,28,0.455868,0.0219552,1,0.829698,0,0,0,0,0,0,0.0219552,0.829698,2,3.2122,9.43572,1,0.0219552,-1.61799,9.43572,16.874,7.43825,0,0
21,24,504,0.865,2904,-2,1.7,1.72,0,0,8131,0.94,28,0.468633,-0.0147635,1,0.814935,0,0,0,0,0,0,-0.0147635,0.814935,2,3.2122,9.30892,1,-0.0147635,-1.62481,9.30892,4.30718,-5.00174,0,0
22,24,528,0.865,3132,-9.5,1.7,1.72,0,0,8131,0.94,28,0.460049,0.0326104,1,0.847545,0,0,0,0,0,0,0.0326104,0.847545,2,3.2122,9.1849,1,0.0326104,-1.64229,9.1849,20.233,11.0481,0,0
22.376,9.02502,537.025,0.865,3240.3,-12,1.7,1.72,0,0,8131,0.94,28,0.479009,0.0174546,1,0.865,0,0,0,0,0,0,0.0174546,0.865,2,3.2122,9.06357,1,0.0452168,-1.71976,9.06357,24.7891,15.7256,0,0
23,14.975,552,10.865,3420,-12,2.07,2.79,1.62506,12,24831,0.94,82,0.489157,0.00848815,1,0.873488,0,0,0.000232511,0.000232511,0.000232511,0.000232511,0.00872066,0.873721,3,3.2122,9.06357,1,0.00848815,-2.74345,9.06357,24.456,14.0748,1.31763,0
24,24,576,10.865,4044,-26,2.07,2.79,1.62167,12,24831,0.94,82,0.492303,0.0389798,1,0.912468,0,0,0.000791802,0.00102431,0.000791802,0.00102431,0.0397716,0.913492,3,3.2122,8.94485,1,0.0389798,-2.79468,8.94485,52.0741,40.3295,2.79976,0
25,24,600,10.865,4651.2,-25.3,2.07,2.79,1.60626,12,24831,0.88,82,0.506628,0.0365795,1,0.949047,0,0,0.000742502,0.00176682,0.000742502,0.00176682,0.037322,0.950814,3,3.2122,8.82865,1,0.0365795,-2.8721,8.82865,49.3001,37.846,2.62544,0
26,24,624,10.865,5162.4,-21.3,2.07,2.79,1.59194,12,24831,0.88,82,0.52007,0.0287056,1,0.977753,0,0,0.000605344,0.00237216,0.000605344,0.00237216,0.0293109,0.980125,3,3.2122,8.7149,1,0.0287056,-2.93912,8.7149,40.5549,29.6995,2.14046,0
27,24,648,10.865,5445.6,-11.8,2.07,2.79,1.58078,12,24831,0.88,82,0.530629,0.0119695,1,0.989723,0,0,0.000328279,0.00270044,0.000328279,0.00270044,0.0122978,0.992423,3,3.2122,8.60351,1,0.0119695,-2.9812,8.60351,22.1482,12.3839,1.16077,0
28,24,672,10.865,5632.8,-7.8,2.07,2.79,1.57612,12,24831,0.88,82,0.535066,0.00512053,1,0.994843,0,0,0.000215063,0.0029155,0.000215063,0.0029155,0.00533559,0.997759,3,3.2122,8.49441,1,0.00512053,-2.999,8.49441,14.5527,5.29783,0.760449,0
29,24,696,10.865,6060,-17.8,2.07,2.79,1.5741,12,24831,0.88,82,0.536997,0.0220374,1,1.01688,0,0,0.00048566,0.00340116,0.00048566,0.00340116,0.0225231,1.02028,3,3.2122,8.38754,1,0.0220374,-3.02659,8.38754,32.9053,22.8005,1.71726,0
30,24,720,10.865,6468,-17,2.07,2.79,1.56562,12,24831,0.88,82,0.545113,0.0203821,1,1.03726,0,0,0.000454759,0.00385592,0.000454759,0.00385592,0.0208368,1.04112,3,3.2122,8.28283,1,0.0203821,-3.07012,8.28283,30.9786,21.0878,1.608,0
31,24,744,10.865,6864,-16.5,2.07,2.79,1.55781,12,24831,0.88,82,0.552621,0.0192914,1,1.05655,0,0,0.000433406,0.00428933,0.000433406,0.00428933,0.0197248,1.06084,3,3.2122,8.18021,1,0.0192914,-3.11082,8.18021,29.6721,19.9594,1.53249,0
32,24,768,10.865,7284,-17.5,2.07,2.79,1.55045,12,24831,0.88,82,0.559729,0.0206678,1,1.07722,0,0,0.00045153,0.00474086,0.00045153,0.00474086,0.0211193,1.08196,3,3.2122,8.07961,1,0.0206678,-3.15176,8.07961,31.0596,21.3834,1.59658,0
33,24,792,10.865,7536,-10.5,2.07,2.79,1.54261,12,24831,0.88,82,0.567338,0.00921009,1,1.08643,0,0,0.000266916,0.00500777,0.000266916,0.00500777,0.00947701,1.09144,3,3.2122,7.98099,1,0.00921009,-3.18267,7.98099,18.4538,9.52899,0.943799,0
34,24,816,10.865,7903.2,-15.3,2.07,2.79,1.53911,12,24831,0.88,82,0.570759,0.0168375,1,1.10327,0,0,0.000384814,0.00539259,0.000384814,0.00539259,0.0172223,1.10866,3,3.2122,7.88428,1,0.0168375,-3.20929,7.88428,26.6655,17.4205,1.36068,0
35,24,840,10.865,8335.2,-18,2.07,2.79,1.53276,12,24831,0.88,82,0.576965,0.0209079,1,1.12418,0,0,0.00044547,0.00583806,0.00044547,0.00583806,0.0213534,1.13002,3,3.2122,7.78943,1,0.0209079,-3.2479,7.78943,30.9964,21.6318,1.57515,0
36,24,864,10.865,8851.2,-21.5,2.07,2.79,1.52492,12,24831,0.88,82,0.584658,0.0260399,1,1.15022,0,0,0.000521633,0.00635969,0.000521633,0.00635969,0.0265616,1.15658,3,3.2122,7.69639,1,0.0260399,-3.29587,7.69639,36.4824,26.9416,1.84446,0
37,24,888,10.865,9362.4,-21.3,2.07,2.79,1.51523,12,24831,0.88,82,0.594224,0.0253052,1,1.17552,0,0,0.000505406,0.0068651,0.000505406,0.0068651,0.0258106,1.18239,3,3.2122,7.60509,1,0.0253052,-3.34843,7.60509,35.5736,26.1814,1.78708,0
38,24,912,10.865,10010.4,-27,2.07,2.79,1.50588,12,24831,0.88,82,0.60352,0.0334139,1,1.20894,0,0,0.00062547,0.00749057,0.00062547,0.00749057,0.0340394,1.21643,3,3.2122,7.51551,1,0.0334139,-3.40832,7.51551,44.298,34.5709,2.21162,0
39,24,936,10.865,10389.6,-15.8,2.07,2.79,1.49362,12,24831,0.88,82,0.615775,0.0162817,1,1.22522,0,0,0.000357648,0.00784821,0.000357648,0.00784821,0.0166394,1.23307,3,3.2122,7.42758,1,0.0162817,-3.45949,7.42758,25.5377,16.8455,1.26462,0
40,24,960,10.865,10528.8,-5.8,2.07,2.79,1.48767,12,24831,0.88,82,0.621771,0.00147212,1,1.22669,0,0,0.000130063,0.00797828,0.000130063,0.00797828,0.00160218,1.23467,3,3.2122,7.34126,1,0.00147212,-3.47805,7.34126,9.32424,1.52309,0.459894,0
41,24,984,10.865,10596,-2.8,2.07,2.79,1.4871,12,24831,0.88,82,0.622357,-0.00287616,1,1.22381,0,0,0,0.00797828,0,0.00797828,-0.00287616,1.23179,3,3.2122,7.25651,1,-0.00287616,-3.47689,7.25651,4.50276,-2.97575,0.222001,0
42,24,1008,10.865,10596,0.5,2.07,2.79,1.48813,12,24831,0.88,82,0.621326,-0.00767428,1,1.21614,0,0,0,0.00797828,0,0.00797828,-0.00767428,1.22412,3,3.2122,7.17328,1,-0.00767428,-3.46626,7.17328,-0.806516,-7.94,-0.0397915,0
43,24,1032,10.865,10596,0.8,2.07,2.79,1.49087,12,24831,0.88,82,0.618575,-0.00804521,1,1.20809,0,0,0,0.00797828,0,0.00797828,-0.00804521,1.21607,3,3.2122,7.09154,1,-0.00804521,-3.45046,7.09154,-1.29632,-8.32378,-0.0640749,0
44,24,1056,10.865,10771.2,-7.3,2.07,2.79,1.49375,12,24831,0.88,82,0.615691,0.00410266,1,1.2122,0,0,0.000165864,0.00814414,0.000165864,0.00814414,0.00426853,1.22034,3,3.2122,7.01124,1,0.00410266,-3.44644,7.01124,11.8424,4.24472,0.586485,0
45,24,1080,10.865,11018.4,-10.3,2.07,2.79,1.49222,12,24831,0.88,82,0.617236,0.00859238,1,1.22079,0,0,0.0002329,0.00837704,0.0002329,0.00837704,0.00882528,1.22917,3,3.2122,6.93235,1,0.00859238,-3.45947,6.93235,16.6458,8.88989,0.82352,0
46,24,1104,10.865,11265.6,-10.3,2.07,2.79,1.48906,12,24831,0.88,82,0.62042,0.00859071,1,1.22938,0,0,0.000231218,0.00860826,0.000231218,0.00860826,0.00882193,1.23799,3,3.2122,6.85484,1,0.00859071,-3.47716,6.85484,16.5606,8.88816,0.817572,0
47,24,1128,10.865,11265.6,0.3,2.07,2.79,1.48591,12,24831,0.88,82,0.623602,-0.00699476,1,1.22239,0,0,0,0.00860826,0,0.00860826,-0.00699476,1.23099,3,3.2122,6.77865,1,-0.00699476,-3.47926,6.77865,-0.482045,-7.23695,-0.0237475,0
48,24,1152,10.865,11265.6,4,2.07,2.79,1.48841,12,24831,0.88,82,0.621095,-0.0124182,1,1.20997,0,0,0,0.00860826,0,0.00860826,-0.0124182,1.21858,3,3.2122,6.70377,1,-0.0124182,-3.45977,6.70377,-6.4634,-12.8482,-0.318949,0
49,24,1176,10.865,11469.6,-8.5,2.07,2.79,1.49285,12,24831,0.88,82,0.616644,0.0062324,1,1.2162,0,0,0.000192597,0.00880086,0.000192597,0.00880086,0.006425,1.225,3,3.2122,6.63016,1,0.0062324,-3.45351,6.63016,13.7594,6.4482,0.681009,0
50,24,1200,10.865,11764.8,-12.3,2.07,2.79,1.49055,12,24831,0.88,82,0.618964,0.0118569,1,1.22806,0,0,0.000276779,0.00907764,0.000276779,0.00907764,0.0121337,1.23713,3,3.2122,6.55778,1,0.0118569,-3.47201,6.55778,19.8039,12.2675,0.97867,0
51,24,1224,10.865,11992.8,-9.5,2.07,2.79,1.48622,12,24831,0.88,82,0.623337,0.00770419,1,1.23576,0,0,0.000211912,0.00928955,0.000211912,0.00928955,0.0079161,1.24505,3,3.2122,6.48661,1,0.00770419,-3.49219,6.48661,15.2069,7.97095,0.749307,0
52,24,1248,10.865,12400.8,-17,2.07,2.79,1.4834,12,24831,0.88,82,0.626193,0.0186151,1,1.25438,0,0,0.000375599,0.00966515,0.000375599,0.00966515,0.0189907,1.26404,3,3.2122,6.41661,1,0.0186151,-3.51897,6.41661,27.0043,19.2596,1.32809,0
53,24,1272,10.865,12808.8,-17,2.07,2.79,1.47665,12,24831,0.88,82,0.633033,0.018422,1,1.2728,0,0,0.000369892,0.010035,0.000369892,0.010035,0.0187919,1.28283,3,3.2122,6.34776,1,0.018422,-3.55688,6.34776,26.7155,19.0598,1.30791,0
54,24,1296,10.865,13252.8,-18.5,2.07,2.79,1.47001,12,24831,0.88,82,0.639801,0.0203648,1,1.29316,0,0,0.000396287,0.0104313,0.000396287,0.0104313,0.0207611,1.30359,3,3.2122,6.28003,1,0.0203648,-3.59652,6.28003,28.7512,21.07,1.40124,0
55,24,1320,10.865,13740,-20.3,2.07,2.79,1.4627,12,24831,0.88,82,0.647277,0.0226573,1,1.31582,0,0,0.000427444,0.0108588,0.000427444,0.0108588,0.0230848,1.32668,3,3.2122,6.21339,1,0.0226573,-3.64047,6.21339,31.1666,23.4418,1.51141,0
56,24,1344,10.865,13975.2,-9.8,2.07,2.79,1.45462,12,24831,0.82,82,0.655589,0.00778009,1,1.3236,0,0,0.000203449,0.0110622,0.000203449,0.0110622,0.00798354,1.33466,3,3.2122,6.14781,1,0.00778009,-3.67191,6.14781,14.9167,8.04948,0.719381,0
57,24,1368,10.865,14107.2,-5.5,2.07,2.79,1.45183,12,24831,0.82,82,0.658468,0.00180113,1,1.3254,0,0,0.000113649,0.0111759,0.000113649,0.0111759,0.00191478,1.33658,3,3.2122,6.08328,1,0.00180113,-3.68193,6.08328,8.34863,1.86349,0.401855,0
58,24,1392,10.865,14107.2,1.3,2.07,2.79,1.45117,12,24831,0.82,82,0.659164,-0.00763656,1,1.31776,0,0,0,0.0111759,0,0.0111759,-0.00763656,1.32894,3,3.2122,6.01976,1,-0.00763656,-3.67632,6.01976,-1.9763,-7.90097,-0.095084,0
59,24,1416,10.865,14107.2,1,2.07,2.79,1.45383,12,24831,0.82,82,0.656427,-0.00716205,1,1.3106,0,0,0,0.0111759,0,0.0111759,-0.00716205,1.32178,3,3.2122,5.95723,1,-0.00716205,-3.66146,5.95723,-1.52638,-7.41004,-0.0735723,0
60,24,1440,10.865,14275.2,-7,2.07,2.79,1.45633,12,24831,0.82,82,0.65386,0.00413825,1,1.31474,0,0,0.000146021,0.0113219,0.000146021,0.0113219,0.00428427,1.32606,3,3.2122,5.89567,1,0.00413825,-3.65838,5.89567,10.6935,4.28153,0.516319,0
61,24,1464,10.865,14582.4,-12.8,2.07,2.79,1.45483,12,24831,0.82,82,0.655409,0.0122659,1,1.32701,0,0,0.000265516,0.0115874,0.000265516,0.0115874,0.0125314,1.33859,3,3.2122,5.83506,1,0.0122659,-3.67509,5.83506,19.4645,12.6906,0.938847,0
62,24,1488,10.865,14834.4,-10.5,2.07,2.79,1.45047,12,24831,0.82,82,0.659924,0.00902106,1,1.33603,0,0,0.000215861,0.0118033,0.000215861,0.0118033,0.00923692,1.34783,3,3.2122,5.77537,1,0.00902106,-3.69698,5.77537,15.872,9.33341,0.76327,0
63,24,1512,10.865,15201.6,-15.3,2.07,2.79,1.44725,12,24831,0.82,82,0.663253,0.0156119,1,1.35164,0,0,0.000311718,0.012115,0.000311718,0.012115,0.0159236,1.36375,3,3.2122,5.71658,1,0.0156119,-3.72209,5.71658,22.9712,16.1524,1.10221,0
