day,chau_z,chau_h
0,0,0
0.1,0.115,0
1,0.223,0
2,0.235,0
2.6,0.265,0
3,0.287,0
4,0.333,0
5,0.36,0
6,0.332,0
7,0.359,0
8,0.34,0
9,0.341,0
10,0.378,0
11,0.475,0
12,0.554,0
13,0.622,0
14,0.636,0
15,0.674,0
16,0.766,0
17,0.81,0
18,0.854,0
18.8,0.865,0
19,0.866,0
20,0.874,0
21,0.871,0
22,0.882,0.001
23,0.898,0.001
24,0.94,0.002
25,0.978,0.002
26,1.009,0.003
27,1.023,0.003
28,1.03,0.004
29,1.054,0.004
30,1.076,0.004
31,1.097,0.005
32,1.12,0.005
33,1.131,0.006
34,1.149,0.006
35,1.172,0.006
36,1.199,0.007
37,1.226,0.007
38,1.261,0.008
39,1.278,0.008
40,1.281,0.008
41,1.28,0.008
42,1.274,0.008
43,1.268,0.008
44,1.273,0.009
45,1.283,0.009
46,1.293,0.009
47,1.287,0.009
48,1.277,0.009
49,1.284,0.009
50,1.297,0.009
51,1.306,0.01
52,1.326,0.01
53,1.345,0.01
54,1.366,0.011
55,1.39,0.011
56,1.398,0.011
57,1.401,0.011
58,1.395,0.011
59,1.389,0.011
60,1.394,0.011
61,1.407,0.012
62,1.417,0.012
63,1.434,0.012
64,1.445,0.012
65,1.448,0.013
66,1.457,0.013
67,1.455,0.013
68,1.454,0.013
69,1.468,0.013
70,1.482,0.013
71,1.491,0.014
72,1.495,0.014
73,1.496,0.014
74,1.496,0.014
75,1.502,0.014
76,1.513,0.014
77,1.534,0.014
78,1.554,0.015
79,1.569,0.015
80,1.577,0.015
81,1.576,0.015
82,1.576,0.015
83,1.576,0.015
84,1.571,0.015
85,1.571,0.015
86,1.572,0.015
87,1.562,0.015
88,1.572,0.016
89,1.589,0.016
90,1.601,0.016
91,1.613,0.016
92,1.621,0.016
93,1.628,0.016
94,1.632,0.017
95,1.632,0.017
96,1.631,0.017
97,1.631,0.017
98,1.633,0.017
99,1.631,0.017
100,1.628,0.017
101,1.628,0.017
102,1.626,0.017
103,1.625,0.017
104,1.624,0.017
105,1.618,0.017
106,1.615,0.017
107,1.61,0.017
108,1.612,0.017
