day,site_z,site_h
0,0,0
0.1,nan,nan
1,0,nan
2,nan,nan
2.6,nan,nan
3,nan,nan
4,nan,nan
5,nan,nan
6,0.37,nan
7,0.27,nan
8,0,nan
9,nan,nan
10,nan,nan
11,nan,nan
12,nan,nan
13,0.55,nan
14,0,nan
15,0.58,nan
16,nan,nan
17,nan,nan
18,nan,nan
18.8,nan,nan
19,nan,nan
20,0.79,nan
21,0.63,nan
22,0.849,nan
23,nan,nan
24,nan,nan
25,nan,nan
26,nan,nan
27,0.967,nan
28,0.866,nan
29,0.846,nan
30,nan,nan
31,nan,nan
32,nan,nan
33,nan,nan
34,nan,nan
35,nan,nan
36,nan,nan
37,nan,nan
38,nan,nan
39,nan,nan
40,nan,nan
41,1.242,nan
42,1.192,nan
43,1.332,nan
44,nan,nan
45,nan,nan
46,nan,nan
47,nan,nan
48,nan,nan
49,nan,nan
50,nan,nan
51,nan,nan
52,nan,nan
53,nan,nan
54,nan,nan
55,1.249,nan
56,1.219,nan
57,1.369,nan
58,nan,nan
59,nan,nan
60,nan,nan
61,nan,nan
62,nan,nan
63,nan,nan
64,nan,nan
65,nan,nan
66,nan,nan
67,nan,nan
68,nan,nan
69,nan,nan
70,nan,nan
71,1.316,nan
72,1.276,nan
73,1.426,nan
74,nan,nan
75,nan,nan
76,nan,nan
77,nan,nan
78,nan,nan
79,nan,nan
80,nan,nan
81,nan,nan
82,nan,nan
83,nan,nan
84,1.315,nan
85,1.325,nan
86,1.315,nan
87,1.325,nan
88,1.434,nan
89,nan,nan
90,nan,nan
91,nan,nan
92,nan,nan
93,1.334,nan
94,1.323,nan
95,1.433,nan
96,nan,nan
97,nan,nan
98,nan,nan
99,1.273,nan
100,1.313,nan
101,1.423,nan
102,nan,nan
103,nan,nan
104,nan,nan
105,nan,nan
106,nan,nan
107,nan,nan
108,nan,nan
