day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.286167,6.86802,6.86802,0.18,15.7964,-2.3,1.48,1.48,0,0,1250,0.94,0,0,0.18,1,0.18,0,0,0,0,0,0,0.18,0.18,0,3.94634,5.06168,0.389379,0.316202,-0.413386,5.06168,37.8222,32.7605,0,0.05
1,17.132,24,0.63,55.2,-2.3,1.77,1.89,0,0,7897,0.94,52,0.121622,0.0277129,1,0.207713,0,0,0,0,0,0,0.0277129,0.207713,1,3.94634,5.06168,0.389379,0.0277129,-0.498424,5.06168,17.8359,12.7743,0,0.05
2,24,48,0.63,283.2,-9.5,1.77,1.89,0,0,7897,0.94,52,0.136285,0.149131,1,0.356844,0,0,0,0,0,0,0.149131,0.356844,1,3.94634,4.9877,0.389379,0.149131,-0.679445,4.9877,54.058,49.0703,0,0.05
3,24,72,0.63,559.2,-11.5,1.77,1.89,0,0,7897,0.94,52,0.21519,0.125732,1,0.482576,0,0,0,0,0,0,0.125732,0.482576,1,3.94634,4.91549,0.389379,0.125732,-0.954088,4.91549,46.2866,41.3711,0,0.05
4,24,96,0.63,686.4,-5.3,1.77,1.89,0,0,7897,0.94,52,0.281715,0.0403636,1,0.522939,0,0,0,0,0,0,0.0403636,0.522939,1,3.94634,4.845,0.389379,0.0403636,-1.11997,4.845,18.1263,13.2813,0,0.05
5,24,120,0.63,717.6,-1.3,1.77,1.89,0,0,7897,0.94,52,0.303071,-0.00146257,1,0.521477,0,0,0,0,0,0,-0.00146257,0.521477,1,3.94634,4.77615,0.389379,-0.00146257,-1.15866,4.77615,4.29491,-0.481246,0,0.05
6,24,144,0.63,820.8,-4.3,1.77,1.89,0,0,7897,0.94,52,0.302297,0.0278889,1,0.549366,0,0,0,0,0,0,0.0278889,0.549366,1,3.94634,4.7089,0.389379,0.0278889,-1.18488,4.7089,13.8855,9.17661,0,0.05
7,24,168,0.63,964.8,-6,1.77,1.89,0,0,7897,0.94,52,0.317053,0.0414781,1,0.590844,0,0,0,0,0,0,0.0414781,0.590844,1,3.94634,4.64319,0.389379,0.0414781,-1.25405,4.64319,18.2912,13.648,0,0.05
7.34892,8.37399,176.374,0.63,1086.22,-14.5,1.77,1.89,0,0,7897,0.94,52,0.338999,0.0391561,1,0.63,0,0,0,0,0,0,0.0391561,0.63,1,3.94634,4.57896,0.389379,0.106133,-1.40147,4.57896,41.5047,36.9257,0,0.05
7.52741,4.28397,180.658,0.68,1148.34,-14.5,0.03,0.03,0,0,649,0.94,1,0.359717,0.05,1,0.68,0,0,0,0,0,0,0.05,0.68,2,3.94634,4.57896,0.389379,0.085453,-0.217284,4.57896,12.1537,7.57476,0,0.05
8,11.342,192,0.98,1312.8,-14.5,2.32,2.74,0,0,14018,0.94,56,2.02638,-0.00372321,1,0.676277,0,0,0,0,0,0,-0.00372321,0.676277,3,3.94634,11.7596,1,-0.00372321,-11.1104,11.7596,7.158,-4.60164,0,0.05
9,24,216,0.68,1600.8,-12,0.03,0.03,0,0,649,0.94,1,1.90228,-0.0417222,1,0.634555,0,0,0,0,0,0,-0.0417222,0.634555,2,3.94634,11.071,0.95453,-0.0417222,-0.48182,11.071,9.94278,-1.12824,0,0.05
10,24,240,0.68,1792.8,-8,0.03,0.03,0,0,649,0.94,1,0.511536,0.0453029,1,0.679857,0,0,0,0,0,0,0.0453029,0.679857,2,3.94634,5.09113,0.445002,0.0453029,-0.264265,5.09113,6.3162,1.22507,0,0.05
11,24,264,0.68,2116.8,-13.5,0.03,0.03,0,0,649,0.94,1,2.02163,-0.0414608,1,0.638397,0,0,0,0,0,0,-0.0414608,0.638397,2,3.94634,11.2668,0.99826,-0.0414608,-0.496484,11.2668,10.1457,-1.12117,0,0.05
11.2083,5.00017,269,0.68,2189.3,-14.5,0.03,0.03,0,0,649,0.94,1,0.639605,0.0416033,1,0.68,0,0,0,0,0,0,0.0416033,0.68,2,3.94634,5.47784,0.491923,0.0767892,-0.317736,5.47784,10.8778,5.39993,0,0.05
12,18.9998,288,0.98,2464.8,-14.5,2.32,2.74,0,0,14018,0.94,56,2.02638,-0.00538968,1,0.67461,0,0,0,0,0,0,-0.00538968,0.67461,3,3.94634,11.1356,1,-0.00538968,-11.1143,11.1356,7.15908,-3.97649,0,0.05
13,24,312,0.68,2692.8,-9.5,0.03,0.03,0,0,649,0.94,1,1.84673,-0.0473577,1,0.627253,0,0,0,0,0,0,-0.0473577,0.627253,2,3.94634,10.2647,0.934179,-0.0473577,-0.443033,10.2647,8.98403,-1.28063,0,0.05
13.0401,0.963449,312.963,0.63,2702.05,-9.6,1.77,1.89,0,0,7897,0.94,52,0.358263,0.00274742,1,0.63,0,0,0,0,0,0,0.00274742,0.63,1,3.94634,4.22218,0.389379,0.0648813,-1.43195,4.22218,26.7417,22.5195,0,0.05
13.3937,8.48495,321.448,0.68,2783.5,-9.6,0.03,0.03,0,0,649,0.94,1,0.359717,0.05,1,0.68,0,0,0,0,0,0,0.05,0.68,2,3.94634,4.22218,0.389379,0.0709896,-0.242441,4.22218,8.0466,3.82442,0,0.05
14,14.5516,336,0.98,2923.2,-9.6,2.32,2.74,0,0,14018,0.94,56,2.02638,-0.00633547,1,0.673665,0,0,0,0,0,0,-0.00633547,0.673665,3,3.94634,10.8434,1,-0.00633547,-11.1095,10.8434,4.74021,-6.10315,0,0.05
15,24,360,0.68,3271.2,-14.5,0.03,0.03,0,0,649,0.94,1,1.8152,-0.016603,1,0.657062,0,0,0,0,0,0,-0.016603,0.657062,2,3.94634,9.87383,0.922628,-0.016603,-0.457443,9.87383,9.42486,-0.448973,0,0.05
16,24,384,0.68,3451.2,-7.5,0.03,0.03,0,0,649,0.88,1,1.26177,-0.0135353,1,0.643526,0,0,0,0,0,0,-0.0135353,0.643526,2,3.94634,7.60414,0.719866,-0.0135353,-0.343372,7.60414,7.23813,-0.366016,0,0.05
17,24,408,0.68,3451.2,2,0.03,0.03,0,0,649,0.88,1,0.810592,-0.0823934,1,0.561133,0,0,0,0,0,0,-0.0823934,0.561133,2,3.94634,5.78278,0.554567,-0.0823934,-0.180089,5.78278,3.55472,-2.22806,0,0.05
18,24,432,0.63,3475.2,-1,1.77,1.89,0,0,7897,0.88,52,0.323279,-0.00276012,1,0.558373,0,0,0,0,0,0,-0.00276012,0.558373,1,3.94634,4.0085,0.389379,-0.00276012,-1.23142,4.0085,3.1003,-0.908194,0,0.05
19,24,456,0.63,3475.2,1.5,1.77,1.89,0,0,7897,0.88,52,0.321819,-0.0265091,1,0.531864,0,0,0,0,0,0,-0.0265091,0.531864,1,3.94634,3.95776,0.389379,-0.0265091,-1.20199,3.95776,-4.76484,-8.72261,-0,0.05
