day,chau_z,chau_h
0,0,0
0.4,0.18,0
1,0.207,0
2,0.362,0
3,0.491,0
4,0.537,0
5,0.541,0
6,0.573,0
7,0.618,0
7.2,0.63,0
8,0.669,0
8.3,0.68,0
9,0.681,0
9.3,0.68,0
10,0.68,0
11,0.682,0
12,0.686,0
13,0.685,0
14,0.684,0
15,0.688,0
16,0.685,0
16.5,0.68,0
17,0.662,0
18,0.64,0
18.1,0.63,0
19,0.611,0
19.3,0.63,0
20,0.648,0
21,0.657,0
22,0.638,0
23,0.642,0
24,0.63,0
25,0.619,0
26,0.585,0
27,0.63,0
27.7,0.68,0
28,0.681,0
29,0.69,0
30,0.696,0
31,0.698,0
32,0.71,0
33,0.723,0
34,0.734,0
35,0.742,0
36,0.75,0
37,0.761,0
38,0.768,0
39,0.769,0
40,0.772,0
41,0.771,0
42,0.778,0
43,0.786,0
44,0.792,0
45,0.796,0
46,0.795,0
47,0.791,0
48,0.797,0
49,0.801,0
50,0.811,0
51,0.818,0
52,0.82,0
53,0.822,0
54,0.829,0
55,0.827,0
56,0.83,0
57,0.827,0
58,0.835,0
59,0.839,0
60,0.836,0
61,0.836,0
62,0.836,0
63,0.843,0
64,0.852,0
65,0.851,0
66,0.849,0
67,0.852,0
68,0.849,0
