day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.18,24,-1,1.48,1.48,0,0,1250,0.94,0,0,0.144289,1,0.144289,0,0,0,0,0,0,0.144289,0.144289,0,3.94634,12.9993,1,0.144289,-0.393876,12.9993,20.5144,7.51505,0,0
1.18581,4.45951,28.4595,0.18,35.1488,-2.5,1.48,1.48,0,0,1250,0.94,0,0.0974925,0.0357111,1,0.18,0,0,0,0,0,0,0.0357111,0.18,0,3.94634,12.8094,1,0.110279,-0.644796,12.8094,22.8192,10.0098,0,0
2,19.5405,48,0.63,84,-2.5,1.77,1.89,0,0,7897,0.94,52,0.121622,0.0173206,1,0.197321,0,0,0,0,0,0,0.0173206,0.197321,1,3.94634,12.8094,1,0.0173206,-0.508746,12.8094,19.8092,6.99988,0,0
3,24,72,0.63,295.2,-8.8,1.77,1.89,0,0,7897,0.94,52,0.130786,0.124885,1,0.322205,0,0,0,0,0,0,0.124885,0.322205,1,3.94634,12.6239,1,0.124885,-0.657621,12.6239,53.7161,41.0922,0,0
4,24,96,0.63,415.2,-5,1.77,1.89,0,0,7897,0.94,52,0.196862,0.035828,1,0.358033,0,0,0,0,0,0,0.035828,0.358033,1,3.94634,12.4429,1,0.035828,-0.817783,12.4429,24.2318,11.7889,0,0
5,24,120,0.63,559.2,-6,1.77,1.89,0,0,7897,0.94,52,0.215819,0.0429839,1,0.401017,0,0,0,0,0,0,0.0429839,0.401017,1,3.94634,12.2661,1,0.0429839,-0.896058,12.2661,26.4096,14.1435,0,0
6,24,144,0.63,590.4,-1.3,1.77,1.89,0,0,7897,0.94,52,0.238562,-0.0198199,1,0.381197,0,0,0,0,0,0,-0.0198199,0.381197,1,3.94634,12.0933,1,-0.0198199,-0.918697,12.0933,5.57178,-6.52156,0,0
7,24,168,0.63,734.4,-6,1.77,1.89,0,0,7897,0.94,52,0.228075,0.0401525,1,0.42135,0,0,0,0,0,0,0.0401525,0.42135,1,3.94634,11.9246,1,0.0401525,-0.938517,11.9246,25.1364,13.2118,0,0
8,24,192,0.63,1022.4,-12,1.77,1.89,0,0,7897,0.94,52,0.24932,0.0968994,1,0.518249,0,0,0,0,0,0,0.0968994,0.518249,1,3.94634,11.7596,1,0.0968994,-1.07507,11.7596,43.6436,31.8839,0,0
9,24,216,0.63,1178.4,-6.5,1.77,1.89,0,0,7897,0.94,52,0.300589,0.0288427,1,0.547092,0,0,0,0,0,0,0.0288427,0.547092,1,3.94634,11.5984,1,0.0288427,-1.20032,11.5984,21.0889,9.49047,0,0
10,24,240,0.63,1317.6,-5.8,1.77,1.89,0,0,7897,0.94,52,0.31585,0.0201136,1,0.567205,0,0,0,0,0,0,0.0201136,0.567205,1,3.94634,11.4407,1,0.0201136,-1.2488,11.4407,18.0589,6.61821,0,0
11,24,264,0.63,1401.6,-3.5,1.77,1.89,0,0,7897,0.94,52,0.326492,-0.00167719,1,0.565528,0,0,0,0,0,0,-0.00167719,0.565528,1,3.94634,11.2865,1,-0.00167719,-1.26676,11.2865,10.7346,-0.551864,0,0
12,24,288,0.63,1540.8,-5.8,1.77,1.89,0,0,7897,0.94,52,0.325605,0.0194514,1,0.584979,0,0,0,0,0,0,0.0194514,0.584979,1,3.94634,11.1356,1,0.0194514,-1.28408,11.1356,17.5359,6.4003,0,0
13,24,312,0.63,1540.8,0,1.77,1.89,0,0,7897,0.94,52,0.335896,-0.0333936,1,0.551586,0,0,0,0,0,0,-0.0333936,0.551586,1,3.94634,10.9879,1,-0.0333936,-1.26969,10.9879,0,-10.9879,0,0
14,24,336,0.63,1692,-6.3,1.77,1.89,0,0,7897,0.94,52,0.318228,0.0259415,1,0.577527,0,0,0,0,0,0,0.0259415,0.577527,1,3.94634,10.8434,1,0.0259415,-1.2618,10.8434,19.3792,8.53585,0,0
14.4855,11.6519,347.652,0.63,1878.43,-16,1.77,1.89,0,0,7897,0.94,52,0.331954,0.0524726,1,0.63,0,0,0,0,0,0,0.0524726,0.63,1,3.94634,10.7019,1,0.102862,-1.39017,10.7019,46.2648,35.563,0,0
15,12.3481,360,0.83,2076,-16,0.08,0.08,0,0,500,0.94,0,0.359717,0.110935,1,0.740935,0,0,0,0,0,0,0.110935,0.740935,2,3.94634,10.7019,1,0.110935,-0.432784,10.7019,15.1938,4.49198,0,0
16,24,384,0.83,2568,-20.5,0.08,0.08,0,0,500,0.94,0,1.7464,0.0195548,1,0.76049,0,0,0,0,0,0,0.0195548,0.76049,2,3.94634,10.5633,1,0.0195548,-0.806016,10.5633,10.9707,0.407392,0,0
17,24,408,0.83,3072,-21,0.08,0.08,0,0,500,0.88,0,1.99084,0.00224849,1,0.762738,0,0,0,0,0,0,0.00224849,0.762738,2,3.94634,10.4275,1,0.00224849,-0.821305,10.4275,10.4744,0.0468435,0,0
18,24,432,0.83,3480,-17,0.08,0.08,0,0,500,0.88,0,2.01894,-0.0372639,1,0.725474,0,0,0,0,0,0,-0.0372639,0.725474,2,3.94634,10.2946,1,-0.0372639,-0.779907,10.2946,9.51825,-0.776332,0,0
19,24,456,0.83,3679.2,-8.3,0.08,0.08,0,0,500,0.88,0,1.55314,-0.0887842,1,0.63669,0,0,0,0,0,0,-0.0887842,0.63669,2,3.94634,10.1643,1,-0.0887842,-0.647604,10.1643,8.31461,-1.84967,0,0
20,24,480,0.83,3835.2,-6.5,0.08,0.08,0,0,500,0.88,0,0.443341,0.0271568,1,0.663847,0,0,0,0,0,0,0.0271568,0.663847,2,3.94634,10.0366,1,0.0271568,-0.579848,10.0366,10.6024,0.565767,0,0
21,24,504,0.83,4238.4,-16.8,0.08,0.08,0,0,500,0.88,0,0.782802,0.0991725,1,0.763019,0,0,0,0,0,0,0.0991725,0.763019,2,3.94634,9.9114,1,0.0991725,-0.700168,9.9114,11.9775,2.06609,0,0
22,24,528,0.83,4545.6,-12.8,0.08,0.08,0,0,500,0.88,0,2.02246,-0.0747741,1,0.688245,0,0,0,0,0,0,-0.0747741,0.688245,2,3.94634,9.78867,1,-0.0747741,-0.718675,9.78867,8.23087,-1.55779,0,0
23,24,552,0.83,4924.8,-15.8,0.08,0.08,0,0,500,0.88,0,1.08778,0.0582627,1,0.746508,0,0,0,0,0,0,0.0582627,0.746508,2,3.94634,9.66831,1,0.0582627,-0.696387,9.66831,10.8821,1.21381,0,0
24,24,576,0.83,5260.8,-14,0.08,0.08,0,0,500,0.88,0,1.81607,-0.0360202,1,0.710488,0,0,0,0,0,0,-0.0360202,0.710488,2,3.94634,9.55025,1,-0.0360202,-0.712962,9.55025,8.79983,-0.75042,0,0
25,24,600,0.83,5424,-6.8,0.08,0.08,0,0,500,0.88,0,1.36581,-0.0788827,1,0.631605,0,0,0,0,0,0,-0.0788827,0.631605,2,3.94634,9.43443,1,-0.0788827,-0.5925,9.43443,7.79104,-1.64339,0,0
26,24,624,0.83,5779.2,-14.8,0.08,0.08,0,0,500,0.88,0,0.37978,0.134551,1,0.766156,0,0,0,0,0,0,0.134551,0.766156,2,3.94634,9.32079,1,0.134551,-0.642714,9.32079,12.1239,2.80315,0,0
27,24,648,0.83,6151.2,-15.5,0.08,0.08,0,0,500,0.88,0,2.06167,-0.036405,1,0.729751,0,0,0,0,0,0,-0.036405,0.729751,2,3.94634,9.20927,1,-0.036405,-0.735507,9.20927,8.45083,-0.758437,0,0
28,24,672,0.83,6571.2,-17.5,0.08,0.08,0,0,500,0.88,0,1.60661,0.0305361,1,0.760287,0,0,0,0,0,0,0.0305361,0.760287,2,3.94634,9.0998,1,0.0305361,-0.724384,9.0998,9.73597,0.636168,0,0
29,24,696,0.83,7087.2,-21.5,0.08,0.08,0,0,500,0.88,0,1.98831,0.0354127,1,0.7957,0,0,0,0,0,0,0.0354127,0.7957,2,3.94634,8.99234,1,0.0354127,-0.785174,8.99234,9.7301,0.737764,0,0
30,24,720,0.83,7543.2,-19,0.08,0.08,0,0,500,0.88,0,2.43097,-0.0253036,1,0.770396,0,0,0,0,0,0,-0.0253036,0.770396,2,3.94634,8.88682,1,-0.0253036,-0.790218,8.88682,8.35966,-0.527159,0,0
31,24,744,0.83,7783.2,-10,0.08,0.08,0,0,500,0.88,0,2.11467,-0.099734,1,0.670662,0,0,0,0,0,0,-0.099734,0.670662,2,3.94634,8.7832,1,-0.099734,-0.660207,8.7832,6.70541,-2.07779,0,0
32,24,768,0.83,7879.2,-4,0.08,0.08,0,0,500,0.88,0,0.867997,-0.0541485,1,0.616514,0,0,0,0,0,0,-0.0541485,0.616514,2,3.94634,8.68142,1,-0.0541485,-0.501439,8.68142,7.55332,-1.12809,0,0
33,24,792,0.63,7879.2,0,1.77,1.89,0,0,7897,0.88,52,0.352581,-0.0260801,1,0.590434,0,0,0,0,0,0,-0.0260801,0.590434,1,3.94634,8.58143,1,-0.0260801,-1.33276,8.58143,0,-8.58143,0,0
34,24,816,0.63,7879.2,0,1.77,1.89,0,0,7897,0.88,52,0.338782,-0.0257815,1,0.564652,0,0,0,0,0,0,-0.0257815,0.564652,1,3.94634,8.48319,1,-0.0257815,-1.2806,8.48319,0,-8.48319,0,0
35,24,840,0.63,7879.2,2.5,1.77,1.89,0,0,7897,0.88,52,0.325141,-0.0498436,1,0.514809,0,0,0,0,0,0,-0.0498436,0.514809,1,3.94634,8.38666,1,-0.0498436,-1.20468,8.38666,-8.01397,-16.4006,-0,0
36,24,864,0.63,7987.2,-4.5,1.77,1.89,0,0,7897,0.88,52,0.298769,0.0197868,1,0.534595,0,0,0,0,0,0,0.0197868,0.534595,1,3.94634,8.29178,1,0.0197868,-1.17433,8.29178,14.8025,6.51067,0,0
37,24,888,0.63,8107.2,-5,1.77,1.89,0,0,7897,0.88,52,0.309238,0.0232637,1,0.557859,0,0,0,0,0,0,0.0232637,0.557859,1,3.94634,8.19852,1,0.0232637,-1.2171,8.19852,15.8533,7.65473,0,0
38,24,912,0.63,8251.2,-6,1.77,1.89,0,0,7897,0.88,52,0.321547,0.0306758,1,0.588535,0,0,0,0,0,0,0.0306758,0.588535,1,3.94634,8.10684,1,0.0306758,-1.27076,8.10684,18.2004,10.0936,0,0
39,24,936,0.63,8251.2,4,1.77,1.89,0,0,7897,0.88,52,0.337778,-0.0621964,1,0.526338,0,0,0,0,0,0,-0.0621964,0.526338,1,3.94634,8.01669,1,-0.0621964,-1.23897,8.01669,-12.4485,-20.4652,-0,0
