day,chau_z,chau_h
0,0,0
0.4,0.13,0
1,0.139,0
2,0.208,0
3,0.29,0
4,0.308,0
5,0.36,0
6,0.36,0
7,0.28,0
8,0.131,0
8.3,0.13,0
9,0.123,0
9,0.13,0
10,0.2,0
11,0.324,0
12,0.42,0
12.5,0.44,0
13,0.54,0
14,0.54,0
14.3,0.44,0
15,0.39,0
16,0.319,0
17,0.307,0
18,0.369,0
19,0.44,0
19,0.459,0
19.4,0.54,0
20,0.577,0.001
21,0.651,0.002
22,0.714,0.003
23,0.755,0.003
24,0.743,0.003
25,0.697,0.003
26,0.683,0.003
27,0.669,0.003
28,0.648,0.004
29,0.623,0.004
30,0.576,0.003
31,0.563,0.003
32,0.554,0.004
33,0.557,0.004
34,0.556,0.004
35,0.567,0.005
36,0.555,0.005
37,0.571,0.005
38,0.647,0.006
39,0.697,0.007
40,0.74,0.007
41,0.793,0.008
42,0.847,0.009
43,0.901,0.009
44,0.939,0.01
45,0.945,0.01
46,0.95,0.01
47,0.965,0.011
48,0.957,0.011
49,0.926,0.011
50,0.894,0.011
51,0.915,0.011
52,0.937,0.011
53,0.933,0.012
54,1,0.012
55,1.032,0.013
56,1.043,0.013
57,1.111,0.014
58,1.176,0.014
59,1.223,0.015
60,1.287,0.015
61,1.307,0.016
62,1.321,0.016
63,1.341,0.016
64,1.357,0.017
65,1.403,0.017
66,1.455,0.018
67,1.487,0.018
68,1.485,0.018
69,1.486,0.018
70,1.516,0.018
71,1.535,0.019
72,1.565,0.019
73,1.619,0.019
74,1.679,0.02
75,1.719,0.02
76,1.753,0.021
77,1.788,0.021
78,1.827,0.021
79,1.861,0.022
80,1.877,0.022
81,1.876,0.022
82,1.902,0.022
83,1.935,0.023
84,1.95,0.023
85,1.963,0.023
86,1.967,0.023
87,1.958,0.023
88,1.958,0.023
89,1.977,0.023
90,2.008,0.024
91,2.017,0.024
92,2.039,0.024
93,2.06,0.024
93.1,2.064,0.024
94,2.104,0.024
95,2.147,0.024
96,2.172,0.024
97,2.198,0.024
98,2.207,0.024
99,2.223,0.024
100,2.24,0.024
101,2.281,0.024
102,2.315,0.025
103,2.335,0.025
104,2.358,0.025
105,2.367,0.025
106,2.391,0.025
107,2.415,0.025
108,2.425,0.025
109,2.431,0.025
110,2.45,0.025
111,2.469,0.025
112,2.473,0.025
113,2.502,0.025
114,2.532,0.025
115,2.563,0.025
116,2.599,0.025
117,2.623,0.025
118,2.637,0.025
119,2.651,0.025
120,2.675,0.025
121,2.694,0.025
122,2.716,0.025
123,2.731,0.025
124,2.748,0.025
125,2.756,0.025
126,2.758,0.025
127,2.762,0.025
128,2.767,0.025
129,2.775,0.025
130,2.779,0.025
131,2.787,0.025
132,2.794,0.025
133,2.801,0.025
134,2.805,0.025
135,2.826,0.025
136,2.843,0.025
137,2.854,0.025
138,2.875,0.025
139,2.883,0.025
140,2.883,0.025
141,2.907,0.026
142,2.922,0.026
143,2.927,0.026
144,2.926,0.026
145,2.926,0.026
146,2.934,0.026
147,2.936,0.026
148,2.927,0.026
149,2.917,0.026
150,2.906,0.026
151,2.893,0.026
152,2.885,0.026
153,2.877,0.026
154,2.878,0.026
155,2.88,0.026
156,2.88,0.026
157,2.876,0.026
158,2.875,0.026
159,2.872,0.026
160,2.864,0.026
161,2.855,0.026
162,2.841,0.026
163,2.828,0.026
164,2.813,0.026
165,2.799,0.026
166,2.79,0.026
167,2.782,0.026
168,2.774,0.026
169,2.767,0.026
170,2.759,0.026
171,2.743,0.026
172,2.734,0.026
173,2.726,0.026
174,2.725,0.026
175,2.719,0.026
176,2.713,0.026
177,2.706,0.026
178,2.694,0.026
179,2.685,0.026
180,2.677,0.026
181,2.674,0.026
182,2.665,0.026
183,2.646,0.025
184,2.629,0.025
