day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.108927,2.61425,2.61425,0.1,4.70565,-1.8,1.48,1.48,0,0,1250,1,0,0,0.1,1,0.1,0,0,0,0,0,0,0.1,0.1,0,2.32073,5.46513,0.468941,0.271649,-0.37658,5.46513,53.28,47.8149,0,0.038
1,21.3858,24,0.43,43.2,-1.8,1.71,1.75,0,0,6469,1,43,0.0675676,0.0537034,1,0.153703,0,0,0,0,0,0,0.0537034,0.153703,1,2.32073,5.46513,0.468941,0.0537034,-0.308257,5.46513,21.7099,16.2448,0,0.038
2,24,48,0.43,146.4,-4.3,1.71,1.75,0,0,6469,1,43,0.0982552,0.10461,1,0.258314,0,0,0,0,0,0,0.10461,0.258314,1,2.32073,5.35919,0.468941,0.10461,-0.468386,5.35919,33.556,28.1968,0,0.038
3,24,72,0.43,297.6,-6.3,1.71,1.75,0,0,6469,1,43,0.158033,0.104832,1,0.363145,0,0,0,0,0,0,0.104832,0.363145,1,2.32073,5.25693,0.468941,0.104832,-0.677449,5.25693,33.5134,28.2565,0,0.038
4,24,96,0.43,376.8,-3.3,1.71,1.75,0,0,6469,1,43,0.217936,0.0346024,1,0.397748,0,0,0,0,0,0,0.0346024,0.397748,1,2.32073,5.15815,0.468941,0.0346024,-0.816516,5.15815,14.4849,9.32679,0,0.038
4.47179,11.3229,107.323,0.43,442.473,-5.8,1.71,1.75,0,0,6469,1,43,0.237709,0.0322523,1,0.43,0,0,0,0,0,0,0.0322523,0.43,1,2.32073,5.06269,0.468941,0.0651647,-0.915929,5.06269,23.489,18.4263,0,0.038
5,12.6771,120,0.468,516,-5.8,0.03,0.03,0,0,649,1,1,0.256139,0.035291,1,0.465291,0,0,0,0,0,0,0.035291,0.465291,2,2.32073,5.06269,0.468942,0.035291,-0.14955,5.06269,6.86941,1.80672,0,0.038
6,24,144,0.468,576,-2.5,0.03,0.03,0,0,649,1,1,1.43251,-0.0680054,1,0.397286,0,0,0,0,0,0,-0.0680054,0.397286,2,2.32073,10.1979,0.962142,-0.0680054,-0.395062,10.1979,8.3589,-1.83898,0,0.038
7,24,168,0.43,576,3,1.71,1.75,0,0,6469,1,43,0.237445,-0.0692433,1,0.328042,0,0,0,0,0,0,-0.0692433,0.328042,1,2.32073,4.88107,0.468941,-0.0692433,-0.779923,4.88107,-13.7829,-18.664,-0,0.038
8,24,192,0.43,576,5.3,1.71,1.75,0,0,6469,1,43,0.197877,-0.143018,1,0.185024,0,0,0,0,0,0,-0.143018,0.185024,1,2.32073,4.79461,0.468941,-0.143018,-0.567341,4.79461,-33.7547,-38.5493,-0,0.038
