day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.123,12,-0.5,1.48,1.48,0,0,1250,1,0,0,0.0861948,1,0.0861948,0,0,0,0,0,0,0.0861948,0.0861948,0,3.42195,12.6811,1,0.0861948,-0.329672,12.6811,17.1704,4.48931,0,0
1.32418,7.78039,31.7804,0.123,22.1145,-1.3,1.48,1.48,0,0,1250,1,0,0.0582397,0.0368052,1,0.123,0,0,0,0,0,0,0.0368052,0.123,0,3.42195,12.4812,1,0.0678693,-0.479898,12.4812,18.3943,5.91314,0,0
2,16.2196,48,0.638,43.2,-1.3,1.77,1.89,0,0,7897,1,52,0.0831081,0.00590023,1,0.1289,0,0,0,0,0,0,0.00590023,0.1289,1,3.42195,12.4812,1,0.00590023,-0.345684,12.4812,15.3539,2.8727,0,0
3,24,72,0.638,122.4,-3.3,1.77,1.89,0,0,7897,1,52,0.0862299,0.0607057,1,0.189606,0,0,0,0,0,0,0.0607057,0.189606,1,3.42195,12.2866,1,0.0607057,-0.423995,12.2866,32.2613,19.9747,0,0
4,24,96,0.638,122.4,1.8,1.77,1.89,0,0,7897,1,52,0.118349,-0.0955396,1,0.0940664,0,0,0,0,0,0,-0.0955396,0.0940664,1,3.42195,12.0971,1,-0.0955396,-0.388586,12.0971,-19.3394,-31.4365,-0,0
5,24,120,0.123,122.4,4,1.48,1.48,0,0,1250,1,0,0.0635584,-1.43706,0,0.01,0,0,0,0,0,0,-1.43706,0,0,3.42195,11.9125,1,-1.43706,nan,11.9125,9.48015,-74.8468,0,0
6,24,144,0.123,122.4,4.5,1.48,1.48,0,0,1250,1,0,0.00675676,-13.0125,0,0.01,0,0,0,0,0,0,-13.0125,0,0,3.42195,11.7326,1,-13.0125,nan,11.7326,1.02521,-677.733,0,0
6.08872,2.12926,146.129,0.123,129.852,-3.5,1.48,1.48,0,0,1250,1,0,0.00675676,0.113,1,0.123,0,0,0,0,0,0,0.113,0.113,0,3.42195,11.5573,1,0.336328,-0.578228,11.5573,77.8947,66.3374,0,0
7,21.8707,168,0.638,206.4,-3.5,1.77,1.89,0,0,7897,1,52,0.0831081,0.0647059,1,0.187706,0,0,0,0,0,0,0.0647059,0.177706,1,3.42195,11.5573,1,0.0647059,-0.410862,11.5573,34.9211,23.3638,0,0
8,24,192,0.638,206.4,0.3,1.77,1.89,0,0,7897,1,52,0.117344,-0.0432129,1,0.144493,0,0,0,0,0,0,-0.0432129,0.134493,1,3.42195,11.3863,1,-0.0432129,-0.434952,11.3863,-2.83254,-14.2188,-0,0
9,24,216,0.638,206.4,2.8,1.77,1.89,0,0,7897,1,52,0.0944801,-0.124165,0,0.0203282,0,0,0,0,0,0,-0.124165,0.0103282,1,3.42195,11.2195,1,-0.124165,nan,11.2195,-45.4308,-40.8554,-0,0
10,24,240,0.123,206.4,1,1.48,1.48,0,0,1250,1,0,0.0137353,-1.61015,0,0.01,0,0,0,0,0,0,-1.61015,0,0,3.42195,11.0568,1,-1.61015,nan,11.0568,1.88596,-83.8619,0,0
10.5182,12.4365,252.437,0.123,218.837,-1,1.48,1.48,0,0,1250,1,0,0.00675676,0.113,1,0.123,0,0,0,0,0,0,0.113,0.113,0,3.42195,10.898,1,0.141865,-0.371106,10.898,22.2556,11.3577,0,0
11,11.5635,264,0.638,230.4,-1,1.77,1.89,0,0,7897,1,52,0.0831081,0.00157351,1,0.124574,0,0,0,0,0,0,0.00157351,0.114574,1,3.42195,10.898,1,0.00157351,-0.33168,10.898,11.9726,1.07459,0,0
12,24,288,0.638,237.6,-0.3,1.77,1.89,0,0,7897,1,52,0.0839407,-0.0210169,1,0.103557,0,0,0,0,0,0,-0.0210169,0.0935567,1,3.42195,10.7429,1,-0.0210169,-0.328928,10.7429,3.82748,-6.91542,0,0
