day,chau_z,chau_h
0,0,0
1,0.075,0
1.8,0.123,0
2,0.123,0
3,0.179,0
3.6,0.123,0
3.7,0,0
4,0,0
5,0,0
6,0,0
6.2,0.123,0
7,0.178,0
8,0.126,0
8,0.123,0
8.1,0,0
9,0,0
10,0,0
10.8,0.123,0
11,0.123,0
12,0.006,0
12.1,0.123,0
13,0.203,0
14,0.136,0
14.4,0.123,0
14.9,0,0
15,0,0
16,0,0
17,0,0
18,0.09,0
18.2,0,0
19,0,0
20,0,0
20.4,0.123,0
21,0.135,0
21.1,0.123,0
21.2,0,0
22,0,0
22.1,0.123,0
23,0.237,0
24,0.367,0
25,0.5,0
26,0.567,0
27,0.567,0
28,0.487,0
29,0.457,0
30,0.481,0
31,0.524,0
32,0.538,0
33,0.501,0
34,0.478,0
35,0.461,0
36,0.439,0
37,0.424,0
38,0.428,0
39,0.476,0
40,0.449,0
41,0.491,0
42,0.561,0
43,0.596,0
44,0.607,0
45,0.591,0
46,0.616,0
46.7,0.638,0
47,0.64,0.001
48,0.645,0.003
49,0.645,0.003
50,0.645,0.004
51,0.638,0.004
52,0.643,0.006
53,0.667,0.011
54,0.691,0.016
55,0.702,0.019
56,0.725,0.024
57,0.764,0.031
58,0.799,0.038
59,0.825,0.044
60,0.847,0.048
61,0.865,0.052
62,0.874,0.055
63,0.885,0.057
64,0.908,0.062
65,0.923,0.065
66,0.937,0.068
67,0.964,0.074
68,0.989,0.079
69,1.008,0.083
70,1.025,0.087
71,1.044,0.091
72,1.059,0.094
73,1.072,0.097
74,1.08,0.099
75,1.089,0.101
76,1.109,0.105
77,1.133,0.11
78,1.15,0.114
79,1.162,0.116
80,1.188,0.121
81,1.209,0.125
82,1.223,0.129
82.7,1.231,0.131
83,1.235,0.131
84,1.257,0.132
85,1.273,0.134
86,1.296,0.135
87,1.324,0.137
88,1.342,0.139
89,1.349,0.14
90,1.356,0.14
91,1.375,0.142
92,1.396,0.143
93,1.415,0.145
94,1.431,0.146
95,1.444,0.147
96,1.457,0.148
97,1.465,0.149
98,1.475,0.15
99,1.491,0.151
100,1.513,0.153
101,1.531,0.154
102,1.547,0.155
103,1.563,0.156
104,1.575,0.157
105,1.581,0.158
106,1.587,0.158
107,1.599,0.159
108,1.601,0.16
109,1.609,0.16
110,1.613,0.161
111,1.612,0.161
112,1.604,0.161
113,1.598,0.161
114,1.603,0.161
115,1.613,0.162
116,1.619,0.163
117,1.629,0.163
118,1.639,0.164
119,1.647,0.165
120,1.655,0.166
121,1.665,0.166
122,1.674,0.167
123,1.679,0.168
124,1.679,0.168
125,1.676,0.168
126,1.678,0.168
127,1.678,0.168
128,1.675,0.168
129,1.679,0.169
130,1.68,0.169
131,1.685,0.17
132,1.691,0.17
133,1.696,0.171
134,1.694,0.171
135,1.693,0.171
136,1.691,0.171
137,1.694,0.171
138,1.695,0.171
139,1.694,0.172
140,1.693,0.172
141,1.688,0.171
142,1.684,0.171
143,1.678,0.171
144,1.674,0.171
145,1.67,0.171
146,1.666,0.171
147,1.667,0.171
148,1.662,0.171
149,1.658,0.171
150,1.658,0.171
151,1.657,0.171
152,1.656,0.171
153,1.658,0.171
154,1.654,0.171
155,1.652,0.171
156,1.648,0.171
157,1.646,0.171
158,1.646,0.171
159,1.646,0.172
160,1.642,0.172
161,1.635,0.171
162,1.63,0.171
163,1.626,0.171
164,1.621,0.171
