day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.133,7.2,-0.3,1.48,1.48,0,0,1250,1,0,0,0.0567828,1,0.0567828,0,0,0,0,0,0,0.0567828,0.0567828,0,3.42195,12.6811,1,0.0567828,-0.30026,12.6811,15.6385,2.95744,0,0
1.0606,1.45447,25.4545,0.133,14.4723,-5,1.48,1.48,0,0,1250,1,0,0.0383668,0.0762172,1,0.133,0,0,0,0,0,0,0.0762172,0.133,0,3.42195,12.4812,1,0.360178,-0.713383,12.4812,77.9839,65.5027,0,0
2,22.5455,48,0.383,127.2,-5,1.77,1.89,0,0,7897,1,52,0.0898649,0.0899555,1,0.222956,0,0,0,0,0,0,0.0899555,0.222956,1,3.42195,12.4812,1,0.0899555,-0.465278,12.4812,43.9898,31.5086,0,0
3,24,72,0.383,182.4,-2.3,1.77,1.89,0,0,7897,1,52,0.13746,0.0123315,1,0.235287,0,0,0,0,0,0,0.0123315,0.235287,1,3.42195,12.2866,1,0.0123315,-0.569272,12.2866,16.3442,4.05759,0,0
4,24,96,0.383,182.4,1.8,1.77,1.89,0,0,7897,1,52,0.143985,-0.0814435,1,0.153844,0,0,0,0,0,0,-0.0814435,0.153844,1,3.42195,12.0971,1,-0.0814435,-0.499585,12.0971,-14.7012,-26.7983,-0,0
5,24,120,0.383,182.4,3.8,1.77,1.89,0,0,7897,1,52,0.100893,-0.150668,0,0.01,0,0,0,0,0,0,-0.150668,0,1,3.42195,11.9125,1,-0.150668,nan,11.9125,-62.2605,-49.5761,-0,0
6,24,144,0.133,182.4,4,1.48,1.48,0,0,1250,1,0,0.00675676,-11.5917,0,0.01,0,0,0,0,0,0,-11.5917,0,0,3.42195,11.7326,1,-11.5917,nan,11.7326,1.02319,-603.733,0,0
6.13806,3.31352,147.314,0.133,191.678,-2.8,1.48,1.48,0,0,1250,1,0,0.00675676,0.123,1,0.133,0,0,0,0,0,0,0.123,0.123,0,3.42195,11.5573,1,0.290536,-0.532436,11.5573,57.958,46.4008,0,0
7,20.6865,168,0.383,249.6,-2.8,1.77,1.89,0,0,7897,1,52,0.0898649,0.0423053,1,0.175305,0,0,0,0,0,0,0.0423053,0.165305,1,3.42195,11.5573,1,0.0423053,-0.412269,11.5573,27.7072,16.1499,0,0
8,24,192,0.383,268.8,-0.8,1.77,1.89,0,0,7897,1,52,0.112249,-0.0122979,1,0.163007,0,0,0,0,0,0,-0.0122979,0.153007,1,3.42195,11.3863,1,-0.0122979,-0.446606,11.3863,7.33977,-4.04653,0,0
9,24,216,0.383,268.8,3.3,1.77,1.89,0,0,7897,1,52,0.105742,-0.128943,0,0.0340644,0,0,0,0,0,0,-0.128943,0.0240644,1,3.42195,11.2195,1,-0.128943,nan,11.2195,-46.0702,-42.4276,-0,0
10,24,240,0.133,268.8,0.8,1.48,1.48,0,0,1250,1,0,0.0230165,-0.879639,0,0.01,0,0,0,0,0,0,-0.879639,0,0,3.42195,11.0568,1,-0.879639,nan,11.0568,2.91802,-45.8145,0,0
