day,chau_z,chau_h
0,0,0
1,0.049,0
1.1,0.133,0
2,0.211,0
3,0.218,0
3.9,0.133,0
4,0.061,0
4,0,0
5,0,0
6,0,0
6.2,0.133,0
7,0.166,0
8,0.147,0
8.1,0.133,0
8.2,0,0
9,0,0
10,0,0
11,0.133,0
12,0.133,0
13,0.133,0
14,0.133,0
14.2,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
20.3,0.133,0
21,0.16,0
21.3,0.133,0
21.4,0,0
22,0,0
22.1,0.133,0
23,0.253,0
24,0.355,0
24.3,0.383,0
25,0.443,0
26,0.495,0
27,0.494,0
28,0.453,0
29,0.439,0
30,0.457,0
31,0.486,0
32,0.499,0
33,0.48,0
34,0.456,0
35,0.431,0
36,0.413,0
37,0.393,0
38,0.401,0
39,0.431,0
40,0.414,0
41,0.446,0
42,0.482,0
43,0.523,0
44,0.542,0
45,0.54,0
46,0.558,0
47,0.595,0
48,0.622,0
49,0.626,0
50,0.63,0
51,0.613,0
52,0.616,0
53,0.699,0
54,0.763,0
55,0.789,0
56,0.853,0
57,0.931,0
58,1.007,0.003
59,1.068,0.006
60,1.105,0.007
61,1.143,0.009
62,1.157,0.01
63,1.181,0.011
64,1.224,0.013
65,1.252,0.014
66,1.276,0.015
67,1.326,0.017
67.8,1.35,0.019
68,1.355,0.019
69,1.372,0.02
70,1.391,0.022
71,1.409,0.023
72,1.427,0.025
73,1.44,0.026
74,1.449,0.027
75,1.457,0.028
76,1.479,0.03
77,1.504,0.031
78,1.523,0.033
79,1.533,0.034
80,1.56,0.036
81,1.582,0.038
82,1.598,0.039
83,1.608,0.04
84,1.624,0.041
85,1.636,0.042
86,1.653,0.044
87,1.675,0.045
88,1.691,0.046
89,1.693,0.047
90,1.7,0.048
91,1.717,0.049
92,1.737,0.05
93,1.754,0.052
94,1.767,0.053
95,1.779,0.054
96,1.789,0.055
97,1.795,0.055
98,1.802,0.056
99,1.814,0.057
100,1.832,0.059
101,1.848,0.06
102,1.864,0.061
103,1.878,0.062
104,1.89,0.063
105,1.892,0.064
106,1.897,0.064
107,1.908,0.065
108,1.91,0.065
109,1.916,0.066
110,1.919,0.066
111,1.918,0.067
112,1.91,0.066
113,1.904,0.066
114,1.909,0.067
115,1.917,0.068
116,1.922,0.068
117,1.928,0.069
118,1.937,0.07
119,1.946,0.07
120,1.954,0.071
121,1.963,0.072
122,1.973,0.073
123,1.977,0.073
124,1.975,0.073
125,1.97,0.073
126,1.974,0.074
127,1.975,0.074
128,1.972,0.074
129,1.974,0.074
130,1.974,0.075
131,1.977,0.075
132,1.984,0.076
133,1.988,0.076
134,1.988,0.076
135,1.985,0.076
136,1.982,0.076
137,1.984,0.077
138,1.984,0.077
139,1.983,0.077
140,1.981,0.077
141,1.976,0.077
142,1.972,0.077
143,1.966,0.077
144,1.963,0.077
145,1.958,0.077
146,1.954,0.077
147,1.953,0.077
148,1.948,0.077
149,1.943,0.076
150,1.943,0.077
151,1.94,0.077
152,1.938,0.077
153,1.94,0.077
154,1.936,0.077
155,1.933,0.077
156,1.929,0.077
157,1.927,0.077
158,1.924,0.077
159,1.925,0.077
160,1.921,0.077
161,1.913,0.077
162,1.907,0.077
163,1.903,0.076
