day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.101,12,-0.5,1.48,1.48,0,0,1250,1,0,0,0.0861948,1,0.0861948,0,0,0,0,0,0,0.0861948,0.0861948,0,3.42195,12.6811,1,0.0861948,-0.329672,12.6811,17.1704,4.48931,0,0
1.09549,2.29185,26.2919,0.101,14.9794,-1.3,1.48,1.48,0,0,1250,1,0,0.0582397,0.0148052,1,0.101,0,0,0,0,0,0,0.0148052,0.101,0,3.42195,12.4812,1,0.0678693,-0.479898,12.4812,20.5561,8.07492,0,0
2,21.7081,48,0.468,43.2,-1.3,1.22,1.27,0.485077,15,8131,1,28,0.0682432,0.0124512,1,0.113451,0,0,0.000160625,0.000160625,0.000160625,0.000160625,0.0126118,0.113612,1,3.42195,12.4812,1,0.0124512,-0.219111,12.4812,17.7728,4.66372,0.627922,0
3,24,72,0.468,122.4,-3.3,1.22,1.27,0.483245,15,8131,1,28,0.0781191,0.0571372,1,0.170588,0,0,0.000326481,0.000487106,0.000326481,0.000487106,0.0574636,0.171075,1,3.42195,12.2866,1,0.0571372,-0.291826,12.2866,32.7986,19.3576,1.15441,0
4,24,96,0.468,122.4,1.8,1.22,1.27,0.474986,15,8131,1,28,0.123255,-0.0956211,1,0.0749672,0,0,0,0.000487106,0,0.000487106,-0.0956211,0.0754543,1,3.42195,12.0971,1,-0.0956211,-0.253152,12.0971,-21.0259,-32.3956,-0.727401,0
5,24,120,0.101,122.4,4,1.48,1.48,0,0,1250,1,0,0.050871,-1.73842,0,0.01,0,0,0,0.000487106,0,0.000487106,-1.73842,0,0,3.42195,11.9125,1,-1.73842,nan,11.9125,7.45665,-90.5428,0,0
6,24,144,0.101,122.4,4.5,1.48,1.48,0,0,1250,1,0,0.00697421,-12.6138,0,0.01,0,0,0,0.000487106,0,0.000487106,-12.6138,0,0,3.42195,11.7326,1,-12.6138,nan,11.7326,1.05772,-656.967,0,0
6.05834,1.40021,145.4,0.101,127.301,-3.5,1.48,1.48,0,0,1250,1,0,0.00697421,0.091,1,0.101,0,0,0,0.000487106,0,0.000487106,0.091,0.091,0,3.42195,11.5573,1,0.335935,-0.578479,11.5573,92.7952,81.2379,0,0
7,22.5998,168,0.468,206.4,-3.5,1.22,1.27,0.486535,15,8131,1,28,0.0684607,0.0668706,1,0.167871,0,0,0.000348463,0.000835569,0.000348463,0.000835569,0.0672191,0.158219,1,3.42195,11.5573,1,0.0668706,-0.272884,11.5573,36.9246,24.0588,1.30848,0
8,24,192,0.468,206.4,0.3,1.22,1.27,0.476822,15,8131,1,28,0.12127,-0.0417623,1,0.126108,0,0,0,0.000835569,0,0.000835569,-0.0417623,0.116457,1,3.42195,11.3863,1,-0.0417623,-0.299873,11.3863,-2.86182,-14.1487,-0.0993885,0
9,24,216,0.468,206.4,2.8,1.22,1.27,0.482833,15,8131,1,28,0.0883866,-0.123334,0,0.01,0,0,0,0.000835569,0,0.000835569,-0.123334,0,1,3.42195,11.2195,1,-0.123334,nan,11.2195,-70.2989,-41.7845,-2.4722,0
10,24,240,0.101,206.4,1,1.48,1.48,0,0,1250,1,0,0.00712978,-2.90522,0,0.01,0,0,0,0.000835569,0,0.000835569,-2.90522,0,0,3.42195,11.0568,1,-2.90522,nan,11.0568,1.02631,-151.314,0,0
10.3057,7.33584,247.336,0.101,213.736,-1,1.48,1.48,0,0,1250,1,0,0.00712978,0.091,1,0.101,0,0,0,0.000835569,0,0.000835569,0.091,0.091,0,3.42195,10.898,1,0.14111,-0.371455,10.898,26.404,15.5061,0,0
11,16.6642,264,0.468,230.4,-1,1.22,1.27,0.486535,15,8131,1,28,0.0686163,0.00558111,1,0.106581,0,0,9.82661e-05,0.000933835,9.82661e-05,0.000933835,0.00567937,0.0966794,1,3.42195,10.898,1,0.00558111,-0.202201,10.898,14.1216,2.72321,0.500421,0
12,24,288,0.468,237.6,-0.3,1.22,1.27,0.485706,15,8131,1,28,0.0730547,-0.0187063,1,0.0878748,0,0,0,0.000933835,0,0.000933835,-0.0187063,0.077973,1,3.42195,10.7429,1,-0.0187063,-0.198562,10.7429,4.56691,-6.33755,0.16156,0
12.0115,0.275862,288.276,0.101,238.841,-4.5,1.48,1.48,0,0,1250,1,0,0.0597917,0.0131252,1,0.101,0,0,0,0.000933835,0,0.000933835,0.0131252,0.0910983,0,3.42195,10.5915,1,0.315713,-0.696053,10.5915,70.0652,59.4737,0,0
13,23.7241,312,0.468,345.6,-4.5,1.22,1.27,0.48652,15,8131,1,28,0.0686601,0.0905225,1,0.191523,0,0,0.000427412,0.00136125,0.000427412,0.00136125,0.0909499,0.182048,1,3.42195,10.5915,1,0.0905225,-0.295822,10.5915,43.1452,31.0249,1.52887,0
14,24,336,0.468,345.6,1,1.22,1.27,0.473425,15,8131,1,28,0.140129,-0.0548703,1,0.136652,0,0,0,0.00136125,0,0.00136125,-0.0548703,0.127178,1,3.42195,10.4435,1,-0.0548703,-0.331882,10.4435,-8.43697,-18.5896,-0.290921,0
15,24,360,0.468,345.6,0,1.22,1.27,0.481283,15,8131,1,28,0.0969236,-0.0303993,1,0.106253,0,0,0,0.00136125,0,0.00136125,-0.0303993,0.0967786,1,3.42195,10.299,1,-0.0303993,-0.246186,10.299,0,-10.299,0,0
16,24,384,0.468,345.6,1.5,1.22,1.27,0.485692,15,8131,1,28,0.0729871,-0.0884978,0,0.0177552,0,0,0,0.00136125,0,0.00136125,-0.0884978,0.00828089,1,3.42195,10.1578,1,-0.0884978,nan,10.1578,-39.3231,-29.9823,-1.39106,0
17,24,408,0.101,345.6,0.5,1.48,1.48,0,0,1250,1,0,0.0126045,-0.954012,0,0.01,0,0,0,0.00136125,0,0.00136125,-0.954012,0,0,3.42195,10.0197,1,-0.954012,nan,10.0197,1.61448,-49.6881,0,0
18,24,432,0.101,357.6,-0.5,1.48,1.48,0,0,1250,1,0,0.00736446,0.0825453,1,0.0925453,0,0,0,0.00136125,0,0.00136125,0.0825453,0.0825453,0,3.42195,9.88461,1,0.0825453,-0.294129,9.88461,14.1838,4.29923,0,0
19,24,456,0.101,357.6,0.5,1.48,1.48,0,0,1250,1,0,0.0631383,-0.339296,0,0.01,0,0,0,0.00136125,0,0.00136125,-0.339296,0,0,3.42195,9.75252,1,-0.339296,nan,9.75252,9.71089,-17.6716,0,0
20,24,480,0.101,357.6,2,1.48,1.48,0,0,1250,1,0,0.00736446,-5.399,0,0.01,0,0,0,0.00136125,0,0.00136125,-5.399,0,0,3.42195,9.62329,1,-5.399,nan,9.62329,1.10094,-281.198,0,0
