day,chau_z,chau_h
0,0,0
1,0.075,0
1.3,0.101,0
2,0.106,0
3,0.162,0
3.6,0.101,0
3.7,0,0
4,0,0
5,0,0
6,0,0
6.1,0.101,0
7,0.161,0
8,0.111,0
8.1,0.101,0
8.1,0,0
9,0,0
10,0,0
10.4,0.101,0
11,0.103,0
11.1,0.101,0
12,0.01,0
12.1,0.101,0
13,0.183,0
14,0.12,0
14.5,0.101,0
15,0,0
15,0,0
16,0,0
17,0,0
18,0.09,0
18.2,0,0
19,0,0
20,0,0
20.2,0.101,0
21,0.119,0
21.2,0.101,0
21.3,0,0
22,0,0
22.1,0.101,0
23,0.213,0
24,0.318,0.001
25,0.425,0.001
26,0.47,0.002
27,0.47,0.002
28,0.398,0.002
29,0.368,0.002
30,0.387,0.002
31,0.422,0.002
32,0.431,0.002
33,0.396,0.002
34,0.373,0.002
35,0.356,0.002
36,0.334,0.002
37,0.319,0.002
38,0.322,0.002
39,0.366,0.003
40,0.34,0.003
41,0.378,0.003
42,0.439,0.003
43,0.468,0.003
43.4,0.471,0.003
44,0.473,0.003
44.2,0.471,0.004
45,0.458,0.004
45.7,0.471,0.004
46,0.474,0.004
47,0.489,0.004
48,0.502,0.005
49,0.504,0.005
50,0.506,0.005
51,0.492,0.005
52,0.502,0.006
53,0.555,0.007
54,0.602,0.008
55,0.624,0.009
56,0.67,0.01
57,0.743,0.011
58,0.805,0.012
59,0.851,0.013
60,0.888,0.014
61,0.919,0.015
62,0.933,0.015
63,0.95,0.016
64,0.988,0.017
65,1.012,0.017
66,1.035,0.018
67,1.079,0.019
68,1.119,0.02
69,1.148,0.02
70,1.175,0.021
71,1.205,0.022
72,1.227,0.022
73,1.246,0.023
74,1.257,0.023
75,1.271,0.023
76,1.301,0.024
77,1.338,0.025
78,1.364,0.025
79,1.382,0.026
80,1.42,0.026
81,1.451,0.027
82,1.473,0.028
83,1.49,0.028
84,1.515,0.029
85,1.535,0.029
86,1.563,0.03
87,1.597,0.03
88,1.618,0.031
89,1.626,0.031
90,1.633,0.031
91,1.656,0.032
92,1.682,0.032
93,1.706,0.033
94,1.726,0.033
95,1.741,0.033
96,1.757,0.034
97,1.767,0.034
98,1.778,0.034
99,1.798,0.035
100,1.826,0.035
101,1.848,0.036
102,1.869,0.036
103,1.888,0.036
104,1.904,0.037
105,1.91,0.037
106,1.917,0.037
107,1.932,0.037
108,1.934,0.037
109,1.943,0.038
110,1.947,0.038
111,1.945,0.038
112,1.932,0.038
113,1.923,0.038
114,1.928,0.038
115,1.941,0.038
116,1.948,0.038
117,1.959,0.039
118,1.972,0.039
119,1.983,0.039
120,1.992,0.039
121,2.005,0.04
122,2.016,0.04
123,2.022,0.04
124,2.02,0.04
125,2.015,0.04
126,2.017,0.04
127,2.016,0.04
128,2.01,0.04
129,2.015,0.04
130,2.015,0.041
131,2.021,0.041
132,2.028,0.041
133,2.034,0.041
134,2.031,0.041
135,2.028,0.041
136,2.024,0.041
137,2.027,0.041
138,2.027,0.041
139,2.025,0.041
140,2.022,0.041
141,2.014,0.041
142,2.008,0.041
143,1.998,0.041
144,1.993,0.041
145,1.986,0.041
146,1.979,0.041
147,1.979,0.041
148,1.972,0.041
149,1.965,0.041
150,1.964,0.041
151,1.962,0.041
152,1.959,0.041
153,1.961,0.041
154,1.955,0.041
155,1.952,0.041
156,1.944,0.041
157,1.942,0.041
158,1.941,0.041
159,1.94,0.041
160,1.934,0.041
161,1.923,0.041
162,1.914,0.041
163,1.908,0.041
164,1.9,0.041
