day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.132488,3.1797,3.1797,0.18,15.5805,-4.9,1.54,1.54,0,0,1250,0.94,0,0,0.18,1,0.18,0,0,0,0,0,0,0.18,0.18,0,4.10366,13.0831,1,0.42716,-0.678355,13.0831,83.8444,70.7614,0,0
1,20.8203,24,0.48,117.6,-4.9,1.65,1.7,0,0,6877,0.94,42,0.116883,0.0686222,1,0.248622,0,0,0,0,0,0,0.0686222,0.248622,1,4.10366,13.0831,1,0.0686222,-0.505634,13.0831,35.7492,22.6661,0,0
2,24,48,0.48,139.2,-0.9,1.65,1.7,0,0,6877,0.94,42,0.157249,-0.0240886,1,0.224534,0,0,0,0,0,0,-0.0240886,0.224534,1,4.10366,12.8958,1,-0.0240886,-0.555564,12.8958,5.99344,-6.90239,0,0
3,24,72,0.48,139.2,0.3,1.65,1.7,0,0,6877,0.94,42,0.143079,-0.0525708,1,0.171963,0,0,0,0,0,0,-0.0525708,0.171963,1,4.10366,12.7129,1,-0.0525708,-0.478266,12.7129,-2.35078,-15.0637,-0,0
4,24,96,0.18,160.8,-0.9,1.54,1.54,0,0,1250,0.94,0,0.111664,-0.0558845,1,0.116078,0,0,0,0,0,0,-0.0558845,0.116078,0,4.10366,12.5343,1,-0.0558845,-0.528699,12.5343,9.62362,-2.91065,0,0
5,24,120,0.18,160.8,0.4,1.54,1.54,0,0,1250,0.94,0,0.0753755,-0.339196,0,0.01,0,0,0,0,0,0,-0.339196,0,0,4.10366,12.3597,1,-0.339196,nan,12.3597,11.5098,-17.6664,0,0
6,24,144,0.18,160.8,1,1.54,1.54,0,0,1250,0.94,0,0.00649351,-3.19083,0,0.01,0,0,0,0,0,0,-3.19083,0,0,4.10366,12.189,1,-3.19083,nan,12.189,0.971355,-166.189,0,0
7,24,168,0.18,187.2,-1.1,1.54,1.54,0,0,1250,0.94,0,0.00649351,0.150561,1,0.160561,0,0,0,0,0,0,0.150561,0.150561,0,4.10366,12.0221,1,0.150561,-0.401386,12.0221,19.8639,7.84172,0,0
8,24,192,0.18,187.2,2.6,1.54,1.54,0,0,1250,0.94,0,0.10426,-0.706493,0,0.01,0,0,0,0,0,0,-0.706493,0,0,4.10366,11.8589,1,-0.706493,nan,11.8589,20.78,-36.7965,0,0
