day,chau_z,chau_h
0,0,0
1,0.148,0
1.1,0.18,0
2,0.235,0
3,0.298,0
4,0.27,0
5,0.367,0
6,0.447,0
7,0.5,0
8,0.5,0
9,0.482,0
10,0.467,0
11,0.419,0
12,0.346,0
13,0.32,0
14,0.241,0
14.6,0.18,0
14.7,0,0
15,0,0
16,0,0
17,0,0
18,0,0
18.3,0.18,0
19,0.246,0
20,0.319,0
21,0.2,0
21.5,0.18,0
22,0,0
23,0.142,0
24,0,0
24,0,0
24.3,0.18,0
25,0.239,0
26,0.401,0
27,0.495,0
27.1,0.5,0
28,0.533,0
29,0.625,0
30,0.683,0
31,0.693,0
32,0.717,0
33,0.733,0
34,0.741,0
34.5,0.75,0
35,0.75,0
36,0.75,0
37,0.756,0
38,0.792,0
39,0.781,0
40,0.769,0
40.6,0.8,0
41,0.801,0
41.2,0.8,0
42,0.783,0
42.4,0.8,0
43,0.805,0
44,0.816,0
45,0.816,0
46,0.805,0
47,0.805,0
48,0.81,0
49,0.814,0
50,0.818,0
51,0.819,0
52,0.813,0
53,0.815,0
54,0.807,0
54.7,0.8,0
55,0.792,0
55.2,0.8,0
56,0.802,0
56.3,0.8,0
57,0.79,0
58,0.798,0
58,0.8,0
59,0.802,0
60,0.808,0
61,0.804,0
62,0.8,0
63,0.8,0
64,0.8,0
65,0.8,0
66,0.802,0
66.2,0.8,0
67,0.77,0
67.2,0.75,0
68,0.74,0
68.2,0.75,0
69,0.771,0
70,0.795,0
70.1,0.8,0
71,0.804,0
72,0.815,0
73,0.823,0
74,0.827,0
75,0.841,0
76,0.855,0
77,0.863,0
78,0.871,0
79,0.877,0
80,0.884,0
81,0.895,0
82,0.907,0
83,0.91,0
84,0.91,0
85,0.914,0
86,0.917,0
87,0.918,0
88,0.917,0
89,0.915,0
90,0.913,0
91,0.909,0
92,0.901,0
93,0.893,0
94,0.886,0
95,0.884,0
96,0.881,0
97,0.878,0
98,0.879,0
99,0.881,0
100,0.872,0
101,0.864,0
102,0.866,0
103,0.871,0
104,0.878,0
105,0.886,0
106,0.89,0
107,0.889,0
108,0.891,0
109,0.898,0
110,0.902,0
111,0.908,0
112,0.911,0
113,0.914,0
114,0.912,0
115,0.911,0
116,0.914,0
117,0.916,0
118,0.916,0
119,0.912,0
120,0.917,0
121,0.918,0
122,0.924,0
123,0.931,0
124,0.932,0
125,0.929,0
126,0.926,0
127,0.924,0
128,0.918,0
129,0.914,0
130,0.912,0
131,0.912,0
132,0.908,0
133,0.904,0
134,0.902,0
135,0.898,0
136,0.894,0
137,0.889,0
138,0.882,0
139,0.881,0
140,0.877,0
141,0.87,0
142,0.861,0
143,0.852,0
144,0.841,0
145,0.832,0
146,0.824,0
147,0.813,0
148,0.804,0
148.4,0.8,0
149,0.782,0
149.1,0.75,0
150,0.708,0
151,0.684,0
152,0.656,0
153,0.63,0
154,0.587,0
155,0.575,0
156,0.562,0
157,0.535,0
157.8,0.5,0
158,0.491,0
159,0.435,0
160,0.333,0
160.6,0.18,0
160.6,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
