day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0725252,1.74061,1.74061,0.14,7.83272,-4.5,1.63,1.63,0,0,1250,1,0,0,0.14,1,0.14,0,0,0,0,0,0,0.14,0.14,0,3.36951,4.24596,0.335775,0.491522,-0.573045,4.24596,104.786,100.54,0,0.06
1,22.2594,24,0.59,108,-4.5,1.77,1.98,0,0,9938,1,59,0.0858896,0.08449,1,0.22449,0,0,0,0,0,0,0.08449,0.22449,1,3.36951,4.24596,0.335775,0.08449,-0.434123,4.24596,41.9677,37.7217,0,0.06
2,24,48,0.59,312,-8.5,1.77,1.98,0,0,9938,1,59,0.128561,0.119271,1,0.343761,0,0,0,0,0,0,0.119271,0.343761,1,3.36951,4.17849,0.335775,0.119271,-0.638465,4.17849,53.5668,49.3883,0,0.06
3,24,72,0.59,535.2,-9.3,1.77,1.98,0,0,9938,1,59,0.188799,0.0955462,1,0.439308,0,0,0,0,0,0,0.0955462,0.439308,1,3.36951,4.11282,0.335775,0.0955462,-0.853124,4.11282,43.6769,39.5641,0,0.06
4,24,96,0.59,715.2,-7.5,1.77,1.98,0,0,9938,1,59,0.237055,0.0619009,1,0.501209,0,0,0,0,0,0,0.0619009,0.501209,1,3.36951,4.04889,0.335775,0.0619009,-1.01042,4.04889,29.681,25.6321,0,0.06
5,24,120,0.59,943.2,-9.5,1.77,1.98,0,0,9938,1,59,0.268318,0.0705523,1,0.571761,0,0,0,0,0,0,0.0705523,0.571761,1,3.36951,3.98663,0.335775,0.0705523,-1.14272,3.98663,33.2012,29.2145,0,0.06
5.31973,7.67346,127.673,0.59,1008.42,-8.5,1.77,1.98,0,0,9938,1,59,0.303951,0.0182391,1,0.59,0,0,0,0,0,0,0.0182391,0.59,1,3.36951,3.92598,0.335775,0.0550976,-1.26822,3.92598,27.5476,23.6216,0,0.06
6,16.3265,144,0.65,1147.2,-8.5,0.04,0.04,0,0,2782,1,4,0.313162,0.0391332,1,0.629133,0,0,0,0,0,0,0.0391332,0.629133,2,3.36951,3.92598,0.335776,0.0391332,-0.0872263,3.92598,10.5942,6.6682,0,0.06
7,24,168,0.65,1430.4,-11.8,0.04,0.04,0,0,2782,1,4,1.29149,0.00138184,1,0.630515,0,0,0,0,0,0,0.00138184,0.630515,2,3.36951,8.85595,0.768996,0.00138184,-0.181101,8.85595,9.01613,0.160178,0,0.06
8,24,192,0.65,1814.4,-16,0.04,0.04,0,0,2782,1,4,1.32604,0.0146804,1,0.645195,0,0,0,0,0,0,0.0146804,0.645195,2,3.36951,8.89753,0.784294,0.0146804,-0.197521,8.89753,10.5992,1.7017,0,0.06
9,24,216,0.65,1929.6,-4.8,0.04,0.04,0,0,2782,0.94,4,1.69305,-0.0517263,1,0.593469,0,0,0,0,0,0,-0.0517263,0.593469,2,3.36951,10.5828,0.946811,-0.0517263,-0.175014,10.5828,4.58685,-5.99594,0,0.06
10,24,240,0.65,2157.6,-9.5,0.04,0.04,0,0,2782,0.94,4,0.39989,0.0472191,1,0.640688,0,0,0,0,0,0,0.0472191,0.640688,2,3.36951,4.12124,0.37418,0.0472191,-0.114764,4.12124,9.59472,5.47348,0,0.06
11,24,264,0.65,2421.6,-11,0.04,0.04,0,0,2782,0.94,4,1.58037,-0.0155326,1,0.625156,0,0,0,0,0,0,-0.0155326,0.625156,2,3.36951,9.7358,0.896914,-0.0155326,-0.194886,9.7358,7.93531,-1.80049,0,0.06
12,24,288,0.65,2572.8,-6.3,0.04,0.04,0,0,2782,0.94,4,1.19205,-0.0136838,1,0.611472,0,0,0,0,0,0,-0.0136838,0.611472,2,3.36951,7.75658,0.724962,-0.0136838,-0.148595,7.75658,6.1704,-1.58618,0,0.06
13,24,312,0.65,2788.8,-9,0.04,0.04,0,0,2782,0.94,4,0.849956,0.0191187,1,0.63059,0,0,0,0,0,0,0.0191187,0.63059,2,3.36951,6.04874,0.573476,0.0191187,-0.139297,6.04874,8.26492,2.21618,0,0.06
14,24,336,0.65,2928,-5.8,0.04,0.04,0,0,2782,0.94,4,1.32792,-0.0225838,1,0.608007,0,0,0,0,0,0,-0.0225838,0.608007,2,3.36951,8.16475,0.785128,-0.0225838,-0.154086,8.16475,5.54691,-2.61784,0,0.06
15,24,360,0.65,3120,-8,0.04,0.04,0,0,2782,0.94,4,0.763329,0.0204188,1,0.628425,0,0,0,0,0,0,0.0204188,0.628425,2,3.36951,5.48732,0.535117,0.0204188,-0.128824,5.48732,7.8542,2.36688,0,0.06
15.5066,12.1592,372.159,0.65,3357.1,-19.5,0.04,0.04,0,0,2782,0.94,4,1.2738,0.0215745,1,0.65,0,0,0,0,0,0,0.0215745,0.65,2,3.36951,7.69756,0.761161,0.0332034,-0.201513,7.69756,12.6338,4.93623,0,0.06
16,11.8408,384,0.95,3588,-19.5,2.57,3.07,0,0,14602,0.94,65,1.81316,0.000520009,1,0.65052,0,0,0,0,0,0,0.000520009,0.65052,3,3.36951,10.1129,1,0.000520009,-11.1415,10.1129,10.7542,0.64127,0,0.06
17,24,408,0.95,3996,-17,2.57,3.07,0,0,14602,0.94,65,1.81333,-0.000984136,1,0.649536,0,0,0,0,0,0,-0.000984136,0.649536,3,3.36951,9.9746,1,-0.000984136,-11.1493,9.9746,9.37584,-0.598765,0,0.06
18,24,432,0.65,4303.2,-12.8,0.04,0.04,0,0,2782,0.94,4,1.80156,-0.0156741,1,0.633862,0,0,0,0,0,0,-0.0156741,0.633862,2,3.36951,9.78882,0.994862,-0.0156741,-0.212898,9.78882,7.97193,-1.81689,0,0.06
18.8254,19.8093,451.809,0.65,4630.05,-16.5,0.04,0.04,0,0,2782,0.94,4,1.40971,0.0161382,1,0.65,0,0,0,0,0,0,0.0161382,0.65,2,3.36951,7.97289,0.821344,0.018177,-0.199735,7.97289,10.2393,2.26643,0,0.06
19,4.19066,456,0.95,4699.2,-16.5,2.57,3.07,0,0,14602,0.94,65,1.81316,-0.000174167,1,0.649826,0,0,0,0,0,0,-0.000174167,0.649826,3,3.36951,9.70713,1,-0.000174167,-11.1354,9.70713,9.10027,-0.606869,0,0.06
19.037,0.887942,456.888,0.65,4715.45,-18.3,0.04,0.04,0,0,2782,0.94,4,1.80881,0.000174167,1,0.65,0,0,0,0,0,0,0.000174167,0.65,2,3.36951,9.55932,0.998072,0.00302516,-0.230197,9.55932,10.105,0.545679,0,0.06
20,23.1121,480,0.95,5138.4,-18.3,2.57,3.07,0,0,14602,0.94,65,1.81316,0.000814102,1,0.650814,0,0,0,0,0,0,0.000814102,0.650814,3,3.36951,9.57778,1,0.000814102,-11.1488,9.57778,10.0921,0.514343,0,0.06
21,24,504,0.95,5558.4,-17.5,2.57,3.07,0,0,14602,0.94,65,1.81343,0.000326626,1,0.651141,0,0,0,0,0,0,0.000326626,0.651141,3,3.36951,9.45123,1,0.000326626,-11.1503,9.45123,9.64995,0.198724,0,0.06
22,24,528,0.95,6009.6,-18.8,2.57,3.07,0,0,14602,0.94,65,1.81353,0.00170531,1,0.652846,0,0,0,0,0,0,0.00170531,0.652846,3,3.36951,9.32738,1,0.00170531,-11.1521,9.32738,10.3649,1.03754,0,0.06
23,24,552,0.95,6237.6,-9.5,2.57,3.07,0,0,14602,0.94,65,1.81409,-0.00651904,1,0.646327,0,0,0,0,0,0,-0.00651904,0.646327,3,3.36951,9.20615,1,-0.00651904,-11.1471,9.20615,5.23985,-3.96629,0,0.06
24,24,576,0.65,6412.8,-7.3,0.04,0.04,0,0,2782,0.94,4,1.72134,-0.0289039,1,0.617423,0,0,0,0,0,0,-0.0289039,0.617423,2,3.36951,8.71794,0.959338,-0.0289039,-0.184012,8.71794,5.3675,-3.35045,0,0.06
25,24,600,0.65,6652.8,-10,0.04,0.04,0,0,2782,0.94,4,0.998739,0.0197651,1,0.637188,0,0,0,0,0,0,0.0197651,0.637188,2,3.36951,5.73584,0.63936,0.0197651,-0.149147,5.73584,8.02695,2.29111,0,0.06
26,24,624,0.65,6952.8,-12.5,0.04,0.04,0,0,2782,0.94,4,1.49287,0.00420401,1,0.641392,0,0,0,0,0,0,0.00420401,0.641392,2,3.36951,7.60111,0.858168,0.00420401,-0.189207,7.60111,8.08843,0.487315,0,0.06
26.5149,12.3585,636.358,0.65,7160.42,-16.8,0.04,0.04,0,0,2782,0.94,4,1.59797,0.00860778,1,0.65,0,0,0,0,0,0,0.00860778,0.65,2,3.36951,7.91242,0.904709,0.013674,-0.209771,7.91242,9.85011,1.93768,0,0.06
27,11.6415,648,0.95,7356,-16.8,2.57,3.07,0,0,14602,0.94,65,1.81316,0.0004141,1,0.650414,0,0,0,0,0,0,0.0004141,0.650414,3,3.36951,8.74583,1,0.0004141,-11.1402,8.74583,9.26523,0.519407,0,0.06
28,24,672,0.95,7620,-11,2.57,3.07,0,0,14602,0.94,65,1.8133,-0.00422068,1,0.646193,0,0,0,0,0,0,-0.00422068,0.646193,3,3.36951,8.63653,1,-0.00422068,-11.1436,8.63653,6.0686,-2.56793,0,0.06
29,24,696,0.65,7764,-6,0.04,0.04,0,0,2782,0.94,4,1.718,-0.0314226,1,0.614771,0,0,0,0,0,0,-0.0314226,0.614771,2,3.36951,8.16997,0.95786,-0.0314226,-0.176499,8.16997,4.52757,-3.6424,0,0.06
30,24,720,0.65,7788,-1,0.04,0.04,0,0,2782,0.94,4,0.932432,-0.0291468,1,0.585624,0,0,0,0,0,0,-0.0291468,0.585624,2,3.36951,5.13886,0.609999,-0.0291468,-0.0897802,5.13886,1.76026,-3.3786,0,0.06
30.3473,8.33562,728.336,0.59,7808.84,-2.5,1.77,1.98,0,0,9938,0.94,59,0.310952,0.00437601,1,0.59,0,0,0,0,0,0,0.00437601,0.59,1,3.36951,2.79413,0.335775,0.0124735,-1.25059,2.79413,8.01135,5.21722,0,0.06
31,15.6644,744,0.65,7848,-2.5,0.04,0.04,0,0,2782,0.94,4,0.313162,0.013487,1,0.603487,0,0,0,0,0,0,0.013487,0.603487,2,3.36951,2.79413,0.335776,0.013487,-0.0542726,2.79413,5.18942,2.39529,0,0.06
32,24,768,0.65,8016,-7,0.04,0.04,0,0,2782,0.94,4,0.650336,0.0268486,1,0.630336,0,0,0,0,0,0,0.0268486,0.630336,2,3.36951,3.98759,0.485082,0.0268486,-0.113276,3.98759,7.09979,3.1122,0,0.06
33,24,792,0.65,8203.2,-7.8,0.04,0.04,0,0,2782,0.94,4,1.32155,-0.00260622,1,0.627729,0,0,0,0,0,0,-0.00260622,0.627729,2,3.36951,6.35343,0.782307,-0.00260622,-0.157928,6.35343,6.05132,-0.302104,0,0.06
34,24,816,0.65,8402.4,-8.3,0.04,0.04,0,0,2782,0.94,4,1.2564,0.00311858,1,0.630848,0,0,0,0,0,0,0.00311858,0.630848,2,3.36951,6.04589,0.753455,0.00311858,-0.155788,6.04589,6.40739,0.361496,0,0.06
35,24,840,0.65,8570.4,-7,0.04,0.04,0,0,2782,0.94,4,1.33436,-0.00596446,1,0.624883,0,0,0,0,0,0,-0.00596446,0.624883,2,3.36951,6.24779,0.787979,-0.00596446,-0.154683,6.24779,5.55641,-0.69138,0,0.06
36,24,864,0.65,8714.4,-6,0.04,0.04,0,0,2782,0.94,4,1.18525,-0.00346974,1,0.621414,0,0,0,0,0,0,-0.00346974,0.621414,2,3.36951,5.6567,0.72195,-0.00346974,-0.14015,5.6567,5.2545,-0.402201,0,0.06
37,24,888,0.65,8966.4,-10.5,0.04,0.04,0,0,2782,0.94,4,1.09851,0.020934,1,0.642348,0,0,0,0,0,0,0.020934,0.642348,2,3.36951,5.29295,0.683539,0.020934,-0.154476,5.29295,7.71956,2.4266,0,0.06
38,24,912,0.65,9261.6,-12.3,0.04,0.04,0,0,2782,0.94,4,1.62186,0.0033485,1,0.645696,0,0,0,0,0,0,0.0033485,0.645696,2,3.36951,7.00495,0.915287,0.0033485,-0.193528,7.00495,7.3931,0.388147,0,0.06
39,24,936,0.65,9484.8,-9.3,0.04,0.04,0,0,2782,0.94,4,1.70557,-0.0109901,1,0.634706,0,0,0,0,0,0,-0.0109901,0.634706,2,3.36951,7.20433,0.952356,-0.0109901,-0.187606,7.20433,5.93039,-1.27394,0,0.06
39.3222,7.7327,943.733,0.65,9631.72,-19,0.04,0.04,0,0,2782,0.88,4,1.43082,0.0152938,1,0.65,0,0,0,0,0,0,0.0152938,0.65,2,3.36951,6.21173,0.830691,0.0344613,-0.202515,6.21173,11.714,5.50228,0,0.06
