day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0730175,1.75242,1.75242,0.14,7.88589,-4.5,1.63,1.63,0,0,1250,1,0,0,0.14,1,0.14,0,0,0,0,0,0,0.14,0.14,0,3.36951,4.9238,0.389379,0.485553,-0.58009,4.9238,104.786,99.8619,0,0.05
1,22.2476,24,0.59,108,-4.5,1.6,1.6,0,0,5856,1,36,0.0858896,0.119887,1,0.259887,0,0,0,0,0,0,0.119887,0.259887,1,3.36951,4.9238,0.389379,0.119887,-0.413439,4.9238,36.4803,31.5565,0,0.05
2,24,48,0.59,312,-8.5,1.6,1.6,0,0,5856,1,36,0.160819,0.148299,1,0.408186,0,0,0,0,0,0,0.148299,0.408186,1,3.36951,4.84555,0.389379,0.148299,-0.682778,4.84555,41.0306,36.1851,0,0.05
3,24,72,0.59,535.2,-9.3,1.6,1.6,0,0,5856,1,36,0.253506,0.112494,1,0.52068,0,0,0,0,0,0,0.112494,0.52068,1,3.36951,4.7694,0.389379,0.112494,-0.943259,4.7694,32.2178,27.4484,0,0.05
3.99414,23.8594,95.8594,0.59,714.145,-7.5,1.6,1.6,0,0,5856,1,36,0.323814,0.0693203,1,0.59,0,0,0,0,0,0,0.0693203,0.59,1,3.36951,4.69527,0.389379,0.0696985,-1.12515,4.69527,21.7091,17.0139,0,0.05
4,0.140631,96,0.64,715.2,-7.5,0.03,0.03,0,0,649,1,1,0.36714,0.00289499,1,0.592895,0,0,0,0,0,0,0.00289499,0.592895,2,3.36951,4.69527,0.38938,0.00289499,-0.0259408,4.69527,18.0553,13.3601,0,0.05
4.49662,11.9189,107.919,0.64,828.429,-9.5,0.03,0.03,0,0,649,1,1,0.463639,0.047105,1,0.64,0,0,0,0,0,0,0.047105,0.64,2,3.36951,5.04284,0.424734,0.0582945,-0.272597,5.04284,7.60777,2.56494,0,0.05
5,12.0811,120,1.39,943.2,-9.5,2.39,2.61,0,0,10891,1,49,2.03381,-0.00798497,1,0.632015,0,0,0,0,0,0,-0.00798497,0.632015,3,3.36951,11.8729,1,-0.00798497,-10.6217,11.8729,4.67456,-7.19836,0,0.05
6,24,144,0.64,1147.2,-8.5,0.03,0.03,0,0,649,1,1,1.76764,-0.0505363,1,0.581479,0,0,0,0,0,0,-0.0505363,0.581479,2,3.36951,10.5521,0.902484,-0.0505363,-0.445739,10.5521,9.18552,-1.36658,0,0.05
