day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0702586,1.68621,1.68621,0.14,8.43103,-5,1.63,1.63,0,0,1250,1,0,0,0.14,1,0.14,0,0,0,0,0,0,0.14,0.14,0,3.36951,12.6452,1,0.451054,-0.693842,12.6452,116.429,103.783,0,0
1,22.3138,24,0.365,120,-5,1.77,1.98,0,0,9938,1,59,0.0858896,0.0779464,1,0.217946,0,0,0,0,0,0,0.0779464,0.217946,1,3.36951,12.6452,1,0.0779464,-0.446461,12.6452,47.3606,34.7153,0,0
2,24,48,0.365,319.2,-8.3,1.77,1.98,0,0,9938,1,59,0.125256,0.102555,1,0.320502,0,0,0,0,0,0,0.102555,0.320502,1,3.36951,12.4443,1,0.102555,-0.628624,12.4443,54.9108,42.4665,0,0
2.53427,12.8225,60.8225,0.365,432.038,-8.8,1.77,1.98,0,0,9938,1,59,0.177052,0.0444982,1,0.365,0,0,0,0,0,0,0.0444982,0.365,1,3.36951,12.2487,1,0.0783814,-0.809088,12.2487,46.7367,34.4879,0,0
3,11.1775,72,1.115,530.4,-8.8,2.27,2.36,0,0,9035,1,41,0.199526,0.0373295,1,0.402329,0,0,0,0,0,0,0.0373295,0.402329,2,3.36951,12.2487,1,0.0373295,-0.994245,12.2487,42.423,30.1743,0,0
4,24,96,1.115,621.6,-3.8,2.27,2.36,0,0,9035,1,41,0.215344,0.0141976,1,0.416527,0,0,0,0,0,0,0.0141976,0.416527,2,3.36951,12.0583,1,0.0141976,-1.06265,12.0583,17.4031,5.3448,0,0
5,24,120,1.115,753.6,-5.5,2.27,2.36,0,0,9035,1,41,0.221359,0.0324727,1,0.449,0,0,0,0,0,0,0.0324727,0.449,2,3.36951,11.8729,1,0.0324727,-1.10883,11.8729,24.0975,12.2246,0,0
6,24,144,1.115,868.8,-4.8,2.27,2.36,0,0,9035,1,41,0.235119,0.0221116,1,0.471111,0,0,0,0,0,0,0.0221116,0.471111,2,3.36951,11.6923,1,0.0221116,-1.16293,11.6923,20.0164,8.32409,0,0
7,24,168,1.115,1044,-7.3,2.27,2.36,0,0,9035,1,41,0.244488,0.0457012,1,0.516812,0,0,0,0,0,0,0.0457012,0.516812,2,3.36951,11.5163,1,0.0457012,-1.23028,11.5163,28.7208,17.2046,0,0
8,24,192,1.115,1063.2,-0.8,2.27,2.36,0,0,9035,1,41,0.263853,-0.0219368,1,0.494876,0,0,0,0,0,0,-0.0219368,0.494876,2,3.36951,11.3446,1,-0.0219368,-1.25359,11.3446,3.08635,-8.25829,0,0
9,24,216,1.115,1087.2,-1,2.27,2.36,0,0,9035,1,41,0.254558,-0.0190871,1,0.475789,0,0,0,0,0,0,-0.0190871,0.475789,2,3.36951,11.1773,1,-0.0190871,-1.21212,11.1773,3.99179,-7.18551,0,0
10,24,240,1.115,1106.4,-0.8,2.27,2.36,0,0,9035,1,41,0.24647,-0.0204805,1,0.455308,0,0,0,0,0,0,-0.0204805,0.455308,2,3.36951,11.0141,1,-0.0204805,-1.17212,11.0141,3.30399,-7.71006,0,0
11,24,264,1.115,1286.4,-7.5,2.27,2.36,0,0,9035,1,41,0.237792,0.0512863,1,0.506594,0,0,0,0,0,0,0.0512863,0.506594,2,3.36951,10.8548,1,0.0512863,-1.2025,10.8548,30.1619,19.3072,0,0
12,24,288,1.115,1425.6,-5.8,2.27,2.36,0,0,9035,1,41,0.259524,0.0295464,1,0.536141,0,0,0,0,0,0,0.0295464,0.536141,2,3.36951,10.6993,1,0.0295464,-1.28292,10.6993,21.8223,11.123,0,0
13,24,312,1.115,1557.6,-5.5,2.27,2.36,0,0,9035,1,41,0.272043,0.0246739,1,0.560815,0,0,0,0,0,0,0.0246739,0.560815,2,3.36951,10.5475,1,0.0246739,-1.33674,10.5475,19.8362,9.28871,0,0
14,24,336,1.115,1696.8,-5.8,2.27,2.36,0,0,9035,1,41,0.282498,0.0258754,1,0.58669,0,0,0,0,0,0,0.0258754,0.58669,2,3.36951,10.3993,1,0.0258754,-1.38689,10.3993,20.1403,9.74101,0,0
15,24,360,1.115,1716,-0.8,2.27,2.36,0,0,9035,1,41,0.293462,-0.0198923,1,0.566798,0,0,0,0,0,0,-0.0198923,0.566798,2,3.36951,10.2544,1,-0.0198923,-1.39249,10.2544,2.76579,-7.48864,0,0
16,24,384,1.115,1908,-8,2.27,2.36,0,0,9035,1,41,0.285033,0.045265,1,0.612063,0,0,0,0,0,0,0.045265,0.612063,2,3.36951,10.1129,1,0.045265,-1.41749,10.1129,27.1533,17.0404,0,0
17,24,408,1.115,2172,-11,2.27,2.36,0,0,9035,1,41,0.304214,0.0653716,1,0.677434,0,0,0,0,0,0,0.0653716,0.677434,2,3.36951,9.9746,1,0.0653716,-1.52776,9.9746,34.5843,24.6097,0,0
18,24,432,1.115,2304,-5.5,2.27,2.36,0,0,9035,1,41,0.331913,0.0173969,1,0.694831,0,0,0,0,0,0,0.0173969,0.694831,2,3.36951,9.83937,1,0.0173969,-1.61016,9.83937,16.3886,6.54922,0,0
19,24,456,1.115,2443.2,-5.8,2.27,2.36,0,0,9035,1,41,0.339285,0.0190892,1,0.71392,0,0,0,0,0,0,0.0190892,0.71392,2,3.36951,9.70713,1,0.0190892,-1.6463,9.70713,16.8934,7.18627,0,0
20,24,480,1.115,2599.2,-6.5,2.27,2.36,0,0,9035,0.94,41,0.347374,0.0235591,1,0.73748,0,0,0,0,0,0,0.0235591,0.73748,2,3.36951,9.57778,1,0.0235591,-1.6886,9.57778,18.4468,8.869,0,0
21,24,504,1.115,2738.4,-5.8,2.27,2.36,0,0,9035,0.94,41,0.357356,0.0175632,1,0.755043,0,0,0,0,0,0,0.0175632,0.755043,2,3.36951,9.45123,1,0.0175632,-1.72939,9.45123,16.063,6.61182,0,0
22,24,528,1.115,2877.6,-5.8,2.27,2.36,0,0,9035,0.94,41,0.364798,0.017043,1,0.772086,0,0,0,0,0,0,0.017043,0.772086,2,3.36951,9.32738,1,0.017043,-1.76367,9.32738,15.7434,6.41599,0,0
23,24,552,1.115,3016.8,-5.8,2.27,2.36,0,0,9035,0.94,41,0.37202,0.016572,1,0.788658,0,0,0,0,0,0,0.016572,0.788658,2,3.36951,9.20615,1,0.016572,-1.79696,9.20615,15.4448,6.23866,0,0
24,24,576,1.115,3084,-2.8,2.27,2.36,0,0,9035,0.94,41,0.379042,-0.00446773,1,0.78419,0,0,0,0,0,0,-0.00446773,0.78419,2,3.36951,9.08745,1,-0.00446773,-1.80875,9.08745,7.40554,-1.68191,0,0
25,24,600,1.115,3168,-3.5,2.27,2.36,0,0,9035,0.94,41,0.377149,0.000809438,1,0.784999,0,0,0,0,0,0,0.000809438,0.784999,2,3.36951,8.97122,1,0.000809438,-1.80478,8.97122,9.27594,0.30472,0,0
26,24,624,1.115,3235.2,-2.8,2.27,2.36,0,0,9035,0.94,41,0.377492,-0.00378317,1,0.781216,0,0,0,0,0,0,-0.00378317,0.781216,2,3.36951,8.85737,1,-0.00378317,-1.80151,8.85737,7.43316,-1.42421,0,0
27,24,648,1.115,3434.4,-8.3,2.27,2.36,0,0,9035,0.94,41,0.375889,0.0343099,1,0.815526,0,0,0,0,0,0,0.0343099,0.815526,2,3.36951,8.74583,1,0.0343099,-1.83174,8.74583,21.6621,12.9163,0,0
28,24,672,1.115,3681.6,-10.3,2.27,2.36,0,0,9035,0.94,41,0.390427,0.0454496,1,0.860976,0,0,0,0,0,0,0.0454496,0.860976,2,3.36951,8.63653,1,0.0454496,-1.91121,8.63653,25.7464,17.1099,0,0
29,24,696,1.115,3868.8,-7.8,2.27,2.36,0,0,9035,0.94,41,0.409685,0.0272152,1,0.888191,0,0,0,0,0,0,0.0272152,0.888191,2,3.36951,8.5294,1,0.0272152,-1.98359,8.5294,18.7748,10.2454,0,0
