day,chau_z,chau_h
0,0,0
0.2,0.14,0
1,0.212,0
2,0.315,0
2.7,0.365,0
3,0.386,0
4,0.4,0
5,0.434,0
6,0.456,0
7,0.502,0
8,0.479,0
9,0.46,0
10,0.438,0
11,0.491,0
12,0.521,0
13,0.546,0
14,0.572,0
15,0.551,0
16,0.598,0
17,0.664,0
18,0.682,0
19,0.7,0
20,0.724,0
21,0.741,0
22,0.758,0
23,0.775,0
24,0.77,0
25,0.77,0
26,0.766,0
27,0.8,0
28,0.846,0
29,0.873,0
30,0.924,0
31,0.964,0
32,0.966,0
33,1.016,0
34,1.079,0
35,1.092,0
36,1.071,0
37,1.082,0
38,1.089,0
38.8,1.115,0
39,1.123,0
40,1.168,0.001
41,1.205,0.002
42,1.227,0.002
43,1.237,0.003
44,1.244,0.003
45,1.238,0.003
46,1.239,0.003
47,1.274,0.004
48,1.295,0.004
49,1.3,0.005
50,1.345,0.005
51,1.381,0.006
52,1.381,0.006
53,1.361,0.006
54,1.373,0.007
55,1.379,0.007
56,1.385,0.007
57,1.387,0.007
58,1.391,0.008
59,1.388,0.008
60,1.383,0.008
61,1.394,0.008
62,1.408,0.008
63,1.418,0.009
64,1.459,0.009
65,1.493,0.01
66,1.512,0.01
67,1.533,0.011
68,1.545,0.011
69,1.545,0.011
70,1.539,0.011
71,1.547,0.012
72,1.585,0.012
73,1.616,0.013
74,1.624,0.013
75,1.63,0.013
76,1.667,0.014
77,1.697,0.014
78,1.7,0.015
79,1.698,0.015
80,1.7,0.015
81,1.702,0.015
82,1.703,0.015
83,1.699,0.015
84,1.692,0.015
85,1.705,0.016
86,1.722,0.016
87,1.74,0.016
88,1.756,0.017
89,1.767,0.017
90,1.776,0.017
91,1.78,0.017
92,1.77,0.017
93,1.755,0.017
94,1.77,0.017
95,1.802,0.018
96,1.835,0.018
97,1.853,0.019
98,1.845,0.019
99,1.839,0.019
100,1.834,0.019
101,1.83,0.019
102,1.824,0.019
103,1.826,0.019
104,1.829,0.019
105,1.822,0.019
106,1.819,0.019
107,1.814,0.019
108,1.805,0.019
109,1.789,0.019
110,1.776,0.019
111,1.765,0.019
112,1.759,0.019
113,1.754,0.019
114,1.751,0.019
115,1.752,0.019
116,1.757,0.02
117,1.759,0.02
118,1.745,0.02
119,1.744,0.02
120,1.769,0.02
121,1.795,0.021
122,1.814,0.021
123,1.82,0.021
124,1.821,0.021
125,1.835,0.021
126,1.847,0.022
127,1.853,0.022
128,1.853,0.022
129,1.856,0.022
130,1.865,0.022
131,1.872,0.022
132,1.881,0.022
133,1.885,0.023
134,1.888,0.023
