day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0841174,2.01882,2.01882,0.15,9.08467,-4.5,1.63,1.63,0,0,1250,1,0,0,0.15,1,0.15,0,0,0,0,0,0,0.15,0.15,0,3.36951,4.9238,0.389379,0.485553,-0.58009,4.9238,97.8,92.8762,0,0.05
1,21.9812,24,0.85,108,-4.5,1.6,1.6,0,0,5856,1,36,0.0920245,0.113882,1,0.263882,0,0,0,0,0,0,0.113882,0.263882,1,3.36951,4.9238,0.389379,0.113882,-0.426842,4.9238,35.263,30.3392,0,0.05
2,24,48,0.85,312,-8.5,1.6,1.6,0,0,5856,1,36,0.163201,0.146769,1,0.41065,0,0,0,0,0,0,0.146769,0.41065,1,3.36951,4.84555,0.389379,0.146769,-0.688869,4.84555,40.6571,35.8115,0,0.05
3,24,72,0.85,535.2,-9.3,1.6,1.6,0,0,5856,1,36,0.254931,0.111925,1,0.522576,0,0,0,0,0,0,0.111925,0.522576,1,3.36951,4.7694,0.389379,0.111925,-0.947251,4.7694,32.0792,27.3098,0,0.05
4,24,96,0.85,715.2,-7.5,1.6,1.6,0,0,5856,1,36,0.324884,0.0694443,1,0.59202,0,0,0,0,0,0,0.0694443,0.59202,1,3.36951,4.69527,0.389379,0.0694443,-1.12832,4.69527,21.6397,16.9444,0,0.05
5,24,120,0.85,943.2,-9.5,1.6,1.6,0,0,5856,1,36,0.368287,0.0800468,1,0.672067,0,0,0,0,0,0,0.0800468,0.672067,1,3.36951,4.62307,0.389379,0.0800468,-1.27751,4.62307,24.1545,19.5314,0,0.05
6,24,144,0.85,1147.2,-8.5,1.6,1.6,0,0,5856,1,36,0.418316,0.0609892,1,0.733056,0,0,0,0,0,0,0.0609892,0.733056,1,3.36951,4.55274,0.389379,0.0609892,-1.41826,4.55274,19.4341,14.8814,0,0.05
7,24,168,0.85,1430.4,-11.8,1.6,1.6,0,0,5856,1,36,0.456434,0.0819466,1,0.815002,0,0,0,0,0,0,0.0819466,0.815002,1,3.36951,4.48419,0.389379,0.0819466,-1.56091,4.48419,24.4792,19.995,0,0.05
7.32303,7.75262,175.753,0.85,1554.44,-16,1.6,1.6,0,0,5856,1,36,0.507651,0.0349975,1,0.85,0,0,0,0,0,0,0.0349975,0.85,1,3.36951,4.41737,0.389379,0.103341,-1.74593,4.41737,30.853,26.4356,0,0.05
7.50767,4.43145,180.184,0.9,1625.35,-16,0.03,0.03,0,0,649,1,1,0.529525,0.05,1,0.9,0,0,0,0,0,0,0.05,0.9,2,3.36951,4.41737,0.38938,0.0887774,-0.231136,4.41737,11.74,7.32266,0,0.05
