day,chau_z,chau_h
0,0,0
0.2,0.15,0
1,0.26,0
2,0.412,0
3,0.527,0
4,0.6,0
5,0.684,0
6,0.748,0
7,0.832,0
7.3,0.85,0
8,0.869,0
9,0.851,0
10,0.853,0
11,0.86,0
12,0.85,0
13,0.85,0
14,0.85,0
15,0.85,0
16,0.893,0
16.2,0.9,0
17,0.903,0
18,0.903,0
19,0.906,0
20,0.911,0.001
21,0.916,0.001
22,0.921,0.001
23,0.919,0.001
24,0.914,0.001
25,0.912,0.001
26,0.912,0.001
27,0.917,0.002
28,0.916,0.002
29,0.91,0.002
30,0.9,0.002
30.1,0.9,0.002
31,0.883,0.002
32,0.882,0.002
33,0.884,0.002
34,0.889,0.002
35,0.889,0.002
36,0.885,0.002
37,0.899,0.002
37,0.9,0.002
38,0.901,0.002
39,0.9,0.002
39,0.9,0.002
40,0.908,0.002
41,0.918,0.002
42,0.932,0.003
43,0.946,0.003
44,0.96,0.003
45,0.972,0.003
46,0.984,0.004
47,0.996,0.004
48,1.003,0.004
49,1.004,0.004
50,1.01,0.004
51,1.013,0.004
52,1.011,0.004
53,1.012,0.004
54,1.022,0.005
55,1.024,0.005
56,1.02,0.005
57,1.005,0.005
58,0.987,0.005
59,0.99,0.005
60,0.992,0.005
61,0.988,0.005
62,0.981,0.005
63,0.971,0.005
64,0.978,0.005
65,0.977,0.005
66,0.969,0.005
67,0.974,0.005
68,0.978,0.005
69,0.978,0.006
70,0.985,0.006
71,0.997,0.006
72,1.006,0.006
73,1.02,0.006
74,1.034,0.007
75,1.044,0.007
76,1.052,0.007
77,1.055,0.007
78,1.048,0.007
79,1.042,0.007
80,1.043,0.007
81,1.043,0.007
82,1.055,0.007
83,1.067,0.008
84,1.074,0.008
85,1.08,0.008
86,1.085,0.008
87,1.087,0.008
88,1.095,0.008
89,1.1,0.008
90,1.096,0.008
91,1.084,0.008
92,1.074,0.008
93,1.066,0.008
94,1.056,0.008
95,1.051,0.008
96,1.049,0.008
97,1.049,0.008
98,1.046,0.009
99,1.053,0.009
100,1.057,0.009
101,1.058,0.009
102,1.058,0.009
103,1.064,0.009
104,1.068,0.009
105,1.074,0.009
106,1.08,0.009
107,1.085,0.01
108,1.092,0.01
109,1.095,0.01
110,1.093,0.01
111,1.089,0.01
112,1.082,0.01
113,1.072,0.01
114,1.069,0.01
115,1.069,0.01
116,1.067,0.01
117,1.062,0.01
118,1.055,0.01
119,1.05,0.01
120,1.043,0.01
121,1.036,0.01
122,1.034,0.01
123,1.033,0.01
124,1.023,0.01
125,1.017,0.01
126,1.022,0.01
127,1.024,0.01
128,1.023,0.01
129,1.021,0.01
130,1.018,0.01
131,1.01,0.01
132,1.006,0.01
133,1.004,0.01
134,1.003,0.01
135,1.001,0.01
136,0.997,0.01
137,0.994,0.01
138,0.99,0.01
139,0.987,0.011
140,0.983,0.011
141,0.979,0.011
142,0.974,0.011
