day,chau_z,chau_h
0,0,0
0.2,0.15,0
1,0.239,0
2,0.377,0
3,0.476,0
4,0.532,0
5,0.6,0
5,0.6,0
6,0.62,0
7,0.654,0
8,0.703,0
9,0.706,0
10,0.728,0
11,0.756,0
12,0.765,0
13,0.784,0
14,0.79,0
14.7,0.8,0
15,0.804,0
16,0.861,0
17,0.906,0
18,0.936,0
19,0.977,0
20,1.023,0
20.8,1.05,0
21,1.055,0
22,1.094,0.002
23,1.106,0.003
24,1.111,0.004
25,1.124,0.005
26,1.143,0.006
27,1.173,0.007
28,1.187,0.008
29,1.189,0.009
30,1.178,0.009
31,1.171,0.009
32,1.175,0.01
33,1.182,0.011
34,1.19,0.011
35,1.195,0.012
36,1.198,0.012
37,1.211,0.013
38,1.229,0.014
39,1.24,0.015
40,1.273,0.017
41,1.313,0.018
42,1.357,0.02
43,1.402,0.022
44,1.444,0.024
45,1.48,0.025
46,1.515,0.027
47,1.549,0.028
48,1.572,0.029
49,1.582,0.03
50,1.602,0.031
51,1.616,0.032
52,1.62,0.032
53,1.629,0.033
54,1.657,0.034
55,1.668,0.035
56,1.666,0.035
57,1.645,0.035
58,1.616,0.034
59,1.629,0.035
60,1.641,0.036
61,1.64,0.036
62,1.632,0.036
63,1.62,0.036
64,1.64,0.037
65,1.646,0.037
66,1.638,0.037
67,1.653,0.038
68,1.668,0.039
69,1.674,0.039
70,1.694,0.04
71,1.724,0.041
72,1.746,0.042
73,1.777,0.044
74,1.809,0.045
75,1.833,0.046
76,1.851,0.047
77,1.861,0.047
78,1.855,0.047
79,1.849,0.047
80,1.855,0.048
81,1.862,0.048
82,1.886,0.049
83,1.912,0.05
84,1.928,0.051
85,1.944,0.052
86,1.957,0.052
87,1.964,0.053
88,1.982,0.053
89,1.994,0.054
90,1.992,0.054
91,1.977,0.054
92,1.964,0.054
93,1.955,0.054
94,1.944,0.054
95,1.94,0.054
96,1.94,0.054
97,1.945,0.054
98,1.945,0.054
99,1.961,0.055
100,1.971,0.056
101,1.978,0.056
102,1.981,0.056
103,1.995,0.057
104,2.006,0.057
105,2.021,0.058
106,2.034,0.059
107,2.047,0.059
108,2.061,0.06
109,2.071,0.06
110,2.071,0.06
111,2.068,0.061
112,2.061,0.06
113,2.049,0.06
114,2.049,0.06
115,2.052,0.061
116,2.053,0.061
117,2.049,0.061
118,2.042,0.061
119,2.037,0.061
120,2.031,0.061
121,2.023,0.061
122,2.024,0.061
123,2.026,0.061
124,2.015,0.061
125,2.009,0.061
126,2.02,0.062
127,2.027,0.062
128,2.03,0.062
129,2.031,0.062
130,2.03,0.063
131,2.022,0.062
132,2.019,0.063
133,2.021,0.063
134,2.023,0.063
135,2.022,0.063
136,2.021,0.063
137,2.02,0.063
138,2.018,0.063
139,2.016,0.064
140,2.014,0.064
141,2.011,0.064
142,2.008,0.064
