day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0917447,2.20187,2.20187,0.15,9.90843,-4.5,1.63,1.63,0,0,1250,1,0,0,0.15,1,0.15,0,0,0,0,0,0,0.15,0.15,0,3.36951,12.6452,1,0.423032,-0.665821,12.6452,97.8,85.1547,0,0
1,21.7981,24,0.6,108,-4.5,1.6,1.6,0,0,5856,1,36,0.0920245,0.0917227,1,0.241723,0,0,0,0,0,0,0.0917227,0.241723,1,3.36951,12.6452,1,0.0917227,-0.433271,12.6452,37.2863,24.641,0,0
2,24,48,0.6,312,-8.5,1.6,1.6,0,0,5856,1,36,0.149351,0.131822,1,0.373544,0,0,0,0,0,0,0.131822,0.373544,1,3.36951,12.4443,1,0.131822,-0.660747,12.4443,44.6088,32.1645,0,0
3,24,72,0.6,535.2,-9.3,1.6,1.6,0,0,5856,1,36,0.23174,0.0955069,1,0.469051,0,0,0,0,0,0,0.0955069,0.469051,1,3.36951,12.2487,1,0.0955069,-0.887274,12.2487,35.5524,23.3037,0,0
4,24,96,0.6,715.2,-7.5,1.6,1.6,0,0,5856,1,36,0.291432,0.0506217,1,0.519673,0,0,0,0,0,0,0.0506217,0.519673,1,3.36951,12.0583,1,0.0506217,-1.03262,12.0583,24.41,12.3517,0,0
5,24,120,0.6,943.2,-9.5,1.6,1.6,0,0,5856,1,36,0.32307,0.0647511,1,0.584424,0,0,0,0,0,0,0.0647511,0.584424,1,3.36951,11.8729,1,0.0647511,-1.14724,11.8729,27.6722,15.7993,0,0
5.33396,8.01515,128.015,0.6,1011.33,-8.5,1.6,1.6,0,0,5856,1,36,0.36354,0.0155759,1,0.6,0,0,0,0,0,0,0.0155759,0.6,1,3.36951,11.6923,1,0.0443839,-1.25563,11.6923,23.0723,11.38,0,0
6,15.9848,144,0.8,1147.2,-8.5,2.52,3.02,0,0,14602,1,65,0.373275,0.0119964,1,0.611996,0,0,0,0,0,0,0.0119964,0.611996,2,3.36951,11.6923,1,0.0119964,-2.27937,11.6923,22.6509,10.9586,0,0
7,24,168,0.8,1430.4,-11.8,2.52,3.02,0,0,14602,1,65,0.377247,0.0317756,1,0.643772,0,0,0,0,0,0,0.0317756,0.643772,2,3.36951,11.5163,1,0.0317756,-2.32927,11.5163,30.8491,19.3328,0,0
8,24,192,0.8,1814.4,-16,2.52,3.02,0,0,14602,1,65,0.387769,0.0478152,1,0.691587,0,0,0,0,0,0,0.0478152,0.691587,2,3.36951,11.3446,1,0.0478152,-2.40858,11.3446,40.4362,29.0916,0,0
9,24,216,0.8,1929.6,-4.8,2.52,3.02,0,0,14602,0.94,65,0.403601,0.00116685,1,0.692754,0,0,0,0,0,0,0.00116685,0.692754,2,3.36951,11.1773,1,0.00116685,-2.45729,11.1773,11.8872,0.709933,0,0
10,24,240,0.8,2157.6,-9.5,2.52,3.02,0,0,14602,0.94,65,0.403988,0.0202298,1,0.712984,0,0,0,0,0,0,0.0202298,0.712984,2,3.36951,11.0141,1,0.0202298,-2.47842,11.0141,23.3222,12.3081,0,0
