day,site_z,site_h
0,0,0
0.2,nan,nan
1,nan,nan
2,nan,nan
3,nan,nan
4,nan,nan
5,nan,nan
5,nan,nan
6,0,0
7,nan,nan
8,nan,nan
9,nan,nan
10,nan,nan
11,nan,nan
12,0.602,0.004
13,nan,nan
14,nan,nan
14.7,nan,nan
15,nan,nan
16,nan,nan
17,nan,nan
18,nan,nan
19,nan,nan
20,0.864,0.007
21,nan,nan
22,nan,nan
23,nan,nan
24,nan,nan
25,nan,nan
26,nan,nan
27,1.201,0.009
28,nan,nan
29,nan,nan
30,nan,nan
31,nan,nan
32,nan,nan
33,nan,nan
34,nan,nan
35,nan,nan
36,1.299,0.016
37,nan,nan
38,nan,nan
39,nan,nan
40,nan,nan
41,nan,nan
42,nan,nan
43,nan,nan
44,nan,nan
45,nan,nan
46,nan,nan
47,nan,nan
48,1.49,0.033
49,nan,nan
50,nan,nan
51,nan,nan
52,nan,nan
53,nan,nan
54,nan,nan
55,1.647,0.043
56,nan,nan
57,nan,nan
58,nan,nan
59,nan,nan
60,nan,nan
61,nan,nan
62,1.738,0.046
63,nan,nan
64,nan,nan
65,nan,nan
66,nan,nan
67,nan,nan
68,nan,nan
69,1.77,0.052
70,nan,nan
71,nan,nan
72,nan,nan
73,nan,nan
74,nan,nan
75,nan,nan
76,1.764,0.06
77,nan,nan
78,nan,nan
79,nan,nan
80,nan,nan
81,nan,nan
82,nan,nan
83,1.872,0.072
84,nan,nan
85,nan,nan
86,nan,nan
87,nan,nan
88,nan,nan
89,nan,nan
90,1.937,0.08
91,nan,nan
92,nan,nan
93,nan,nan
94,nan,nan
95,nan,nan
96,nan,nan
97,1.993,0.087
98,nan,nan
99,nan,nan
100,nan,nan
101,nan,nan
102,nan,nan
103,nan,nan
104,2.012,0.094
105,nan,nan
106,nan,nan
107,nan,nan
108,nan,nan
109,nan,nan
110,nan,nan
111,2.03,0.095
112,nan,nan
113,nan,nan
114,nan,nan
115,nan,nan
116,nan,nan
117,nan,nan
118,2.043,0.086
119,nan,nan
120,nan,nan
121,nan,nan
122,nan,nan
123,nan,nan
124,nan,nan
125,2.052,0.083
126,nan,nan
127,nan,nan
128,nan,nan
129,nan,nan
130,nan,nan
131,nan,nan
132,2.048,0.079
133,nan,nan
134,nan,nan
135,nan,nan
136,nan,nan
137,nan,nan
138,nan,nan
139,2.054,0.076
140,nan,nan
141,nan,nan
142,nan,nan
