day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.0969265,2.32624,2.32624,0.1,4.65247,-2,1.48,1.48,0,0,1250,1,0,0,0.1,1,0.1,0,0,0,0,0,0,0.1,0.1,0,2.32073,5.46513,0.468941,0.288733,-0.393664,5.46513,59.2,53.7349,0,0.038
1,21.6738,24,0.42,48,-2,1.8,1.95,0,0,8510,1,56,0.0675676,0.0495386,1,0.149539,0,0,0,0,0,0,0.0495386,0.149539,1,2.32073,5.46513,0.468941,0.0495386,-0.326971,5.46513,24.916,19.4508,0,0.038
2,24,48,0.42,163.2,-4.8,1.8,1.95,0,0,8510,1,56,0.092972,0.099209,1,0.248748,0,0,0,0,0,0,0.099209,0.248748,1,2.32073,5.35919,0.468941,0.099209,-0.476914,5.35919,40.5371,35.1779,0,0.038
3,24,72,0.42,163.2,1.8,1.8,1.95,0,0,8510,1,56,0.143848,-0.0538636,1,0.194884,0,0,0,0,0,0,-0.0538636,0.194884,1,2.32073,5.25693,0.468941,-0.0538636,-0.521971,5.25693,-13.8422,-19.0991,-0,0.038
4,24,96,0.42,163.2,2.5,1.8,1.95,0,0,8510,1,56,0.116226,-0.0903005,1,0.104584,0,0,0,0,0,0,-0.0903005,0.104584,1,2.32073,5.15815,0.468941,-0.0903005,-0.377528,5.15815,-26.8609,-32.0191,-0,0.038
5,24,120,0.42,163.2,0.8,1.8,1.95,0,0,8510,1,56,0.0699181,-0.0546314,1,0.0499521,0,0,0,0,0,0,-0.0546314,0.0499521,1,2.32073,5.06269,0.468941,-0.0546314,-0.232327,5.06269,-14.3087,-19.3714,-0,0.038
6,24,144,0.1,163.2,3.5,1.48,1.48,0,0,1250,1,0,0.0337514,-2.08646,0,0.01,0,0,0,0,0,0,-2.08646,0,0,2.32073,4.97038,0.468941,-2.08646,nan,4.97038,5.21506,-108.67,0,0.038
7,24,168,0.1,163.2,0.3,1.48,1.48,0,0,1250,1,0,0.00675676,-0.946197,0,0.01,0,0,0,0,0,0,-0.946197,0,0,2.32073,4.88107,0.468941,-0.946197,nan,4.88107,0.95876,-49.2811,0,0.038
7.0481,1.15432,169.154,0.1,167.586,-3.8,1.48,1.48,0,0,1250,1,0,0.00675676,0.09,1,0.1,0,0,0,0,0,0,0.09,0.09,0,2.32073,4.79461,0.468941,0.410083,-0.522139,4.79461,102.255,97.4599,0,0.038
