day,chau_z,chau_h
0,0,0
0.1,0.1,0
1,0.147,0
2,0.247,0
3,0.193,0
4,0.102,0
4.1,0.1,0
4.2,0,0
5,0,0
6,0,0
7,0,0
7.1,0.1,0
8,0.195,0
9,0.275,0
10,0.313,0
11,0.292,0
12,0.275,0
13,0.214,0
14,0.281,0
15,0.339,0
16,0.315,0
17,0.371,0
17.6,0.41,0
18,0.415,0
19,0.41,0
20,0.41,0
21,0.41,0
22,0.41,0
23,0.41,0
24,0.4,0
24.4,0.41,0
25,0.41,0
26,0.41,0
27,0.41,0
28,0.41,0
29,0.41,0
30,0.41,0
30.4,0.448,0
31,0.463,0
32,0.507,0
33,0.5,0
34,0.476,0
34.2,0.448,0
34.5,0.41,0
35,0.386,0
36,0.41,0
36.5,0.448,0
37,0.458,0
38,0.478,0
39,0.448,0
40,0.412,0
40,0.41,0
41,0.39,0
42,0.393,0
42.6,0.41,0
43,0.41,0
44,0.41,0
45,0.428,0
45.3,0.448,0
46,0.483,0
47,0.448,0
48,0.433,0
49,0.444,0
49.1,0.448,0
50,0.489,0
51,0.479,0
51.8,0.448,0
52,0.445,0
52.1,0.448,0
53,0.48,0
54,0.535,0
55,0.548,0
56,0.548,0
56.3,0.548,0
57,0.534,0
58,0.476,0
59,0.466,0
60,0.548,0
61,0.568,0
62,0.578,0
63,0.593,0
64,0.624,0
65,0.662,0
66,0.699,0
67,0.725,0
68,0.744,0
69,0.749,0
70,0.763,0
71,0.792,0
72,0.816,0
73,0.832,0
74,0.857,0
75,0.881,0
76,0.903,0
77,0.922,0
78,0.94,0
79,0.956,0
80,0.973,0
81,0.985,0
82,0.998,0
83,1.018,0
84,1.048,0
85,1.072,0
86,1.085,0
87,1.114,0
88,1.14,0
89,1.16,0
90,1.174,0
91,1.2,0
92,1.219,0
93,1.242,0
93.3,1.248,0
94,1.267,0
95,1.284,0.001
96,1.287,0.001
97,1.294,0.001
98,1.311,0.002
99,1.33,0.002
100,1.347,0.003
101,1.361,0.003
102,1.372,0.004
103,1.383,0.004
104,1.393,0.004
105,1.407,0.005
106,1.421,0.005
107,1.445,0.006
108,1.465,0.006
109,1.48,0.007
110,1.496,0.007
111,1.506,0.007
112,1.512,0.007
113,1.518,0.008
114,1.529,0.008
115,1.536,0.008
116,1.542,0.009
117,1.547,0.009
118,1.542,0.009
119,1.529,0.009
120,1.522,0.009
121,1.53,0.009
122,1.544,0.009
123,1.552,0.009
124,1.561,0.01
125,1.571,0.01
126,1.583,0.01
127,1.594,0.011
128,1.605,0.011
128.5,1.609,0.011
129,1.611,0.011
130,1.613,0.012
131,1.613,0.012
132,1.612,0.012
133,1.615,0.012
134,1.615,0.013
135,1.613,0.013
136,1.613,0.013
137,1.614,0.013
138,1.615,0.013
139,1.619,0.014
140,1.62,0.014
141,1.619,0.014
142,1.618,0.014
143,1.616,0.014
144,1.615,0.014
145,1.616,0.014
146,1.616,0.015
147,1.614,0.015
148,1.611,0.015
149,1.61,0.015
150,1.609,0.015
150.8,1.609,0.015
151,1.609,0.015
152,1.609,0.015
153,1.604,0.015
154,1.605,0.015
155,1.6,0.015
156,1.597,0.015
157,1.599,0.015
158,1.597,0.015
159,1.598,0.015
160,1.603,0.015
161,1.6,0.015
162,1.598,0.016
163,1.593,0.015
164,1.591,0.016
165,1.591,0.016
166,1.589,0.016
167,1.584,0.016
168,1.575,0.016
169,1.568,0.015
170,1.559,0.015
171,1.549,0.015
172,1.539,0.015
173,1.526,0.015
174,1.517,0.015
175,1.511,0.015
176,1.507,0.015
177,1.501,0.015
178,1.494,0.015
179,1.491,0.015
180,1.49,0.015
181,1.491,0.015
182,1.488,0.015
183,1.483,0.015
184,1.478,0.015
185,1.464,0.015
186,1.461,0.015
187,1.455,0.015
188,1.446,0.015
