day,chau_z,chau_h
0,0,0
0.4,0.13,0
1,0.139,0
2,0.208,0
3,0.29,0
4,0.308,0
5,0.36,0
6,0.36,0
7,0.28,0
8,0.131,0
8.3,0.13,0
9,0.123,0
9,0.13,0
10,0.2,0
11,0.324,0
12,0.42,0
12.5,0.44,0
13,0.54,0
14,0.54,0
14.3,0.44,0
15,0.39,0
16,0.319,0
17,0.307,0
18,0.369,0
19,0.44,0
19,0.459,0
19.4,0.54,0
20,0.581,0
21,0.661,0
22,0.728,0.001
23,0.773,0.001
24,0.761,0.001
25,0.715,0.001
26,0.702,0.001
27,0.688,0.001
28,0.667,0.001
29,0.642,0.001
30,0.594,0.001
31,0.582,0.001
32,0.574,0.001
33,0.578,0.001
34,0.577,0.001
35,0.589,0.001
36,0.577,0.001
37,0.595,0.001
38,0.673,0.001
39,0.724,0.002
40,0.769,0.002
41,0.824,0.002
42,0.88,0.002
43,0.935,0.002
44,0.974,0.002
45,0.981,0.002
46,0.986,0.002
47,1.002,0.003
48,0.994,0.003
49,0.963,0.003
50,0.931,0.003
51,0.952,0.003
52,0.975,0.003
53,0.972,0.003
54,1.04,0.003
55,1.073,0.003
56,1.084,0.003
57,1.154,0.003
58,1.221,0.003
59,1.269,0.004
60,1.333,0.004
61,1.355,0.004
62,1.368,0.004
63,1.39,0.004
64,1.405,0.004
65,1.453,0.004
66,1.506,0.004
67,1.539,0.004
68,1.537,0.004
69,1.538,0.004
70,1.569,0.004
71,1.588,0.004
72,1.618,0.005
73,1.674,0.005
74,1.735,0.005
75,1.776,0.005
76,1.811,0.005
77,1.846,0.005
78,1.885,0.005
79,1.92,0.005
80,1.937,0.005
81,1.935,0.005
82,1.962,0.005
83,1.995,0.005
84,2.011,0.005
85,2.024,0.005
86,2.029,0.005
87,2.02,0.005
88,2.019,0.005
89,2.039,0.006
89.3,2.046,0.006
90,2.062,0.006
91,2.069,0.006
92,2.087,0.006
93,2.104,0.006
94,2.148,0.006
95,2.19,0.006
96,2.215,0.006
97,2.24,0.006
98,2.249,0.006
99,2.265,0.006
100,2.282,0.006
101,2.322,0.006
102,2.356,0.006
103,2.375,0.006
104,2.398,0.006
105,2.406,0.006
106,2.43,0.006
107,2.454,0.006
108,2.464,0.006
109,2.469,0.006
110,2.488,0.006
111,2.506,0.006
112,2.511,0.006
113,2.539,0.006
114,2.568,0.006
115,2.599,0.006
116,2.635,0.007
117,2.659,0.007
118,2.672,0.007
119,2.686,0.007
120,2.71,0.007
121,2.729,0.007
122,2.75,0.007
123,2.765,0.007
124,2.782,0.007
125,2.789,0.007
126,2.792,0.007
127,2.795,0.007
128,2.8,0.007
129,2.808,0.007
130,2.812,0.007
131,2.819,0.007
132,2.826,0.007
133,2.834,0.007
134,2.837,0.007
135,2.858,0.007
136,2.875,0.007
137,2.885,0.007
138,2.906,0.007
139,2.914,0.007
140,2.914,0.007
141,2.938,0.007
142,2.953,0.007
143,2.957,0.007
144,2.956,0.007
145,2.956,0.007
146,2.965,0.007
147,2.967,0.007
148,2.957,0.007
149,2.948,0.007
150,2.936,0.007
151,2.923,0.007
152,2.915,0.007
153,2.908,0.007
154,2.908,0.007
155,2.911,0.007
156,2.91,0.007
157,2.906,0.007
158,2.906,0.007
159,2.902,0.007
160,2.894,0.007
161,2.885,0.007
162,2.871,0.007
163,2.859,0.007
164,2.843,0.007
165,2.83,0.007
166,2.821,0.007
167,2.813,0.007
168,2.804,0.007
169,2.797,0.007
170,2.789,0.007
171,2.774,0.007
172,2.765,0.007
173,2.757,0.007
174,2.756,0.007
175,2.75,0.007
176,2.744,0.007
177,2.737,0.007
178,2.725,0.007
179,2.716,0.007
180,2.707,0.007
181,2.705,0.007
182,2.696,0.007
183,2.677,0.007
184,2.66,0.007
