day,chau_z,chau_h
0,0,0
1,0.056,0
1,0,0
2,0,0
2.3,0.08,0
3,0.095,0
4,0.129,0
5,0.118,0
6,0.136,0
7,0.129,0
8,0.142,0
9,0.141,0
10,0.137,0
11,0.133,0
12,0.13,0
13,0.126,0
14,0.13,0
15,0.13,0
16,0.126,0
17,0.133,0
18,0.184,0
19,0.224,0
20,0.239,0
21,0.269,0
21.9,0.31,0
22,0.345,0
23,0.492,0
24,0.506,0
25,0.641,0
26,0.813,0
27,0.819,0
28,0.877,0
29,0.967,0
30,1.038,0
31,1.087,0
32,1.12,0
33,1.173,0
34,1.218,0
35,1.267,0
36,1.338,0
37,1.397,0
38,1.376,0
39,1.367,0
40,1.366,0
41,1.375,0
42,1.416,0
43,1.461,0
44,1.533,0
45,1.595,0
46,1.645,0
47,1.679,0
48,1.704,0
49,1.72,0
50,1.731,0
51,1.744,0
52,1.751,0
53,1.757,0
54,1.762,0
55,1.775,0
56,1.794,0
57,1.813,0
58,1.835,0
59,1.855,0
60,1.869,0
61,1.882,0
62,1.899,0
63,1.913,0
64,1.921,0
65,1.924,0
66,1.936,0
67,1.946,0
68,1.952,0
69,1.957,0
70,1.963,0
71,1.971,0
72,1.977,0
73,1.983,0
74,1.988,0
75,1.997,0
76,2.013,0
77,2.022,0
78,2.028,0
79,2.038,0
80,2.046,0
81,2.053,0
82,2.056,0
83,2.057,0
84,2.057,0
85,2.076,0
86,2.101,0
87,2.101,0
88,2.105,0
89,2.119,0
89.1,2.12,0
90,2.12,0
91,2.12,0
92,2.12,0
93,2.119,0
93.1,2.12,0
94,2.12,0
95,2.12,0
96,2.121,0.001
97,2.123,0.001
98,2.125,0.001
99,2.126,0.002
100,2.127,0.002
101,2.127,0.002
102,2.127,0.002
103,2.127,0.002
104,2.127,0.002
105,2.127,0.002
106,2.127,0.003
107,2.127,0.003
108,2.127,0.003
109,2.128,0.003
110,2.13,0.003
111,2.132,0.004
112,2.133,0.004
113,2.134,0.004
114,2.134,0.005
115,2.135,0.005
116,2.135,0.005
117,2.135,0.005
118,2.134,0.005
119,2.134,0.005
120,2.134,0.005
121,2.134,0.005
122,2.134,0.005
123,2.133,0.006
124,2.133,0.006
125,2.133,0.006
126,2.133,0.006
127,2.134,0.006
128,2.134,0.006
129,2.134,0.006
130,2.133,0.007
131,2.133,0.007
132,2.133,0.007
133,2.134,0.007
134,2.135,0.007
135,2.137,0.008
136,2.14,0.008
137,2.143,0.008
138,2.145,0.009
139,2.146,0.009
140,2.147,0.009
141,2.148,0.009
142,2.148,0.01
143,2.148,0.01
144,2.148,0.01
145,2.148,0.01
146,2.149,0.01
147,2.149,0.01
148,2.149,0.01
149,2.149,0.011
150,2.15,0.011
151,2.152,0.011
152,2.153,0.011
153,2.154,0.012
154,2.154,0.012
155,2.154,0.012
156,2.154,0.012
157,2.153,0.012
158,2.153,0.012
159,2.152,0.012
160,2.151,0.012
161,2.151,0.012
162,2.152,0.012
163,2.153,0.013
164,2.154,0.013
165,2.155,0.013
166,2.157,0.013
167,2.158,0.014
168,2.159,0.014
169,2.159,0.014
170,2.159,0.014
171,2.158,0.014
172,2.158,0.014
173,2.157,0.014
174,2.156,0.014
175,2.155,0.014
176,2.154,0.014
177,2.152,0.014
