day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.8,2.4,-0.1,1.63,1.63,0,0,1250,1,0,0,0.0547736,1,0.0547736,0,0,0,0,0,0,0.0547736,0.0547736,0,1.90122,3.09899,0,0.0547736,-0.114274,3.09899,5.95178,2.85279,0,0
2,24,48,0.8,2.4,1.1,1.63,1.63,0,0,1250,1,0,0.0336034,-0.688008,0,0.01,0,0,0,0,0,0,-0.688008,0,0,1.90122,3.09899,0,-0.688008,nan,3.09899,6.19921,-35.8338,0,0
3,24,72,0.8,14.4,-0.5,1.63,1.63,0,0,1250,1,0,0.00613497,0.138256,1,0.148256,0,0,0,0,0,0,0.138256,0.138256,0,1.90122,3.09899,0,0.138256,-0.217756,3.09899,10.2998,7.20081,0,0
4,24,96,0.8,38.4,-1,1.63,1.63,0,0,1250,1,0,0.0909543,0.0988253,1,0.247081,0,0,0,0,0,0,0.0988253,0.237081,0,1.90122,3.09899,0,0.0988253,-0.454837,3.09899,8.24614,5.14715,0,0
5,24,120,0.8,38.4,0.1,1.63,1.63,0,0,1250,1,0,0.151583,-0.0744123,1,0.172669,0,0,0,0,0,0,-0.0744123,0.162669,0,1.90122,3.09899,0,-0.0744123,-0.47925,3.09899,-0.776654,-3.87564,-0,0
6,24,144,0.8,55.2,-0.7,1.63,1.63,0,0,1250,1,0,0.105932,0.0510373,1,0.223706,0,0,0,0,0,0,0.0510373,0.213706,0,1.90122,3.09899,0,0.0510373,-0.455875,3.09899,5.75718,2.65819,0,0
7,24,168,0.8,55.2,0,1.63,1.63,0,0,1250,1,0,0.137243,-0.0595006,1,0.164205,0,0,0,0,0,0,-0.0595006,0.154205,0,1.90122,3.09899,0,-0.0595006,-0.447412,3.09899,0,-3.09899,0,0
8,24,192,0.8,69.6,-0.6,1.63,1.63,0,0,1250,1,0,0.100739,0.0419116,1,0.206117,0,0,0,0,0,0,0.0419116,0.196117,0,1.90122,3.09899,0,0.0419116,-0.429823,3.09899,5.28189,2.1829,0,0
9,24,216,0.8,74.4,-0.2,1.63,1.63,0,0,1250,1,0,0.126452,-0.0270046,1,0.179112,0,0,0,0,0,0,-0.0270046,0.169112,0,1.90122,3.09899,0,-0.0270046,-0.44473,3.09899,1.6925,-1.40649,0,0
10,24,240,0.8,76.8,-0.1,1.63,1.63,0,0,1250,1,0,0.109885,-0.0398413,1,0.139271,0,0,0,0,0,0,-0.0398413,0.129271,0,1.90122,3.09899,0,-0.0398413,-0.377884,3.09899,1.02392,-2.07507,0,0
11,24,264,0.8,79.2,-0.1,1.63,1.63,0,0,1250,1,0,0.0854424,-0.033914,1,0.105357,0,0,0,0,0,0,-0.033914,0.0953571,0,1.90122,3.09899,0,-0.033914,-0.304129,3.09899,1.33263,-1.76635,0,0
12,24,288,0.8,81.6,-0.1,1.63,1.63,0,0,1250,1,0,0.0646363,-0.0256743,1,0.0796828,0,0,0,0,0,0,-0.0256743,0.0696828,0,1.90122,3.09899,0,-0.0256743,-0.24454,3.09899,1.76178,-1.33721,0,0
13,24,312,0.8,84,-0.1,1.63,1.63,0,0,1250,1,0,0.0488851,-0.0158785,1,0.0638043,0,0,0,0,0,0,-0.0158785,0.0538043,0,1.90122,3.09899,0,-0.0158785,-0.202988,3.09899,2.27198,-0.827006,0,0
14,24,336,0.8,91.2,-0.3,1.63,1.63,0,0,1250,1,0,0.0391437,0.0476449,1,0.111449,0,0,0,0,0,0,0.0476449,0.101449,0,1.90122,3.09899,0,0.0476449,-0.234754,3.09899,5.58049,2.4815,0,0
15,24,360,0.8,96,-0.2,1.63,1.63,0,0,1250,1,0,0.0683737,-0.00266024,1,0.108789,0,0,0,0,0,0,-0.00266024,0.0987889,0,1.90122,3.09899,0,-0.00266024,-0.279739,3.09899,2.96043,-0.138554,0,0
16,24,384,0.8,98.4,-0.1,1.63,1.63,0,0,1250,1,0,0.0667417,-0.0267076,1,0.0820813,0,0,0,0,0,0,-0.0267076,0.0720813,0,1.90122,3.09899,0,-0.0267076,-0.250371,3.09899,1.70797,-1.39102,0,0
17,24,408,0.8,108,-0.4,1.63,1.63,0,0,1250,1,0,0.0503566,0.0548278,1,0.136909,0,0,0,0,0,0,0.0548278,0.126909,0,1.90122,3.09899,0,0.0548278,-0.278491,3.09899,5.9546,2.85561,0,0
18,24,432,0.8,156,-2,1.63,1.63,0,0,1250,1,0,0.0839933,0.203026,1,0.339935,0,0,0,0,0,0,0.203026,0.329935,0,1.90122,3.09899,0,0.203026,-0.536344,3.09899,13.6732,10.5743,0,0
19,24,456,0.8,206.4,-2.1,1.63,1.63,0,0,1250,1,0,0.208549,0.10745,1,0.447384,0,0,0,0,0,0,0.10745,0.437384,0,1.90122,3.09899,0,0.10745,-0.84682,3.09899,8.69533,5.59634,0,0
20,24,480,0.8,232.8,-1.1,1.63,1.63,0,0,1250,1,0,0.274469,0.0160888,1,0.463473,0,0,0,0,0,0,0.0160888,0.453473,0,1.90122,3.09899,0,0.0160888,-0.970358,3.09899,3.93695,0.837961,0,0
21,24,504,0.8,283.2,-2.1,1.63,1.63,0,0,1250,1,0,0.284339,0.0720718,1,0.535545,0,0,0,0,0,0,0.0720718,0.525545,0,1.90122,3.09899,0,0.0720718,-1.05852,3.09899,6.85273,3.75374,0,0
22,24,528,0.8,374.4,-3.8,1.63,1.63,0,0,1250,1,0,0.328555,0.137327,1,0.672872,0,0,0,0,0,0,0.137327,0.662872,0,1.90122,3.09899,0,0.137327,-1.26792,3.09899,10.2514,7.15244,0,0
23,24,552,0.8,468,-3.9,1.63,1.63,0,0,1250,1,0,0.412805,0.108374,1,0.781246,0,0,0,0,0,0,0.108374,0.771246,0,1.90122,3.09899,0,0.108374,-1.51362,3.09899,8.74345,5.64446,0,0
24,24,576,0.8,492,-1,1.63,1.63,0,0,1250,1,0,0.479292,-0.0189497,1,0.762296,0,0,0,0,0,0,-0.0189497,0.752296,0,1.90122,3.09899,0,-0.0189497,-1.60304,3.09899,2.11203,-0.986962,0,0
24.1955,4.69094,580.691,0.8,521.553,-6.3,1.63,1.63,0,0,1250,1,0,0.467666,0.0377041,1,0.8,0,0,0,0,0,0,0.0377041,0.79,0,1.90122,3.09899,0,0.172813,-1.75691,3.09899,13.146,10.047,0,0
25,19.3091,600,0.97,643.2,-6.3,1.46,1.5,0,0,7108,1,27,0.490798,0.0267083,1,0.826708,0,0,0,0,0,0,0.0267083,0.816708,1,1.90122,2.77578,0,0.0267083,-1.50664,2.77578,12.6076,9.83178,0,0
