day,site_z,site_h
0,0,0
1,0.0105797,nan
2,nan,nan
3,0.0327648,nan
4,0.121794,nan
5,nan,nan
6,0.110587,nan
7,nan,nan
8,0.0871253,nan
9,0.0464603,nan
10,0.0238415,nan
11,0.0222036,nan
12,0.0233495,nan
13,0.0376159,nan
14,0.0979576,nan
15,0.0978225,nan
16,nan,nan
17,0.0250415,nan
18,0.162249,nan
19,0.23244,nan
20,0.260652,nan
21,0.284137,nan
22,0.497815,nan
23,0.5598,nan
24,0.488332,nan
25,0.583329,nan
26,0.636544,nan
27,nan,nan
28,0.809454,nan
29,0.822843,nan
30,0.875131,nan
31,0.913603,nan
32,0.932828,nan
33,0.954319,nan
34,0.983894,nan
35,1.0093,nan
36,1.03199,nan
37,1.04872,nan
38,nan,nan
39,nan,nan
40,nan,nan
41,nan,nan
42,nan,nan
43,nan,nan
44,1.16528,nan
45,1.18189,nan
46,1.2025,nan
47,1.21855,nan
48,1.23871,nan
49,1.24964,nan
50,1.25686,nan
51,1.26286,nan
52,1.26142,nan
53,1.26837,nan
54,1.26923,nan
55,1.28136,nan
56,1.2682,nan
57,1.28806,nan
58,1.30687,nan
59,1.32151,nan
60,1.3374,nan
61,1.35295,nan
62,1.36799,nan
63,1.37022,nan
64,1.37968,nan
65,1.38555,nan
66,1.39148,nan
67,1.39062,nan
68,1.39535,nan
69,1.39855,nan
70,1.40318,nan
71,1.40302,nan
72,1.40288,nan
73,1.40522,nan
74,1.41035,nan
75,1.4211,nan
76,1.42364,nan
77,1.42281,nan
78,1.43889,nan
79,1.45012,nan
80,1.4524,nan
81,1.45818,nan
82,nan,nan
83,nan,nan
84,nan,nan
85,nan,nan
86,nan,nan
87,nan,nan
88,nan,nan
89,nan,nan
90,nan,nan
91,nan,nan
92,nan,nan
93,nan,nan
94,1.60544,nan
95,1.61843,nan
96,1.61566,nan
97,1.63534,nan
98,1.64401,nan
99,1.65027,nan
100,1.6533,nan
101,1.67378,nan
102,1.6957,nan
103,1.70677,nan
104,1.7078,nan
105,1.71004,nan
106,1.72173,nan
107,1.71767,nan
108,1.72016,nan
109,1.75375,nan
110,1.75512,nan
111,1.75622,nan
112,1.75614,nan
113,1.77565,nan
114,1.79355,nan
115,1.81284,nan
116,1.8099,nan
117,1.81631,nan
118,1.82128,nan
119,1.82121,nan
120,1.83334,nan
121,1.8234,nan
122,1.81885,nan
123,1.81921,nan
124,1.82472,nan
125,1.83106,nan
126,1.82438,nan
127,1.83586,nan
128,1.8327,nan
129,1.83566,nan
130,1.83828,nan
131,1.84402,nan
132,1.85843,nan
133,1.8713,nan
134,1.88044,nan
135,1.88331,nan
136,1.89205,nan
137,1.90701,nan
138,1.91161,nan
139,1.9244,nan
140,1.93627,nan
141,1.94542,nan
142,1.94788,nan
143,1.95496,nan
144,1.96225,nan
145,1.96661,nan
146,1.97913,nan
147,1.97395,nan
148,1.97924,nan
149,1.99092,nan
150,2.00265,nan
151,2.01206,nan
152,2.01833,nan
153,2.01155,nan
154,2.01113,nan
155,2.01444,nan
156,2.01108,nan
157,2.01126,nan
158,2.00815,nan
159,2.01409,nan
160,2.03109,nan
161,2.05843,nan
162,2.07325,nan
163,2.07002,nan
164,2.06643,nan
165,2.0726,nan
166,2.07523,nan
167,2.06871,nan
168,2.05689,nan
169,2.05059,nan
170,2.04276,nan
171,2.04523,nan
172,2.08649,nan
173,2.06754,nan
174,2.06108,nan
175,2.07692,nan
176,2.07934,nan
177,2.08674,nan
