day,chau_z,chau_h
0,0,0
1,nan,nan
2,nan,nan
3,nan,nan
4,nan,nan
5,nan,nan
6,nan,nan
7,nan,nan
8,nan,nan
9,nan,nan
10,nan,nan
11,nan,nan
12,nan,nan
13,nan,nan
14,nan,nan
15,nan,nan
16,nan,nan
17,0.056,0
17,0,0
18,0,0
18.3,0.08,0
19,0.096,0
20,0.134,0
21,0.121,0
22,0.141,0
23,0.132,0
24,0.146,0
25,0.145,0
26,0.14,0
27,0.135,0
28,0.13,0
29,0.126,0
30,0.13,0
31,0.129,0
32,0.125,0
33,0.133,0
34,0.19,0
35,0.233,0
36,0.248,0
36,0.25,0
37,0.365,0
38,0.484,0
39,0.567,0
40,0.573,0
41,0.682,0
42,0.839,0
43,0.843,0
44,0.897,0
45,0.984,0
46,1.053,0
47,1.101,0
47.8,1.12,0
48,1.121,0
49,1.133,0
50,1.143,0
51,1.155,0
52,1.176,0.001
53,1.194,0.001
54,1.183,0.001
55,1.176,0.001
56,1.173,0.001
57,1.173,0.001
58,1.185,0.001
59,1.199,0.001
60,1.224,0.001
61,1.247,0.001
62,1.266,0.002
63,1.278,0.002
64,1.287,0.002
65,1.294,0.002
66,1.302,0.002
67,1.311,0.002
68,1.315,0.002
69,1.318,0.002
70,1.321,0.002
71,1.33,0.002
72,1.344,0.002
73,1.358,0.003
74,1.374,0.003
75,1.389,0.003
76,1.4,0.003
77,1.409,0.003
78,1.422,0.003
79,1.432,0.003
80,1.438,0.003
81,1.439,0.003
82,1.448,0.003
83,1.455,0.003
84,1.459,0.004
85,1.462,0.004
86,1.466,0.004
87,1.472,0.004
88,1.476,0.004
89,1.48,0.004
90,1.483,0.004
91,1.49,0.004
92,1.502,0.004
93,1.508,0.004
94,1.513,0.004
95,1.52,0.004
96,1.526,0.004
97,1.531,0.004
98,1.533,0.004
99,1.533,0.004
100,1.532,0.004
101,1.547,0.005
102,1.567,0.005
103,1.567,0.005
104,1.569,0.005
105,1.58,0.005
106,1.588,0.005
107,1.588,0.005
108,1.585,0.005
109,1.584,0.005
110,1.593,0.005
111,1.61,0.005
112,1.625,0.005
113,1.644,0.006
114,1.666,0.006
115,1.686,0.006
116,1.696,0.006
117,1.703,0.006
118,1.71,0.006
119,1.718,0.006
120,1.724,0.006
121,1.73,0.006
122,1.738,0.006
123,1.745,0.006
124,1.75,0.006
125,1.763,0.007
126,1.782,0.007
127,1.804,0.007
128,1.819,0.007
129,1.83,0.007
130,1.84,0.007
131,1.849,0.007
132,1.855,0.007
133,1.86,0.007
134,1.864,0.007
135,1.868,0.007
136,1.873,0.007
137,1.879,0.008
138,1.883,0.008
139,1.887,0.008
140,1.893,0.008
141,1.9,0.008
142,1.905,0.008
143,1.912,0.008
144,1.919,0.008
145,1.924,0.008
146,1.928,0.008
147,1.932,0.008
148,1.936,0.008
149,1.947,0.008
150,1.961,0.008
151,1.981,0.008
152,2.004,0.009
153,2.026,0.009
154,2.044,0.009
155,2.059,0.009
155,2.059,0.009
156,2.061,0.009
157,2.062,0.01
158,2.063,0.01
159,2.064,0.01
160,2.065,0.01
161,2.066,0.011
162,2.067,0.011
163,2.068,0.011
164,2.069,0.011
165,2.07,0.011
166,2.072,0.012
167,2.074,0.012
168,2.077,0.013
169,2.079,0.013
170,2.08,0.013
171,2.081,0.014
172,2.081,0.014
173,2.081,0.014
174,2.08,0.014
175,2.08,0.014
176,2.08,0.014
177,2.08,0.014
178,2.082,0.015
179,2.084,0.015
180,2.086,0.015
181,2.088,0.016
182,2.091,0.016
183,2.093,0.017
184,2.095,0.017
185,2.096,0.017
186,2.096,0.017
187,2.096,0.017
188,2.096,0.017
189,2.096,0.018
190,2.095,0.018
191,2.094,0.018
192,2.093,0.018
193,2.092,0.018
194,nan,nan
195,nan,nan
196,nan,nan
197,nan,nan
198,nan,nan
199,nan,nan
200,nan,nan
201,nan,nan
202,nan,nan
203,nan,nan
204,nan,nan
205,nan,nan
206,nan,nan
207,nan,nan
208,nan,nan
209,nan,nan
210,nan,nan
211,nan,nan
212,nan,nan
213,nan,nan
214,nan,nan
215,nan,nan
216,nan,nan
217,nan,nan
218,nan,nan
219,nan,nan
220,nan,nan
221,nan,nan
222,nan,nan
223,nan,nan
224,nan,nan
225,nan,nan
226,nan,nan
227,nan,nan
228,nan,nan
229,nan,nan
230,nan,nan
231,nan,nan
232,nan,nan
233,nan,nan
234,nan,nan
235,nan,nan
236,nan,nan
237,nan,nan
238,nan,nan
239,nan,nan
240,nan,nan
241,nan,nan
242,nan,nan
243,nan,nan
