day,site_z,site_h
0,0,0
1,nan,nan
2,nan,nan
3,nan,nan
4,nan,nan
5,nan,nan
6,nan,nan
7,nan,nan
8,nan,nan
9,nan,nan
10,nan,nan
11,nan,nan
12,nan,nan
13,nan,nan
14,nan,nan
15,nan,nan
16,nan,nan
17,nan,nan
18,nan,nan
19,nan,nan
20,nan,nan
21,nan,nan
22,0.0153173,nan
23,0.0361674,nan
24,0.0924489,nan
25,0.123466,nan
26,0.159951,nan
27,0.209089,nan
28,0.386274,nan
29,0.538207,nan
30,0.585418,nan
31,0.623258,nan
32,0.634838,nan
33,0.639198,nan
34,0.636532,nan
35,0.637014,nan
36,0.638046,nan
37,0.640221,nan
38,0.66353,nan
39,nan,nan
40,nan,nan
41,nan,nan
42,nan,nan
43,nan,nan
44,nan,nan
45,nan,nan
46,nan,nan
47,nan,nan
48,nan,nan
49,nan,nan
50,nan,nan
51,0.661716,nan
52,0.724514,nan
53,0.765345,nan
54,0.803134,nan
55,0.826536,nan
56,0.828235,nan
57,0.823687,nan
58,0.821504,nan
59,0.831109,nan
60,0.834715,nan
61,0.827604,nan
62,0.795306,nan
63,0.783336,nan
64,0.786092,nan
65,0.783008,nan
66,0.794079,nan
67,0.822659,nan
68,0.847492,nan
69,0.863315,nan
70,0.868557,nan
71,0.869281,nan
72,0.866317,nan
73,0.870187,nan
74,0.885148,nan
75,0.898684,nan
76,0.920598,nan
77,0.964331,nan
78,0.99209,nan
79,0.993441,nan
80,0.994992,nan
81,0.996811,nan
82,0.985424,nan
83,0.97815,nan
84,0.979909,nan
85,0.982992,nan
86,0.98828,nan
87,0.982789,nan
88,0.969851,nan
89,0.962701,nan
90,0.96146,nan
91,0.968232,nan
92,0.97873,nan
93,0.986081,nan
94,0.979286,nan
95,0.980221,nan
96,0.974641,nan
97,0.958682,nan
98,0.95091,nan
99,0.94776,nan
100,0.945053,nan
101,0.942887,nan
102,0.939959,nan
103,0.944642,nan
104,0.93853,nan
105,0.941043,nan
106,0.944618,nan
107,0.945831,nan
108,0.950573,nan
109,0.966572,nan
110,0.982797,nan
111,0.993666,nan
112,1.00177,nan
113,1.00701,nan
114,1.01705,nan
115,1.0452,nan
116,1.07728,nan
117,1.09731,nan
118,1.1111,nan
119,1.11655,nan
120,1.11497,nan
121,1.1154,nan
122,1.11728,nan
123,1.12587,nan
124,1.13183,nan
125,1.13217,nan
126,1.13044,nan
127,1.13004,nan
128,1.1309,nan
129,1.13259,nan
130,1.13659,nan
131,1.13996,nan
132,1.14162,nan
133,1.14146,nan
134,1.13804,nan
135,1.13365,nan
136,1.13291,nan
137,1.13032,nan
138,1.12696,nan
139,1.11789,nan
140,1.10106,nan
141,1.09266,nan
142,1.08483,nan
143,nan,nan
144,nan,nan
145,1.06327,nan
146,1.06204,nan
147,1.06274,nan
148,1.05919,nan
149,1.05059,nan
150,1.04984,nan
151,1.05107,nan
152,1.04098,nan
153,1.03922,nan
154,1.04054,nan
155,1.03998,nan
156,1.04252,nan
157,1.04787,nan
158,1.06644,nan
159,1.08234,nan
160,1.08542,nan
161,1.085,nan
162,1.08932,nan
163,1.09231,nan
164,1.10014,nan
165,1.10351,nan
166,1.10333,nan
167,1.10327,nan
168,1.10307,nan
169,1.09969,nan
170,1.0927,nan
171,1.09112,nan
172,1.08207,nan
173,1.06048,nan
174,1.04629,nan
175,1.0359,nan
176,1.03096,nan
177,1.02239,nan
178,1.013,nan
179,1.0061,nan
180,1.0016,nan
181,1.00027,nan
182,1.00275,nan
183,0.992879,nan
184,0.988144,nan
185,0.984149,nan
186,0.982155,nan
187,0.979823,nan
188,0.97852,nan
189,0.980595,nan
190,0.974742,nan
191,0.974475,nan
192,0.971739,nan
193,0.969699,nan
194,0.966534,nan
195,0.964543,nan
196,0.961832,nan
197,0.959086,nan
198,0.955559,nan
199,0.952757,nan
200,0.954764,nan
201,0.958249,nan
202,0.949102,nan
203,0.923944,nan
204,0.913428,nan
205,nan,nan
206,nan,nan
207,nan,nan
208,nan,nan
209,nan,nan
210,nan,nan
211,nan,nan
212,nan,nan
213,nan,nan
214,nan,nan
215,nan,nan
216,nan,nan
217,nan,nan
218,nan,nan
219,nan,nan
220,nan,nan
221,nan,nan
222,nan,nan
223,nan,nan
224,nan,nan
225,nan,nan
226,nan,nan
227,nan,nan
228,nan,nan
229,nan,nan
230,nan,nan
231,nan,nan
232,nan,nan
233,nan,nan
234,nan,nan
235,nan,nan
236,nan,nan
237,nan,nan
238,nan,nan
239,nan,nan
240,nan,nan
241,nan,nan
242,nan,nan
243,nan,nan
