day,dt,hours,closest_int,FI,Ts,ku,kf,SP,a,Ls,S,Sr,Rf,dz0_imp,imp_1_vs_exp_0,dz0_sum,dh0,dh0_sum,dhs,dhs_sum,dh,h,dz,z,idx,gradT_p,flux,Cq,root_1,root_2,pos_flux,neg_flux,wat_flux,seg_flux,xps
0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,24,24,0.55,0,0.9,0.75,0.71,0,0,1412,1,4,0,-inf,0,0.01,0,0,0,0,0,0,-inf,0,0,1.90122,1.42591,0,-inf,nan,1.42591,0,-inf,0,0
2,24,48,0.55,4.8,-0.2,0.75,0.71,0,0,1412,1,4,0.0140845,0.047392,1,0.057392,0,0,0,0,0,0,0.047392,0.047392,0,1.90122,1.42591,0,0.047392,-0.0916286,1.42591,4.21415,2.78823,0,0
3,24,72,0.55,4.8,0.4,0.75,0.71,0,0,1412,1,4,0.0808339,-0.108346,0,0.01,0,0,0,0,0,0,-0.108346,0,0,1.90122,1.42591,0,-0.108346,nan,1.42591,-88.2199,-6.37434,-0,0
4,24,96,0.55,4.8,0.1,0.75,0.71,0,0,1412,1,4,0.0140845,-0.144916,0,0.01,0,0,0,0,0,0,-0.144916,0,0,1.90122,1.42591,0,-0.144916,nan,1.42591,1.13676,-8.52591,0,0
5,24,120,0.55,4.8,3.9,0.75,0.71,0,0,1412,1,4,0.0140845,-4.73075,0,0.01,0,0,0,0,0,0,-4.73075,0,0,1.90122,1.42591,0,-4.73075,nan,1.42591,1.17561,-278.326,0,0
6,24,144,0.55,4.8,0.8,0.75,0.71,0,0,1412,1,4,0.0140845,-0.989676,0,0.01,0,0,0,0,0,0,-0.989676,0,0,1.90122,1.42591,0,-0.989676,nan,1.42591,1.17153,-58.2259,0,0
7,24,168,0.55,4.8,0.9,0.75,0.71,0,0,1412,1,4,0.0140845,-1.11036,0,0.01,0,0,0,0,0,0,-1.11036,0,0,1.90122,1.42591,0,-1.11036,nan,1.42591,1.17209,-65.3259,0,0
8,24,192,0.55,4.8,4.7,0.75,0.71,0,0,1412,1,4,0.0140845,-5.69619,0,0.01,0,0,0,0,0,0,-5.69619,0,0,1.90122,1.42591,0,-5.69619,nan,1.42591,1.17579,-335.126,0,0
9,24,216,0.55,4.8,5.7,0.75,0.71,0,0,1412,1,4,0.0140845,-6.90299,0,0.01,0,0,0,0,0,0,-6.90299,0,0,1.90122,1.42591,0,-6.90299,nan,1.42591,1.17594,-406.126,0,0
10,24,240,0.55,4.8,4.7,0.75,0.71,0,0,1412,1,4,0.0140845,-5.69619,0,0.01,0,0,0,0,0,0,-5.69619,0,0,1.90122,1.42591,0,-5.69619,nan,1.42591,1.17579,-335.126,0,0
11,24,264,0.55,4.8,6.2,0.75,0.71,0,0,1412,1,4,0.0140845,-7.50639,0,0.01,0,0,0,0,0,0,-7.50639,0,0,1.90122,1.42591,0,-7.50639,nan,1.42591,1.176,-441.626,0,0
12,24,288,0.55,4.8,10.3,0.75,0.71,0,0,1412,1,4,0.0140845,-12.4543,0,0.01,0,0,0,0,0,0,-12.4543,0,0,1.90122,1.42591,0,-12.4543,nan,1.42591,1.17627,-732.726,0,0
13,24,312,0.55,4.8,14.2,0.75,0.71,0,0,1412,1,4,0.0140845,-17.1608,0,0.01,0,0,0,0,0,0,-17.1608,0,0,1.90122,1.42591,0,-17.1608,nan,1.42591,1.17638,-1009.63,0,0
14,24,336,0.55,4.8,14.6,0.75,0.71,0,0,1412,1,4,0.0140845,-17.6435,0,0.01,0,0,0,0,0,0,-17.6435,0,0,1.90122,1.42591,0,-17.6435,nan,1.42591,1.17638,-1038.03,0,0
15,24,360,0.55,4.8,2.9,0.75,0.71,0,0,1412,1,4,0.0140845,-3.52395,0,0.01,0,0,0,0,0,0,-3.52395,0,0,1.90122,1.42591,0,-3.52395,nan,1.42591,1.17524,-207.326,0,0
16,24,384,0.55,4.8,1.7,0.75,0.71,0,0,1412,1,4,0.0140845,-2.07579,0,0.01,0,0,0,0,0,0,-2.07579,0,0,1.90122,1.42591,0,-2.07579,nan,1.42591,1.17424,-122.126,0,0
17,24,408,0.55,4.8,5.7,0.75,0.71,0,0,1412,1,4,0.0140845,-6.90299,0,0.01,0,0,0,0,0,0,-6.90299,0,0,1.90122,1.42591,0,-6.90299,nan,1.42591,1.17594,-406.126,0,0
18,24,432,0.55,4.8,1.6,0.75,0.71,0,0,1412,1,4,0.0140845,-1.95511,0,0.01,0,0,0,0,0,0,-1.95511,0,0,1.90122,1.42591,0,-1.95511,nan,1.42591,1.17409,-115.026,0,0
