day,site_z,site_h
0,0,0
1,0.342844,nan
2,nan,nan
3,nan,nan
4,0.326073,nan
5,0.491924,nan
6,0.525489,nan
7,0.497039,nan
8,0.521315,nan
9,0.251708,nan
10,0.287165,nan
11,0.36736,nan
12,nan,nan
13,0.399924,nan
14,0.487761,nan
15,0.515881,nan
16,nan,nan
17,nan,nan
18,nan,nan
19,nan,nan
20,0.257705,nan
21,0.279511,nan
22,nan,nan
23,nan,nan
24,nan,nan
25,nan,nan
26,0.466766,nan
27,0.52172,nan
28,0.506129,nan
29,0.478414,nan
30,0.445086,nan
31,0.381814,nan
32,0.520584,nan
33,0.537839,nan
34,0.548965,nan
35,0.810335,nan
36,0.881094,nan
37,1.20793,nan
38,1.27888,nan
39,1.35187,nan
40,1.37876,nan
41,1.38765,nan
42,1.39095,nan
43,1.39292,nan
44,1.37718,nan
45,1.3643,nan
46,1.38891,nan
47,1.40465,nan
48,1.40462,nan
49,1.38818,nan
50,1.36874,nan
51,1.32055,nan
52,1.3438,nan
53,1.36675,nan
54,1.33153,nan
55,1.31835,nan
56,1.31767,nan
57,1.31524,nan
58,1.3171,nan
59,1.32802,nan
60,1.3367,nan
61,1.35047,nan
62,1.35954,nan
63,1.37628,nan
64,1.39797,nan
65,1.38805,nan
66,1.38091,nan
67,1.38994,nan
68,1.39616,nan
69,1.41715,nan
70,1.43178,nan
71,1.43823,nan
72,1.45065,nan
73,1.44305,nan
74,1.43529,nan
75,1.43372,nan
76,1.42625,nan
77,1.42536,nan
78,1.46494,nan
79,1.49399,nan
80,1.52277,nan
81,1.54589,nan
82,1.54841,nan
83,1.53516,nan
84,1.52175,nan
85,1.53352,nan
86,1.5511,nan
87,1.55814,nan
88,1.55886,nan
89,1.56963,nan
90,1.58395,nan
91,1.58083,nan
92,1.56675,nan
93,1.5622,nan
94,1.55831,nan
95,1.53847,nan
96,1.51228,nan
97,1.52583,nan
98,1.51749,nan
99,1.51527,nan
100,1.5195,nan
101,1.50954,nan
102,1.54277,nan
103,1.58588,nan
104,1.59791,nan
105,1.60138,nan
106,1.60643,nan
107,1.60745,nan
108,1.60783,nan
109,1.61077,nan
110,1.6076,nan
111,1.6034,nan
112,1.606,nan
113,1.56876,nan
114,1.50673,nan
115,1.51306,nan
116,1.50565,nan
117,1.52925,nan
118,1.54684,nan
119,1.55774,nan
120,1.56489,nan
121,1.57867,nan
122,1.58258,nan
123,1.58769,nan
124,1.59212,nan
125,1.58566,nan
126,1.58448,nan
127,1.59722,nan
128,1.61082,nan
129,1.61093,nan
130,1.59952,nan
131,1.5928,nan
132,1.59624,nan
133,1.58692,nan
134,1.58862,nan
135,1.61138,nan
136,1.62308,nan
137,1.6308,nan
138,1.63551,nan
139,1.63935,nan
140,1.63912,nan
141,1.63744,nan
142,1.63268,nan
143,1.62786,nan
144,1.62554,nan
145,1.62325,nan
146,1.61313,nan
147,1.62096,nan
148,1.62463,nan
149,1.63311,nan
150,1.64221,nan
151,1.65883,nan
152,1.72862,nan
153,1.78174,nan
154,1.79778,nan
155,1.80199,nan
156,1.7973,nan
157,1.79087,nan
158,1.78465,nan
159,1.78411,nan
160,1.80233,nan
161,1.81366,nan
162,1.79987,nan
163,1.78976,nan
164,1.77213,nan
165,1.73906,nan
166,1.75233,nan
167,1.73762,nan
168,1.74244,nan
169,1.73494,nan
170,1.73457,nan
171,1.72354,nan
172,1.72827,nan
173,1.74082,nan
174,1.74624,nan
175,1.76349,nan
176,1.78594,nan
177,1.79451,nan
178,1.78329,nan
179,1.74797,nan
180,1.67222,nan
181,1.66257,nan
182,1.67008,nan
183,1.63592,nan
184,1.65635,nan
185,1.64454,nan
186,1.59482,nan
187,1.6391,nan
188,1.64857,nan
189,1.64631,nan
190,1.62914,nan
191,1.62478,nan
192,nan,nan
193,nan,nan
194,nan,nan
195,nan,nan
196,nan,nan
197,nan,nan
198,nan,nan
199,nan,nan
200,nan,nan
201,nan,nan
202,nan,nan
203,nan,nan
204,nan,nan
205,nan,nan
206,nan,nan
207,nan,nan
208,nan,nan
209,nan,nan
210,nan,nan
211,nan,nan
212,nan,nan
213,nan,nan
